Analysis,Row,Identifier.1,Comment,Amount,unique.ID,Area.44,d.13C.12C.raw,Area.28,d.15N.14N.raw,group,mass.C.mg,mass.N.mg,known.d13C,known.d15N,d.15N.14N.drift,d.13C.12C.drift,d.13C.12C.VPDB,d.15N.14N.air,mass.percent.C,mass.percent.N
47482,3,GA1_QTY_1,QTY,0.289,GA1_QTY_1_47482,59.932,-16.731,28.436,-4.536,GA1,0.117960552,0.027512799999999994,-28.3,-4.6,-4.534999999999999,-16.762690000000003,-27.634622938951544,-4.8345691988058,41.56976445757356,9.739207942392015
47483,4,GA1_QTY_2,QTY,0.458,GA1_QTY_2_47483,94.177,-17.113,45.074,-4.436,GA1,0.186940944,0.0436016,-28.3,-4.6,-4.434666666666667,-17.155253333333334,-28.02726546672035,-4.734510885695827,40.559711707546924,9.414650957837985
47484,5,GA1_QTY_3,QTY,0.59,GA1_QTY_3_47484,122.366,-18.206,59.049,-4.221,GA1,0.24081912,0.056167999999999996,-28.3,-4.6,-4.219333333333333,-18.258816666666664,-29.131051429290228,-4.519767795100998,40.64146900415563,9.439901259132807
47485,6,GA1_STD_01,STANDARD,0.46,GA1_STD_01_47485,94.92,-17.616,45.471,-4.269,GA1,0.18775728,0.043792,-28.3,-4.6,-4.267,-17.67938,-28.551497868976565,-4.567303804319359,40.69290418047389,9.45138429416765
47486,7,GA2_STD_01,STANDARD,0.458,GA2_STD_01_47486,94.208,-3.099,45.539,-5.438,GA2,0.186940944,0.0436016,-13.7,-5.7,-5.435666666666666,-3.1729433333333334,-14.042134721497638,-5.732767079281384,40.57268292299535,9.506017902233753
47487,8,SAL_STD_01,STANDARD,0.451,SAL_STD_01_47487,106.522,-10.296,58.014,11.622,SALMON,0.206107,0.0533533,-21.3,11.3,11.624666666666666,-10.380506666666665,-21.25115208494759,11.280802765507971,46.43488796804974,12.14279492545197
47497,18,GA1_STD_02,STANDARD,0.446,GA1_STD_02_47497,93.85,-17.212,44.85,-4.442,GA1,0.18204292800000002,0.0424592,-28.3,-4.6,-4.436,-17.40214,-28.274201939490982,-4.735840564275361,41.51049759662247,9.622762413478496
47498,19,GA2_STD_02,STANDARD,0.446,GA2_STD_02_47498,91.644,-2.44,43.977,-5.444,GA2,0.18204292800000002,0.0424592,-13.7,-5.7,-5.437666666666667,-2.640703333333333,-13.509787349150912,-5.734761597150687,40.562613784537575,9.446613077225361
47499,20,SAL_STD_02,STANDARD,0.466,SAL_STD_02_47499,109.937,-10.183,59.977,11.605,SALMON,0.212962,0.055127800000000005,-21.3,11.3,11.611666666666666,-10.394266666666667,-21.264914860844726,11.267838399357508,46.344597648326335,12.131016911800044
47510,31,GA1_STD_03,STANDARD,0.449,GA1_STD_03_47510,94.008,-16.805,45.199,-4.386,GA1,0.18326743199999998,0.0427448,-28.3,-4.6,-4.375666666666667,-17.132463333333334,-28.00447086914072,-4.675672608551423,41.300581134105336,9.628416658559827
47511,32,GA2_STD_03,STANDARD,0.444,GA2_STD_03_47511,87.934,-2.21,42.43,-5.31,GA2,0.18122659200000002,0.042268799999999995,-13.7,-5.7,-5.299333333333333,-2.548026666666667,-13.417091986198386,-5.596807444523978,39.144018331833834,9.175613825636017
47512,33,SAL_STD_03,STANDARD,0.438,SAL_STD_03_47512,102.882,-9.779,56.322,11.634,SALMON,0.200166,0.0518154,-21.3,11.3,11.645,-10.12759,-20.99818439570459,11.301080363845873,46.220474000804565,12.155559009028728
47523,44,GA1_STD_04,STANDARD,0.46,GA1_STD_04_47523,91.53,-17.14,43.92,-4.408,GA1,0.18775728,0.043792,-28.3,-4.6,-4.3933333333333335,-17.604786666666666,-28.47688948742955,-4.693290849730256,39.28060624712646,9.147956337706274
47524,45,GA2_STD_04,STANDARD,0.438,GA2_STD_04_47524,92.643,-2.791,44.43,-5.474,GA2,0.17877758400000002,0.0416976,-13.7,-5.7,-5.4590000000000005,-3.26635,-14.135560231717964,-5.756036454423239,41.74057843892473,9.712227385021531
47525,46,SAL_STD_04,STANDARD,0.462,SAL_STD_04_47525,109.405,-10.059,60.015,11.679,SALMON,0.21113400000000002,0.054654600000000005,-21.3,11.3,11.694333333333333,-10.544913333333332,-21.415591918474348,11.35027847128865,46.52517407878933,12.243449261826633
47526,47,GA2_QTY_1,QTY,0.325,GA2_QTY_1_47526,68.131,-1.934,32.542,-5.444,GA2,0.1326546,0.03094,-13.7,-5.7,-5.428333333333334,-2.430476666666667,-13.299518272048081,-5.725453847093945,41.79972959770054,9.797342490573516
47527,48,GA2_QTY_2,QTY,0.45,GA2_QTY_2_47527,94.306,-2.226,45.546,-5.296,GA2,0.18367560000000002,0.042839999999999996,-13.7,-5.7,-5.28,-2.73304,-13.602142643512959,-5.577527105120727,41.33570983332437,9.676413644265018
47528,49,GA2_QTY_3,QTY,0.686,GA2_QTY_3_47528,144.662,-2.507,70.704,-5.496,GA2,0.28000324800000004,0.06530720000000001,-13.7,-5.7,-5.479666666666667,-3.0246033333333333,-13.893764795874022,-5.776646472406025,41.1825880128023,9.64780321000109
