"","X","...1","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","d15N.correct","adj"
"1792",1792,30,46851,"68_W_2",2176.3,3.503,3.342,3.342,"PHE",2.91185,3.30278920454538
"1797",1797,35,46852,"65_K_2",2179.7,4.517,5.133,5.133,"PHE",4.70285,5.07156789772717
"1802",1802,40,46853,"65_K_2",2179.2,3.926,3.865,3.865,"PHE",3.43485,3.78134659090896
"1807",1807,45,46854,"65_K_2",2179.5,3.544,4,4,"PHE",3.56985,3.89412528409075
"1817",1817,55,46856,"65_E_2",2181.8,2.781,2.551,2.551,"PHE",2.12085,2.40068267045456
"1822",1822,60,46857,"65_E_2",2182.4,2.407,3.061,3.061,"PHE",2.63085,2.88846136363635
"1827",1827,65,46858,"65_E_2",2186.6,2.365,2.455,2.455,"PHE",2.02485,2.26024005681814
"1862",1862,20,46871,"89_K_2_R",2174.4,3.193,4.06,4.06,"PHE",3.62985,3.81544999999993
"1873",1873,31,46872,"89_K_2_R",2174.4,3.138,3.601,3.601,"PHE",3.17085,3.33944687499995
"1878",1878,36,46873,"89_K_2_R",2174.6,3.07,3.998,3.998,"PHE",3.56785,3.71944374999998
"1883",1883,41,46874,"74_W_2_R",2173,2.719,5.829,5.829,"PHE",5.39885,5.53344062499989
"1888",1888,46,46875,"74_W_2_R",2173,2.483,4.308,4.308,"PHE",3.87785,3.99543749999992
"1893",1893,51,46876,"74_W_2_R",2173.4,2.378,4.332,4.332,"PHE",3.90185,4.00243437499994
"1903",1903,61,46878,"01_E_3_R",2179,3.53,2.563,2.563,"PHE",2.13285,2.19942812499988
"1908",1908,66,46879,"01_E_3_R",2180.1,3.056,3.915,3.915,"PHE",3.48485,3.53442499999991
"1913",1913,71,46880,"01_E_3_R",2181.5,3.025,3.33,3.33,"PHE",2.89985,2.93242187499994
"1918",1918,76,46881,"95_W_3",2180.3,1.707,4.1,4.1,"PHE",3.66985,3.68541874999996
"1923",1923,81,46882,"95_W_3",2184.1,1.61,5.81,5.81,"PHE",5.37985,5.37841562499987
"1928",1928,86,46883,"95_W_3",2189.1,1.57,4.992,4.992,"PHE",4.56185,4.5434124999999
"1938",1938,96,46885,"95_W_2",2198.9,1.387,3.841,3.841,"PHE",3.41085,3.35840624999995
"1943",1943,101,46886,"95_W_2",2203.1,1.316,5.134,5.134,"PHE",4.70385,4.63440312499987
"1977",1977,20,46893,"22_K_2",2172.1,2.395,5.192,5.192,"PHE",4.76185,4.78707727272562
"1982",1982,25,46894,"22_K_2",2171.9,2.362,6.203,6.203,"PHE",5.77285,5.74348267045305
"1987",1987,30,46895,"22_K_2",2172.1,2.295,4.582,4.582,"PHE",4.15185,4.06788806818047
"1992",1992,35,46896,"22_E_2",2171.7,2.448,1.918,1.918,"PHE",1.48785,1.3492934659079
"1997",1997,40,46897,"22_E_2",2172.3,2.408,3.333,3.333,"PHE",2.90285,2.70969886363533
"2002",2002,45,46898,"22_E_2",2171.9,2.262,3.174,3.174,"PHE",2.74385,2.4961042613623
"2012",2012,55,46900,"22_E_3",2175.7,3.333,2.859,2.859,"PHE",2.42885,2.07191505681716
"2017",2017,60,46901,"22_E_3",2175.7,2.852,1.738,1.738,"PHE",1.30785,0.896320454544582
"2022",2022,65,46903,"16_W_2",2176.5,2.192,3.47,3.47,"PHE",3.03985,2.51913124999944
"2027",2027,70,46904,"16_W_2",2176.9,1.936,4.646,4.646,"PHE",4.21585,3.64053664772641
"2032",2032,75,46905,"16_W_2",2178.4,1.843,6.347,6.347,"PHE",5.91685,5.28694204545384
"2042",2042,85,46907,"16_W_3",2185.9,2.35,6.28,6.28,"PHE",5.84985,5.11075284090869
"2047",2047,90,46908,"16_W_3",2188.9,2.088,6.049,6.049,"PHE",5.61885,4.82515823863612
"2052",2052,95,46909,"16_W_3",2193.5,2.08,6.376,6.376,"PHE",5.94585,5.09756363636354
"2082",2082,20,46915,"16_E_2",2170.7,2.213,3.677,3.677,"PHE",3.24685,3.31155454545435
"2087",2087,25,46916,"16_E_2",2171.3,2.182,3.264,3.264,"PHE",2.83385,2.87957784090887
"2092",2092,30,46917,"16_E_2",2170,2.16,3.763,3.763,"PHE",3.33285,3.35960113636351
"2097",2097,35,46918,"13_W_2_a",2170.9,2.076,3.478,3.478,"PHE",3.04785,3.05562443181803
"2102",2102,40,46919,"13_W_2_a",2171.3,1.907,3.44,3.44,"PHE",3.00985,2.99864772727255
"2107",2107,45,46920,"13_W_2_a",2171.1,1.749,3.03,3.03,"PHE",2.59985,2.56967102272707
"2117",2117,55,46922,"13_W_3_a",2173.2,1.574,2.266,2.266,"PHE",1.83585,1.76771761363622
"2122",2122,60,46923,"13_W_3_a",2173.2,1.349,3.315,3.315,"PHE",2.88485,2.79774090909074
"2127",2127,65,46924,"13_W_3_a",2175.5,1.276,4.582,4.582,"PHE",4.15185,4.04576420454526
