"","W.PHE","K.PHE","E.PHE","W.GLU","K.GLU","E.GLU","BB.PHE","BB.GLU","tp.W","tp.K","tp.E","BB.tp","PHE.SE","GLU.SE","Year"
"1",4.01853291039736,3.79425651206306,2.43275334179079,24.6406173668674,24.0156565255448,23.3362081836295,3.47702954083995,24.1857345837693,3.43938873321106,3.38263456281611,3.47924289544457,3.45165793809198,0.187956796894153,0.258640090959924,1965
"2",3.82679187664278,3.15126309295543,2.26089585853963,24.433186059494,23.9966023522321,23.7841997564317,3.45213985717306,24.298104872427,3.43716631485145,3.47101122652644,3.56704021216601,3.47109986051755,0.250903574609222,0.475933854353019,1966
"3",3.63505084288821,2.5082696738478,2.08903837528848,24.2257547521206,23.9775481789194,24.2321913292339,3.42725017350618,24.4104751610847,3.43494389649185,3.55938789023677,3.65483752888746,3.49054178294313,0.273374470117695,0.374817535949587,1967
"4",3.44330980913364,1.86527625474018,2.58219330568362,24.0183234447472,23.9584940056066,24.0481963134854,3.47289603687079,24.1665868058547,3.43272147813224,3.64776455394709,3.55892393878212,3.44953127039433,0.284426864328419,0.316795877079249,1968
"5",4.33091959446066,2.21722802635822,3.07534823607877,24.4914596601164,23.544495769205,23.8642012977369,3.67184861667967,24.13645649412,3.37401417360562,3.53927305139472,3.46301034867678,3.41708326875925,0.30735824258457,0.529746301589445,1969
"6",5.21852937978769,2.56917979797627,3.56850316647392,24.9645958754855,23.1304975328033,23.6802062819883,3.87080119648855,24.1063261823852,3.31530686907901,3.43078154884236,3.36709675857144,3.38463526712418,0.309382224331622,0.523052183838654,1970
"7",6.10613916511471,2.92113156959431,4.06165809686907,25.4377320908546,22.7164992964016,23.4962112662398,4.06975377629743,24.0761958706505,3.2565995645524,3.32229004628999,3.27118316846611,3.3521872654891,0.290935483389041,0.281455070386876,1971
"8",5.70006904928614,3.05564407386669,4.21455056362498,25.102162311519,22.5980114938824,23.6505434590932,4.15913276267472,24.0220965087335,3.26658544790834,3.28645430878409,3.27138709567539,3.33186455326612,0.306483308431642,0.516063905428468,1972
"9",5.29399893345756,3.19015657813906,4.36744303038089,24.7665925321834,22.4795236913632,23.8048756519466,4.24851174905201,23.9679971468166,3.27657133126429,3.2506185712782,3.27159102288467,3.31154184104314,0.300969544106829,0.506708397751447,1973
"10",4.88792881762899,3.32466908241144,4.5203354971368,24.4310227528478,22.361035888844,23.9592078448001,4.3378907354293,23.9138977848997,3.28655721462023,3.21478283377231,3.27179495009395,3.29121912882017,0.273121584450622,0.224747178500085,1974
"11",4.8091109147492,3.57382076302407,4.71407235548309,24.3393055341953,22.7442393020894,23.7015312694122,4.36962554953798,23.8852082827194,3.28473011606885,3.23377033131237,3.20785537024492,3.2826604437934,0.307889975262924,0.507810625478033,1975
"12",4.73029301186942,3.82297244363669,4.90780921382938,24.2475883155427,23.1274427153348,23.4438546940243,4.40136036364666,23.8565187805391,3.28290301751747,3.25275782885243,3.14391579039588,3.27410175876663,0.321763845875302,0.519844243157754,1976
"13",4.65147510898963,4.07212412424932,5.10154607217566,24.1558710968902,23.5106461285803,23.1861781186365,4.43309517775534,23.8278292783588,3.28107591896608,3.27174532639248,3.07997621054685,3.26554307373987,0.317494262669425,0.295990728961821,1977
"14",4.80035617825665,3.80872649771142,5.29678365649347,23.5036601944071,23.6985717091904,23.4076050994827,4.45559097203759,23.6450913517383,3.16760680115445,3.33567212627182,3.08368575679734,3.23647314160067,0.343579994406486,0.528581797041454,1978
"15",4.94923724752366,3.54532887117351,5.49202124081127,22.851449291924,23.8864972898006,23.629032080329,4.47808676631984,23.4623534251178,3.05413768334282,3.39959892615115,3.08739530304783,3.20740320946147,0.354772192764819,0.536182064169573,1979
"16",5.09811831679067,3.28193124463561,5.68725882512907,22.1992383894409,24.0744228704108,23.8504590611752,4.50058256060209,23.2796154984973,2.94066856553119,3.46352572603048,3.09110484929832,3.17833327732227,0.352492404792492,0.334496608281854,1980
"17",5.33333172657776,3.55216105921982,5.88249640944687,22.5647409513333,23.6138300597203,24.0718860420215,4.61064192783586,23.2574121339373,2.95912311965376,3.360009773442,3.09481439554881,3.15959917933448,0.367444084335013,0.546544322924159,1981
"18",5.56854513636484,3.82239087380402,6.07773399376467,22.9302435132258,23.1532372490299,24.2933130228677,4.72070129506964,23.2352087693773,2.97757767377633,3.25649382085353,3.0985239417993,3.14086508134669,0.370280169526402,0.560452806226337,1982
"19",5.80375854615193,4.09262068838823,6.27297157808247,23.2957460751182,22.6926444383395,24.514740003714,4.83076066230341,23.2130054048172,2.99603222789891,3.15297786826505,3.10223348804979,3.1221309833589,0.361286094295795,0.397590158594387,1983
"20",6.03897195593901,4.52330659069595,6.46820916240027,23.6612486370106,22.7441271462302,24.7361669845602,4.96272032526723,23.6895647067741,3.01448678202148,3.09926636763941,3.10594303430028,3.17094113052505,0.34746015187811,0.387972796058662,1984
"21",4.80638163353781,4.95399249300367,6.66344674671807,23.8270562476581,22.7956098541209,24.9575939654065,4.99733441711337,24.1234651085993,3.2125601436431,3.04555486701377,3.10965258055077,3.22749726508299,0.342202123421238,0.493945810800839,1985
"22",3.5737913111366,5.38467839531138,6.85868433103587,23.9928638583056,22.8470925620116,25.1790209462528,5.03194850895952,24.5573655104245,3.41063350526473,2.99184336638813,3.11336212680126,3.28405339964093,0.321890846444683,0.327960592557308,1986
"23",3.42717050238139,5.8153642976191,6.50803889696131,23.7309702925368,22.8985752699023,24.646090735876,5.02358183124189,24.1391930501114,3.39430591928547,2.93813186576249,3.08754275338735,3.22600725479738,0.326214408457982,0.529222881011393,1987
