"","Year","System","Age","VAL.mean","NOR.mean","GLU.mean","PHE.mean","ALA.mean","VAL.sd","NOR.sd","GLU.sd","PHE.sd","ALA.sd","Sample.ID","Trophic.Position"
"1","2019","Egegik","2","15.129062215909","17.0924158143941","22.4723868371214","4.67520738636386","21.2405293110831","5.4111830653238","1.21320710184091","0.351584286005179",NA,"0.241697960099136","19_E_2",3.03926054543308
"2","2019","Kvichak","2","16.3203946969696","15.2633507575756","23.9062765151516","5.2373931818181","22.4602413350457","0.834711738013165","0.402528256098408","0.463593431296109","0.431677801767259","0.0374744497290026","19_K_2",3.16273135033052
"3","2019","Kvichak","3","15.2123474431816","13.0308548295455","24.4330857007576","4.52396695075795","22.730793324776","0.768146296749183","1.97576719534847","0.445861213623252","0.493518861522369","0.068775895895155","19_K_3",3.33840208923508
"4","2019","Wood","2","21.7190132575754","20.981789772727","23.9149753787875","5.43785037878769","23.6371720154051","2.21758944316058","1.615159045078","0.256437573135789","0.207363602972023","0.372767164290019","19_W_2",3.13557011331442
"5","2022","Wood","2","16.7987061553032","13.6206054924243","23.1161459280305","4.78048285984849","22.3512864583338","0.512837276943243","0.592960277165724","0.175238409725921","0.987135668562717","0.221688688464545","22_W_2",3.11553301249037
"6","2016","Kvichak","2","16.1633527462124","15.2541413825765","24.1721142992425","3.76283418560582","23.5200067234855","0.722858386117951","0.530181472112141","0.442907273825454","0.348452512445546","0.291243486665664","16_K_2",3.40924647501936
"7","2013","Kvichak","3","19.8445589970501","13.9731703539823","20.8176873156344","1.13677949852541","19.8356327433628","0.62617859935536","0.167089433386167","0.222316693568557","0.46853696250819","0.0755251426017208","13_K_3",3.30607759449136
"8","2001","Kvichak","2","12.6023840579708","13.7215210803689","21.3910204216069","6.35491897233201","21.5963610013172","0.980990304474625","2.30502612567764","0.513273557307248","0.969320825057784","0.366000484505783","01_K_2",2.64817300981231
"9","2001","Wood","3","13.04834057971","11.7711956521739","22.2293405797098","6.47999275362308","22.4409130434779","1.12926064657722","2.36210636890625","0.289453508466983","0.756098454627087","0.198978988654363","01_W_3",2.74919940879415
"10","2004","Egegik","3","14.7550144927534","14.9415428194993","21.2479841897228","2.40971442687726","21.8694624505924","1.62604480768632","0.645591763145754","0.247254941627598","0.429109007863169","0.300158004473048","04_E_3",3.18672376244271
"11","2004","Kvichak","3","18.1917318840575","13.4612154150197","24.3919743082997","3.57984387351744","23.1227931488797","1.41346945925801","0.475726349167694","0.242634837280217","1.23142724571727","0.0728305393690158","04_K_3",3.46630742702298
"12","2004","Wood","3","15.3840925189393","18.8187127840913","23.2210437499998","7.01444365530275","22.9633702651513","2.45794887033639","0.204177827913139","0.457830968441488","0.741940347079949","0.397071172785411","04_W_3",2.8139660190789
"13","2007","Kvichak","2","20.677286837121","18.0899942234855","20.094952083333","6.00813707386313","21.4687907196967","2.37303820011133","0.360225130829245","0.596322420337744","3.3252309077254","0.438359032366485","07_K_2",2.51371317414587
"14","2010","Egegik","2","21.6096059659088","15.834031155304","22.027722916666","4.10489725378729","22.0903418560601","3.54492051359018","0.719932568847757","0.311818082376973","0.317718359397104","0.256703488542648","10_E_2",3.05705745933126
"15","2010","Egegik","3","14.3600435606058","15.180153409092","23.3704583333328","2.21999053030254","21.7677765151511","0.728016865973696","0.399465011071599","0.309325603527081","0.305462417138899","0.0572238607093264","10_E_3",3.51423056700145
"16","1992","Wood","2","15.8312334280298","14.1669482007576","21.5886849431807","6.81799820075684","23.242611837121","0.356754241787451","2.9326733782016","0.259333697792118","1.07176854138794","0.283309529916732","92_W_2",2.61057885870026
"17","2007","Egegik","2","16.1431471590908","16.4032155303036","19.9325229166658","6.31811950757527","21.7427538825758","0.0905551397323034","0.667752733337675","0.725471683154928","0.595932288390992","0.367464865004003","07_E_2",2.44679934972954
"18","2010","Kvichak","2","21.4504962121212","13.8405984848496","21.7937083333321","3.28450378787789","21.541066287879","3.1946308036734","0.261209556100449","0.35031912317172","0.932519521344276","0.169177262202918","10_K_2",3.14011395827963
"19","2001","Egegik","2","15.1038238636353","14.8720284090909","23.4616818181787","5.3952424242404","23.0434185606055","0.0996041338897242","1.81005858066522","0.0656280853265707","0.7108904653068","0.485001008160124","01_E_2",3.07739934758333
"20","2001","Kvichak","3","14.1477371212112","15.3966553030303","22.5743939393915","6.28936969696833","23.5444992424238","0.631147452789004","1.81471045059859","0.494237042234475","0.422905683693657","0.392574358281172","01_K_3",2.82507425530073
"21","2004","Wood","2","17.79005558712","13.3885582386364","22.8387310606027","3.38889696969445","22.5252747159084","1.68180260639526","0.824426921369263","0.2491821929448","0.303206378906117","0.297054345316925","04_W_2",3.27334760494451
"22","1998","Kvichak","2","13.4170853219689","14.2067523674242","22.48005681818","6.97317575757463","22.4977237689392","0.434537012040077","0.153398423492314","0.28843208613255","0.745968326789493","0.143808792587298","98_K_2",2.71485567430671
"23","1998","Wood","2","14.098172064393","14.5814588068182","22.1660113636342","6.82404848484731","23.4629764204542","0.587784367641629","2.0685844901073","0.564558315002015","0.356620193980933","0.403349136397869","98_W_2",2.6914961584684
"24","2004","Kvichak","2","15.765790151515","15.7099893939398","23.5024568181811","8.71451515151441","24.026306060606","0.782262785980864","1.46138470931339","0.231138234908104","0.209901047049235","0.263247133357603","04_K_2",2.61302289896129
"25","2013","Kvichak","2","13.9961298295453","16.8916744318183","19.7705881628783","5.925795454545","20.5369306818181","0.570718496559784","2.24403840398896","0.360704297148255","0.603180135042429","0.523337925876167","13_K_2",2.47943239494806
