Analysis,Row,Identifier.1,Comment,Amount,unique.ID,Area.44,d.13C.12C.raw,Area.28,d.15N.14N.raw,group,mass.C.mg,mass.N.mg,known.d13C,known.d15N,d.15N.14N.drift,d.13C.12C.drift,d.13C.12C.VPDB,d.15N.14N.air,mass.percent.C,mass.percent.N
47637,3,GA1_QTY_1,QTY,0.339,GA1_QTY_1_47637,72.695,-15.335,34.752,-4.447,GA1,0.13836895200000002,0.0322728,-28.3,-4.6,-4.43643,-15.515920000000001,-27.515819271292543,-4.786926335014183,41.87905549225513,9.790328150065168
47638,4,GA1_QTY_2,QTY,0.45,GA1_QTY_2_47638,100.984,-15.167,48.48,-5.464,GA1,0.18367560000000002,0.042839999999999996,-28.3,-4.6,-5.449906666666667,-15.408226666666666,-27.363207422812604,-5.807715965759379,42.56252440838294,9.91129855764906
47639,5,GA1_QTY_3,QTY,0.632,GA1_QTY_3_47639,136.578,-16.173,66.133,-4.424,GA1,0.25796217600000004,0.060166399999999995,-28.3,-4.6,-4.406383333333333,-16.47453333333333,-28.874266895201586,-4.7566628600072365,40.172600005742424,9.37898685266879
47640,6,GA1_STD_01,STANDARD,0.451,GA1_STD_01_47640,95.852,-16.527,46.035,-4.377,GA1,0.18408376799999998,0.0429352,-28.3,-4.6,-4.35586,-16.888840000000002,-29.46137943300239,-4.70577496443587,40.47456122703399,9.438668759029035
47641,7,GA2_STD_01,STANDARD,0.454,GA2_STD_01_47641,97.752,-2.75,47.067,-5.445,GA2,0.185308272,0.0432208,-13.7,-5.7,-5.420336666666667,-3.172146666666667,-10.023500969782102,-5.777932596912404,40.94030974332744,9.56525627195422
47642,8,SAL_STD_01,STANDARD,0.462,SAL_STD_01_47642,109.836,-10.304,60.218,11.522,SALMON,0.21113400000000002,0.054654600000000005,-21.3,11.3,11.550186666666667,-10.786453333333334,-20.81370849076539,11.315045284820823,44.81380118521394,11.765855756027168
47652,18,GA1_STD_02,STANDARD,0.462,GA1_STD_02_47652,99.232,-17.362,47.519,-4.506,GA1,0.188573616,0.043982400000000005,-28.3,-4.6,-4.44258,-18.447519999999997,-31.67017944527834,-4.793120711693551,40.7926224419118,9.480951533138196
47653,19,GA2_STD_02,STANDARD,0.436,GA2_STD_02_47653,83.404,-12.762,39.99,-5.338,GA2,0.17796124800000002,0.041507199999999994,-13.7,-5.7,-5.2710566666666665,-13.907826666666667,-25.23699579603941,-5.627575434197614,36.86509181795071,8.610868830031079
47654,20,SAL_STD_02,STANDARD,0.466,SAL_STD_02_47654,95.392,-9.303,51.959,11.912,SALMON,0.212962,0.055127800000000005,-21.3,11.3,11.982466666666667,-10.509133333333335,-20.420719282329813,11.750444496358533,38.99879116874791,10.191592450802018
47665,31,GA1_STD_03,STANDARD,0.477,GA1_STD_03_47665,101.509,-17.437,48.695,-4.297,GA1,0.194696136,0.0454104,-28.3,-4.6,-4.187776666666666,-19.306506666666667,-32.8874464660127,-4.536478788795166,40.34615134277672,9.387749660057256
47666,32,GA2_STD_03,STANDARD,0.45,GA2_STD_03_47666,95.408,-2.742,45.771,-5.578,GA2,0.18367560000000002,0.042839999999999996,-13.7,-5.7,-5.465253333333334,-4.671813333333334,-12.148673392436642,-5.823173369679058,40.39164406663234,9.41087592430252
47667,33,SAL_STD_03,STANDARD,0.448,SAL_STD_03_47667,106.863,-7.751,60.153,10.87,SALMON,0.204736,0.05299840000000001,-21.3,11.3,10.98627,-9.74112,-19.332370256170005,10.74705955325878,45.05159978256334,12.1214779573021
47678,44,GA1_STD_04,STANDARD,0.452,GA1_STD_04_47678,95.301,-7.79,45.632,-4.358,GA1,0.18449193600000002,0.0430304,-28.3,-4.6,-4.202973333333333,-10.443493333333333,-20.327701066399797,-4.551785110356811,40.171446450154015,9.343671586195116
47679,45,GA2_STD_04,STANDARD,0.432,GA2_STD_04_47679,91.666,-2.737,43.981,-5.487,GA2,0.17632857600000001,0.0411264,-13.7,-5.7,-5.32845,-5.450800000000001,-13.25257269113563,-5.685382901766908,40.557069934524286,9.458558802927442
47680,46,SAL_STD_04,STANDARD,0.454,SAL_STD_04_47680,108.83,-15.46,58.983,11.46,SALMON,0.20747800000000002,0.053708200000000005,-21.3,11.3,11.622073333333335,-18.23410666666667,-31.36775215212868,11.387450665561873,45.215260757294224,11.74705706042634
47681,47,GA2_QTY_1,QTY,0.377,GA2_QTY_1_47681,85.482,-1.71,40.925,-5.399,GA2,0.153879336,0.035890399999999996,-13.7,-5.7,-5.233403333333333,-4.544413333333334,-11.96813529509533,-5.58965040494551,43.600102214062744,10.164621376022536
47682,48,GA2_QTY_2,QTY,0.467,GA2_QTY_2_47682,104.984,-0.926,50.918,-5.616,GA2,0.19061445600000002,0.0444584,-13.7,-5.7,-5.446879999999999,-3.8207200000000006,-10.942591986943114,-5.804667459512839,42.513752292889365,9.984469389248604
47683,49,GA2_QTY_3,QTY,0.659,GA2_QTY_3_47683,145.602,-1.843,70.423,-5.408,GA2,0.268982712,0.0627368,-13.7,-5.7,-5.235356666666667,-4.798026666666667,-12.327529868567762,-5.591617832985678,40.92573168424436,9.535862158055457
