Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,47687,04/10/24,CONDITIONER,B11,DUMMY,0.564,N2,1,1,37.8,25.5,20.6,449,8267,8.267,13.0,296,5444,0.06,0.6585383,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,47687,04/10/24,CONDITIONER,B11,DUMMY,0.564,N2,2,0,218.4,86.7,25.5,3117,73669,73.669,16.2,2077,49072,0.54,0.6661069,0.0074409,11.493,11.493,0.0037205,11.493,,,,,,,,,,,,,,,,,,,,,,,,
1,47687,04/10/24,CONDITIONER,B11,DUMMY,0.564,CO2,3,0,374.7,114.1,,,,,,,,,,,,,,,0.2,4997,133615,133.615,-0.3,5049,134703,1.482,1.1,7206,0.578,192811,1.0081393,0.0118647,-10.025,-10.025,1.4430344,0.0040084,-2.774,-2.774,0.0110612,-10.644,0.0019997,-2.754
1,47687,04/10/24,CONDITIONER,B11,DUMMY,0.564,CO2,4,1,525.2,39.3,,,,,,,,,,,,,,,6.3,4177,76404,76.404,5.8,4253,77806,0.856,9.8,6044,0.332,110560,1.0183483,0.0119849,0,0,1.4470492,0.0040196,0,0,0.0111802,0,0.0020052,0
2,47688,04/10/24,BLANK,B12,BLANK,0,N2,1,1,40.3,25.5,23.0,447,8233,8.233,15.2,294,5414,0.06,0.6576475,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,47688,04/10/24,BLANK,B12,BLANK,0,CO2,2,1,525.2,37.2,,,,,,,,,,,,,,,1.7,4170,77306,77.306,1.1,4246,78744,0.866,3.1,6031,0.336,111855,1.0186016,0.0119849,0,0,1.4469156,0.0040196,0,0,0.0111802,0,0.0020052,0
3,47689,04/10/24,GA1_QTY_1,C1,QTY,0.29,N2,1,1,47.4,25.3,21.5,448,8259,8.259,13.8,295,5437,0.06,0.6582951,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,47689,04/10/24,GA1_QTY_1,C1,QTY,0.29,N2,2,0,218.2,80.9,25.9,1269,29710,29.71,16.7,833,19470,0.214,0.6553377,0.0073234,-4.493,-4.493,0.0036617,-4.493,,,,,,,,,,,,,,,,,,,,,,,,
3,47689,04/10/24,GA1_QTY_1,C1,QTY,0.29,CO2,3,0,378.1,93.8,,,,,,,,,,,,,,,1.0,2338,61102,61.102,0.5,2333,60983,0.671,2.2,3378,0.265,88353,0.9980621,0.0117481,-19.756,-19.756,1.4459879,0.0040173,-0.564,-0.564,0.0109436,-21.159,0.0020042,-0.517
3,47689,04/10/24,GA1_QTY_1,C1,QTY,0.29,CO2,4,1,525.2,37.8,,,,,,,,,,,,,,,1.8,4152,77035,77.035,1.3,4226,78435,0.863,3.2,6005,0.334,111454,1.0181775,0.0119849,0,0,1.4468043,0.0040196,0,0,0.0111802,0,0.0020052,0
4,47690,04/10/24,GA1_QTY_2,C2,QTY,0.416,N2,1,1,34.1,25.5,21.2,449,8236,8.236,13.6,295,5422,0.06,0.6583399,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
4,47690,04/10/24,GA1_QTY_2,C2,QTY,0.416,N2,2,0,218.2,82.3,25.6,1848,42643,42.643,16.5,1212,27950,0.307,0.6554469,0.0073241,-4.394,-4.394,0.003662,-4.394,,,,,,,,,,,,,,,,,,,,,,,,
4,47690,04/10/24,GA1_QTY_2,C2,QTY,0.416,CO2,3,0,376.6,95.5,,,,,,,,,,,,,,,0.7,3411,88274,88.274,0.2,3430,88621,0.975,1.9,4918,0.382,127465,1.0039361,0.0117976,-15.623,-15.623,1.4439755,0.004013,-1.644,-1.644,0.0109936,-16.687,0.002002,-1.608
4,47690,04/10/24,GA1_QTY_2,C2,QTY,0.416,CO2,4,1,525.2,38.9,,,,,,,,,,,,,,,2.0,4155,77135,77.135,1.5,4236,78667,0.865,3.6,6009,0.335,111564,1.019869,0.0119849,0,0,1.4463527,0.0040196,0,0,0.0111802,0,0.0020052,0
5,47691,04/10/24,GA1_QTY_3,C3,QTY,0.625,N2,1,1,47.4,25.5,21.2,445,8205,8.205,13.5,293,5395,0.059,0.6575625,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
5,47691,04/10/24,GA1_QTY_3,C3,QTY,0.625,N2,2,0,219.5,83.2,25.6,2313,52424,52.424,16.4,1509,34318,0.377,0.6546209,0.0073235,-4.474,-4.474,0.0036617,-4.474,,,,,,,,,,,,,,,,,,,,,,,,
5,47691,04/10/24,GA1_QTY_3,C3,QTY,0.625,CO2,3,0,375.6,98,,,,,,,,,,,,,,,0.7,4221,109003,109.003,0.2,4253,109694,1.207,1.9,6083,0.472,157361,1.0063346,0.011816,-14.093,-14.093,1.4436366,0.0040128,-1.671,-1.671,0.011012,-15.046,0.0020019,-1.639
5,47691,04/10/24,GA1_QTY_3,C3,QTY,0.625,CO2,4,1,525.4,38.9,,,,,,,,,,,,,,,2.1,4164,77303,77.303,1.6,4251,78905,0.868,3.8,6021,0.335,111785,1.0207192,0.0119849,0,0,1.4460533,0.0040196,0,0,0.0111802,0,0.0020052,0
6,47692,04/10/24,GA1_STD_01,C4,STD,0.473,N2,1,1,41.8,25.5,21.2,446,8217,8.217,13.6,294,5408,0.059,0.6580975,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
6,47692,04/10/24,GA1_STD_01,C4,STD,0.473,N2,2,0,218,81.7,25.6,2122,48319,48.319,16.4,1391,31656,0.348,0.6551413,0.0073234,-4.492,-4.492,0.0036617,-4.492,,,,,,,,,,,,,,,,,,,,,,,,
6,47692,04/10/24,GA1_STD_01,C4,STD,0.473,CO2,3,0,375.8,96.6,,,,,,,,,,,,,,,0.8,3855,98992,98.992,0.3,3863,98972,1.089,1.9,5565,0.429,143127,0.999801,0.0117448,-20.031,-20.031,1.4458472,0.0040188,-0.177,-0.177,0.0109402,-21.468,0.0020049,-0.129
6,47692,04/10/24,GA1_STD_01,C4,STD,0.473,CO2,4,1,525.2,38.5,,,,,,,,,,,,,,,2.1,4155,77114,77.114,1.6,4238,78674,0.865,3.8,6008,0.335,111515,1.0202378,0.0119849,0,0,1.4461027,0.0040196,0,0,0.0111802,0,0.0020052,0
7,47693,04/10/24,GA2_STD_01,C5,STD,0.448,N2,1,1,32.8,25.1,21.6,466,8399,8.399,13.9,306,5525,0.061,0.6577509,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
