Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,47379,03/26/24,CONDITIONER,A6,DUMMY,0.352,N2,1,1,47.4,26.1,21.8,1096,20188,20.188,13.9,721,13273,0.146,0.6574645,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,47379,03/26/24,CONDITIONER,A6,DUMMY,0.352,N2,2,0,216.7,82.8,26.5,2053,47513,47.513,16.9,1367,31602,0.348,0.6651287,0.0074422,11.657,11.657,0.0037211,11.657,,,,,,,,,,,,,,,,,,,,,,,,
1,47379,03/26/24,CONDITIONER,A6,DUMMY,0.352,CO2,3,0,376.6,96.1,,,,,,,,,,,,,,,0.3,3340,86394,86.394,-0.2,3446,88920,0.978,1.3,4811,0.374,124549,1.0292381,0.0118739,-9.259,-9.259,1.4416345,0.0040178,-0.435,-0.435,0.0110694,-9.91,0.0020044,-0.413
1,47379,03/26/24,CONDITIONER,A6,DUMMY,0.352,CO2,4,1,525.4,38.2,,,,,,,,,,,,,,,2.1,4306,78899,78.899,1.6,4474,81964,0.902,3.8,6210,0.341,113792,1.0388565,0.0119849,0,0,1.4422618,0.0040196,0,0,0.0111802,0,0.0020052,0
2,47380,03/26/24,BLANK,A7,BLANK,0,N2,1,1,47.4,26.1,22.5,1095,20189,20.189,14.5,720,13269,0.146,0.6572186,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,47380,03/26/24,BLANK,A7,BLANK,0,CO2,2,1,525.2,38.2,,,,,,,,,,,,,,,0.7,4306,79831,79.831,0.1,4476,83022,0.913,1.7,6207,0.345,115111,1.0399644,0.0119849,0,0,1.4419331,0.0040196,0,0,0.0111802,0,0.0020052,0
3,47381,03/26/24,GA1_QTY_1,A8,QTY,0.344,N2,1,1,43.9,26.1,22.3,1094,20097,20.097,14.2,719,13209,0.145,0.6572642,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,47381,03/26/24,GA1_QTY_1,A8,QTY,0.344,N2,2,0,216.5,80.9,26.8,1563,36164,36.164,17.2,1024,23661,0.26,0.6542571,0.0073227,-4.575,-4.575,0.0036614,-4.575,,,,,,,,,,,,,,,,,,,,,,,,
3,47381,03/26/24,GA1_QTY_1,A8,QTY,0.344,CO2,3,0,376.8,93.8,,,,,,,,,,,,,,,0.6,2927,75387,75.387,0.1,3002,77177,0.849,1.8,4208,0.326,108503,1.0237408,0.0117919,-16.098,-16.098,1.4392825,0.0040131,-1.61,-1.61,0.0109879,-17.198,0.002002,-1.574
3,47381,03/26/24,GA1_QTY_1,A8,QTY,0.344,CO2,4,1,525.2,38.5,,,,,,,,,,,,,,,2.0,4308,79932,79.932,1.5,4481,83169,0.915,3.8,6210,0.346,115230,1.0404903,0.0119849,0,0,1.4416041,0.0040196,0,0,0.0111802,0,0.0020052,0
