Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
6,47485,03/28/24,GA1_STD_01,B4,STD,0.46,CO2,3,0,373.3,95.1,,,,,,,,,,,,,,,0.9,3720,94920,94.92,0.4,3773,96035,1.056,2.1,5348,0.41,136634,1.0117519,0.011787,-16.512,-16.512,1.439471,0.0040103,-2.307,-2.307,0.0109832,-17.616,0.0020006,-2.27
6,47485,03/28/24,GA1_STD_01,B4,STD,0.46,CO2,4,1,525.4,38.9,,,,,,,,,,,,,,,2.1,4032,74780,74.78,1.6,4147,76929,0.846,3.8,5817,0.324,107893,1.0287386,0.0119849,0,0,1.4427996,0.0040196,0,0,0.0111802,0,0.0020052,0
7,47486,03/28/24,GA2_STD_01,B5,STD,0.458,N2,1,1,47.4,26.1,21.1,924,17011,17.011,13.5,607,11181,0.123,0.6572818,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
7,47486,03/28/24,GA2_STD_01,B5,STD,0.458,N2,2,0,216.3,80.9,25.2,2018,45539,45.539,16.2,1320,29769,0.327,0.6537072,0.0073164,-5.438,-5.438,0.0036582,-5.438,,,,,,,,,,,,,,,,,,,,,,,,
7,47486,03/28/24,GA2_STD_01,B5,STD,0.458,CO2,3,0,373.1,94.5,,,,,,,,,,,,,,,0.8,3718,94208,94.208,0.4,3828,96753,1.064,2.2,5346,0.407,135654,1.0270134,0.0119495,-2.953,-2.953,1.439939,0.0040123,-1.805,-1.805,0.0111456,-3.099,0.0020016,-1.8
7,47486,03/28/24,GA2_STD_01,B5,STD,0.458,CO2,4,1,525.4,38.2,,,,,,,,,,,,,,,2.0,4033,74793,74.793,1.6,4156,77041,0.847,3.8,5815,0.324,107892,1.0300552,0.0119849,0,0,1.4425428,0.0040196,0,0,0.0111802,0,0.0020052,0
8,47487,03/28/24,SAL_STD_01,B6,STD,0.451,N2,1,1,47.4,26.1,21.1,923,17008,17.008,13.5,607,11177,0.123,0.657197,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
8,47487,03/28/24,SAL_STD_01,B6,STD,0.451,N2,2,0,216.5,82.8,25.2,2564,58014,58.014,16.2,1706,38570,0.424,0.6648346,0.0074419,11.622,11.622,0.0037209,11.622,,,,,,,,,,,,,,,,,,,,,,,,
8,47487,03/28/24,SAL_STD_01,B6,STD,0.451,CO2,3,0,372.6,96.1,,,,,,,,,,,,,,,0.8,4189,106522,106.522,0.4,4289,108759,1.196,2.1,6023,0.46,153344,1.0210008,0.011869,-9.67,-9.67,1.4395535,0.0040119,-1.901,-1.901,0.0110651,-10.296,0.0020014,-1.88
8,47487,03/28/24,SAL_STD_01,B6,STD,0.451,CO2,4,1,525.4,38.2,,,,,,,,,,,,,,,2.2,4034,74805,74.805,1.7,4158,77122,0.848,4.0,5816,0.324,107891,1.0309703,0.0119849,0,0,1.4422949,0.0040196,0,0,0.0111802,0,0.0020052,0
9,47488,03/28/24,86_W_02_a,B7,SAMPLE,0.357,N2,1,1,47.4,26.1,21.2,926,17044,17.044,13.6,608,11205,0.123,0.657419,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
9,47488,03/28/24,86_W_02_a,B7,SAMPLE,0.357,N2,2,0,216.5,80.9,25.1,1719,39103,39.103,16.1,1144,26010,0.286,0.6651697,0.0074431,11.789,11.789,0.0037216,11.789,,,,,,,,,,,,,,,,,,,,,,,,
9,47488,03/28/24,86_W_02_a,B7,SAMPLE,0.357,CO2,3,0,375.4,88.8,,,,,,,,,,,,,,,0.9,2108,53218,53.218,0.4,2167,54631,0.601,2.2,3038,0.23,76797,1.0265491,0.0119232,-5.146,-5.146,1.4430615,0.0040219,0.594,0.594,0.0111183,-5.539,0.0020064,0.607
9,47488,03/28/24,86_W_02_a,B7,SAMPLE,0.357,CO2,4,1,525.4,37.8,,,,,,,,,,,,,,,1.6,4033,74785,74.785,1.1,4162,77167,0.849,3.2,5815,0.324,107855,1.0318592,0.0119849,0,0,1.4422044,0.0040196,0,0,0.0111802,0,0.0020052,0
10,47489,03/28/24,86_W_02_b,B8,SAMPLE,0.425,N2,1,1,47.4,26.1,21.1,924,17035,17.035,13.5,607,11194,0.123,0.6571235,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
10,47489,03/28/24,86_W_02_b,B8,SAMPLE,0.425,N2,2,0,216.1,80.3,25.3,1977,44168,44.168,16.2,1316,29373,0.323,0.6650212,0.0074448,12.019,12.019,0.0037224,12.019,,,,,,,,,,,,,,,,,,,,,,,,
10,47489,03/28/24,86_W_02_b,B8,SAMPLE,0.425,CO2,3,0,374.3,90.9,,,,,,,,,,,,,,,0.8,2510,62657,62.657,0.3,2582,64345,0.708,2.2,3617,0.271,90407,1.0269389,0.0119273,-4.804,-4.804,1.4428736,0.0040215,0.472,0.472,0.0111224,-5.168,0.0020062,0.484
10,47489,03/28/24,86_W_02_b,B8,SAMPLE,0.425,CO2,4,1,525.4,38.2,,,,,,,,,,,,,,,1.9,4037,74879,74.879,1.5,4164,77267,0.85,3.6,5820,0.324,107990,1.0318963,0.0119849,0,0,1.4421936,0.0040196,0,0,0.0111802,0,0.0020052,0
11,47490,03/28/24,86_W_02_c,B9,SAMPLE,0.659,N2,1,1,47.4,26.3,21.3,924,17022,17.022,13.7,607,11185,0.123,0.6570832,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
11,47490,03/28/24,86_W_02_c,B9,SAMPLE,0.659,N2,2,0,216.1,84.2,25.3,3233,72352,72.352,16.3,2151,48116,0.529,0.6650268,0.0074453,12.089,12.089,0.0037227,12.089,,,,,,,,,,,,,,,,,,,,,,,,
11,47490,03/28/24,86_W_02_c,B9,SAMPLE,0.659,CO2,3,0,372.9,95.3,,,,,,,,,,,,,,,0.9,3968,100537,100.537,0.4,4084,103172,1.135,2.2,5708,0.434,144814,1.0262164,0.0119107,-6.191,-6.191,1.4404125,0.004015,-1.143,-1.143,0.0111065,-6.594,0.0020029,-1.129
