"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","d15N.correct","adj"
"16",45913,"98_E_2",1279.9,19.19,22.523,22.523,"ALA",22.09285,21.9991636363635
"17",45913,"98_E_2",1401.8,9.556,21.288,21.288,"VAL",20.85785,22.232259090909
"18",45913,"98_E_2",1527.4,4.814,12.704,12.704,"NOR",12.27385,12.1490636363646
"19",45913,"98_E_2",2069.9,10.775,21.416,21.416,"GLU",20.98585,21.0122590909079
"20",45913,"98_E_2",2177.8,3.185,2.59,2.59,"PHE",2.15985,1.99690909090795
"21",45914,"98_E_2",1279.7,16.757,22.04,22.04,"ALA",21.60985,21.5110147727272
"22",45914,"98_E_2",1401.3,10.582,18.954,18.954,"VAL",18.52385,19.8857838068181
"23",45914,"98_E_2",1527,4.206,12.888,12.888,"NOR",12.45785,12.402971022728
"24",45914,"98_E_2",2069.3,9.703,22.068,22.068,"GLU",21.63785,21.5846588068172
"25",45914,"98_E_2",2177.4,2.691,3.473,3.473,"PHE",3.04285,2.80656818181714
"26",45915,"98_E_2",1279.3,15.705,22.427,22.427,"ALA",21.99685,21.8928659090908
"27",45915,"98_E_2",1401.1,11.42,17.595,17.595,"VAL",17.16485,18.5143085227271
"28",45915,"98_E_2",1526.7,7.497,15.21,15.21,"NOR",14.77985,14.7948784090914
"29",45915,"98_E_2",2069.3,9.524,21.878,21.878,"GLU",21.44785,21.3150585227261
"30",45915,"98_E_2",2177.2,2.566,3.093,3.093,"PHE",2.66285,2.35322727272634
"31",45916,"10_W_2",1277.2,11.076,22.652,22.652,"ALA",22.22185,22.1127170454545
"32",45916,"10_W_2",1399.5,7.959,16.615,16.615,"VAL",16.18485,17.5218332386362
"33",45916,"10_W_2",1527.4,3.852,16.528,16.528,"NOR",16.09785,16.1827857954553
"34",45916,"10_W_2",2059.7,4.154,23.381,23.381,"GLU",22.95085,22.7384582386354
"35",45916,"10_W_2",2175.1,1.913,4.273,4.273,"PHE",3.84285,3.45988636363554
"36",45917,"10_W_2",1276.6,11.138,22.858,22.858,"ALA",22.42785,22.3135681818181
"37",45917,"10_W_2",1398.8,7.781,16.066,16.066,"VAL",15.63585,16.9603579545453
"38",45917,"10_W_2",1526.5,3.89,17.31,17.31,"NOR",16.87985,17.0346931818187
"39",45917,"10_W_2",2058.9,4.055,24.557,24.557,"GLU",24.12685,23.8348579545447
"40",45917,"10_W_2",2174.4,1.844,4.82,4.82,"PHE",4.38985,3.93354545454474
"41",45918,"10_W_2",1277.4,11.008,23.254,23.254,"ALA",22.82385,22.7044193181817
"42",45918,"10_W_2",1399.5,5.162,16.504,16.504,"VAL",16.07385,17.3858826704544
"43",45918,"10_W_2",1527.4,3.932,17.627,17.627,"NOR",17.19685,17.4216005681826
"44",45918,"10_W_2",2059.9,3.929,24.889,24.889,"GLU",24.45885,24.0872576704535
"51",45920,"04_K_2",1287.2,18.616,24.715,24.715,"ALA",24.28485,24.155121590909
"52",45920,"04_K_2",1409.3,11.211,15.039,15.039,"VAL",14.60885,15.8959321022726
"53",45920,"04_K_2",1533.9,8.675,14.536,14.536,"NOR",14.10585,14.4704153409094
"54",45920,"04_K_2",2081.8,12.313,24.342,24.342,"GLU",23.91185,23.3810571022721
"55",45920,"04_K_2",2183.6,2.921,9.608,9.608,"PHE",9.17785,8.50152272727188
"56",45921,"04_K_2",1290.8,18.285,25.008,25.008,"ALA",24.57785,24.4429727272727
"57",45921,"04_K_2",1413,10.372,16.46,16.46,"VAL",16.02985,17.3044568181817
"58",45921,"04_K_2",1537.8,8.288,14.616,14.616,"NOR",14.18585,14.6203227272732
"59",45921,"04_K_2",2086.9,11.829,24.339,24.339,"GLU",23.90885,23.2984568181809
"60",45921,"04_K_2",2188,2.787,10.101,10.101,"PHE",9.67085,8.92118181818107
"61",45922,"04_K_2",1294.3,18.014,25.251,25.251,"ALA",24.82085,24.6808238636363
"62",45922,"04_K_2",1416.8,10.533,16.358,16.358,"VAL",15.92785,17.1899815340907
"63",45922,"04_K_2",1542,4.427,16.999,16.999,"NOR",16.56885,17.0732301136367
"64",45922,"04_K_2",2093.1,11.599,24.066,24.066,"GLU",23.63585,22.9458565340902
