"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","d15N.correct","adj"
"16",46557,"10_W_2_R",1274.9,13.554,23.777,23.777,"ALA",23.34685,23.4060000000001
"17",46557,"10_W_2_R",1396.7,5.711,20.863,20.863,"VAL",20.43285,21.9827090909092
"18",46557,"10_W_2_R",1524.7,5.735,13.807,13.807,"NOR",13.37685,13.1913863636361
"19",46557,"10_W_2_R",2064.3,9.926,24.217,24.217,"GLU",23.78685,24.0250545454554
"20",46557,"10_W_2_R",2172.3,2.508,4.587,4.587,"PHE",4.15685,4.49416818181868
"21",46558,"10_W_2_R",1274.3,12.939,23.466,23.466,"ALA",23.03585,23.0925000000001
"22",46558,"10_W_2_R",1396.3,5.793,20.8,20.8,"VAL",20.36985,21.9153556818183
"23",46558,"10_W_2_R",1524.2,5.456,13.822,13.822,"NOR",13.39185,13.2359133522723
"24",46558,"10_W_2_R",2063.9,9.61,23.902,23.902,"GLU",23.47185,23.6460465909098
"25",46558,"10_W_2_R",2171.9,2.407,5.363,5.363,"PHE",4.93285,5.19691448863681
"26",46559,"10_W_2_R",1274.9,12.518,22.834,22.834,"ALA",22.40385,22.4580000000001
"27",46559,"10_W_2_R",1396.7,5.86,19.961,19.961,"VAL",19.53085,21.0720022727274
"28",46559,"10_W_2_R",1524.9,5.288,13.175,13.175,"NOR",12.74485,12.6184403409088
"29",46559,"10_W_2_R",2064.3,9.253,23.292,23.292,"GLU",22.86185,22.9720386363642
"30",46559,"10_W_2_R",2172.6,2.347,3.89,3.89,"PHE",3.45985,3.65066079545494
"31",46560,"04_E_2_R",1279.5,20.267,22.92,22.92,"ALA",22.48985,22.5415
"32",46560,"04_E_2_R",1400.9,8.802,19.379,19.379,"VAL",18.94885,20.4856488636365
"33",46560,"04_E_2_R",1525.7,5.657,12.652,12.652,"NOR",12.22185,12.124967329545
"34",46560,"04_E_2_R",2072.2,14.437,23.294,23.294,"GLU",22.86385,22.9100306818191
"35",46560,"04_E_2_R",2175.3,3.302,4.536,4.536,"PHE",4.10585,4.22340710227307
"36",46561,"04_E_2_R",1278.9,19.411,23.383,23.383,"ALA",22.95285,23.002
"37",46561,"04_E_2_R",1400.3,7.625,16.353,16.353,"VAL",15.92285,17.4552954545455
"38",46561,"04_E_2_R",1525.3,3.189,9.676,9.676,"NOR",9.24585,9.17849431818146
"39",46561,"04_E_2_R",2072,13.735,23.498,23.498,"GLU",23.06785,23.0500227272736
"40",46561,"04_E_2_R",2175.1,2.942,3.982,3.982,"PHE",3.55185,3.5961534090912
"41",46562,"04_E_2_R",1279.1,17.946,23.454,23.454,"ALA",23.02385,23.0705
"42",46562,"04_E_2_R",1400.3,11.326,16.502,16.502,"VAL",16.07185,17.5999420454546
"43",46562,"04_E_2_R",1525.7,4.257,13.988,13.988,"NOR",13.55785,13.5200213068179
"44",46562,"04_E_2_R",2072.2,12.758,23.623,23.623,"GLU",23.19285,23.111014772728
