Analysis,Row,Identifier.1,Comment,Amount,unique.ID,Area.44,d.13C.12C.raw,Area.28,d.15N.14N.raw,group,mass.C.mg,mass.N.mg,known.d13C,known.d15N,d.13C.12C.blank,d.15N.14N.drift,d.13C.12C.drift,d.13C.12C.VPDB,d.15N.14N.air,mass.percent.C,mass.percent.N
47331,2,GA1_QTY_1,QTY,0.373,GA1_QTY_1_47331,81.638,-17.015,39.346,-4.38,GA1,0.152246664,0.0355096,-28.3,-4.6,-16.938384745910696,-4.375586666666667,-16.884058079244028,-28.396497635438934,-4.659460478495371,50.1722317824303,11.628450896339857
47332,3,GA1_QTY_2,QTY,0.469,GA1_QTY_2_47332,102.331,-16.912,49.354,-4.357,GA1,0.191430792,0.0446488,-28.3,-4.6,-16.84958550008919,-4.35038,-16.768095500089192,-28.28552735560271,-4.634392657364037,38.176929281340904,8.894931510666773
47333,4,GA1_QTY_3,QTY,0.639,GA1_QTY_3_47333,139.458,-17.213,67.32,-4.377,GA1,0.260819352,0.0608328,-28.3,-4.6,-17.170629510977253,-4.368173333333333,-17.06197617764392,-28.56675619049403,-4.652087979924081,25.74806842137604,6.063041350874946
47334,5,GA1_STD_01,STANDARD,0.469,GA1_STD_01_47334,102.786,-16.988,49.628,-4.379,GA1,0.191430792,0.0446488,-28.3,-4.6,-16.926983000483673,-4.367966666666666,-16.791166333817007,-28.30760496799707,-4.651882451636571,38.13898864785584,8.885259318825794
47335,6,GA2_STD_01,STANDARD,0.462,GA2_STD_01_47335,102.127,-2.777,48.411,-5.405,GA2,0.188573616,0.043982400000000005,-13.7,-5.7,-2.5053231185039326,-5.3917600000000006,-2.3423431185039325,-14.48081733362998,-5.670036438232106,38.772636087917135,9.063495433837952
47336,7,SAL_STD_01,STANDARD,0.466,SAL_STD_01_47336,115.768,-9.986,63.329,11.726,SALMON,0.212962,0.055127800000000005,-21.3,11.3,-9.840681813806595,11.741446666666668,-9.650538480473262,-21.474387934820765,11.368795621785052,37.29503247171899,8.455702073331096
47346,17,GA1_STD_02,STANDARD,0.454,GA1_STD_02_47346,99.601,-17.037,47.624,-4.355,GA1,0.185308272,0.0432208,-28.3,-4.6,-16.974745861872087,-4.317486666666667,-16.51296919520542,-28.041384480781588,-4.601680509926323,39.67344664223763,9.251903558022443
47347,18,GA2_STD_02,STANDARD,0.453,GA2_STD_02_47347,93.521,-2.441,44.778,-5.462,GA2,0.18490010399999998,0.04312559999999999,-13.7,-5.7,-2.13848215837964,-5.42228,-1.64954215837964,-13.817842113726119,-5.700388325335846,40.28591974423203,9.376339288732954
47348,19,SAL_STD_02,STANDARD,0.458,SAL_STD_02_47348,112.792,-10.271,60.964,11.519,SALMON,0.20930600000000002,0.054181400000000005,-21.3,11.3,-10.125609022218596,11.560926666666667,-9.609505688885262,-21.435121643934792,11.189269977618364,38.20059094256715,8.688889440269856
47359,30,GA1_STD_03,STANDARD,0.46,GA1_STD_03_47359,98.696,-18.04,46.84,-4.334,GA1,0.18775728,0.043792,-28.3,-4.6,-17.99253005441992,-4.267799999999999,-17.177630054419918,-28.677431057882412,-4.552267531642316,39.232907716515044,9.159443202593785
47360,31,GA2_STD_03,STANDARD,0.437,GA2_STD_03_47360,94.963,-1.607,44.995,-5.514,GA2,0.178369416,0.0416024,-13.7,-5.7,-1.295863769604333,-5.445593333333334,-0.45380043627099953,-12.673578209962223,-5.723573242155807,41.631871519288346,9.711416736674067
47361,32,SAL_STD_03,STANDARD,0.46,SAL_STD_03_47361,114.87,-10.466,62.485,11.641,SALMON,0.21022000000000002,0.05441800000000001,-21.3,11.3,-10.325834566638047,11.711613333333334,-9.456607899971381,-21.288806250246814,11.33912661899142,37.85783510778031,8.59636992431588
47371,42,GA1_STD_04,STANDARD,0.455,GA1_STD_04_47371,101.401,-17.482,48.389,-4.465,GA1,0.18571643999999998,0.043316,-28.3,-4.6,-17.427499309392136,-4.37232,-16.286639309392136,-27.824798311803185,-4.656211805563777,39.43153913826315,9.203734319837121
47372,43,GA2_STD_04,STANDARD,0.463,GA2_STD_04_47372,99.317,-5.139,47.657,-5.478,GA2,0.188981784,0.044077599999999995,-13.7,-5.7,-4.895470540131619,-5.383113333333333,-3.727447206798286,-15.806291373622566,-5.661437399880521,38.926245050220516,9.070880945362969
47373,44,SAL_STD_04,STANDARD,0.31,SAL_STD_04_47373,110.49,-10.353,60.328,11.578,SALMON,0.14167000000000002,0.036673,-21.3,11.3,-10.205658654507733,11.675093333333333,-9.010471987841067,-20.861876913430446,11.30280778160516,56.728701142687896,12.871099290198252
47374,45,GA2_QTY_1,QTY,0.454,GA2_QTY_1_47374,67.816,-2.654,32.379,-5.418,GA2,0.185308272,0.0432208,-13.7,-5.7,-2.2390232182971648,-5.3187,-1.0166732182971647,-13.212218783403037,-5.597378873625313,42.41143997895897,9.807831825850824
47375,46,GA2_QTY_2,QTY,0.574,GA2_QTY_2_47375,99.476,-2.925,47.623,-5.335,GA2,0.234288432,0.05464479999999999,-13.7,-5.7,-2.6482219988364086,-5.2334933333333336,-1.3987086655030752,-13.577807241272623,-5.512641549668802,31.38786285762182,7.3177365348923775
47376,47,GA2_QTY_3,QTY,0,GA2_QTY_3_47376,127.937,-1.603,61.021,-5.862,GA2,0,0,-13.7,-5.7,-1.3729520435277198,-5.758286666666667,-0.09627537686105314,-12.331444944383424,-6.034544171101603,Inf,Inf
