Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,Peak_ID
46890,5AA,1276.4,17.947,-0.85,-0.85,ALA
46890,5AA,1397.4,11.472,-0.571,-0.571,VAL
46890,5AA,1533.6,22.314,14.87,14.87,NOR
46890,5AA,2066.2,11.489,-2.716,-2.716,GLU
46890,5AA,2182.6,11.382,-4.703,-4.703,PHE
46891,5AA,1277.4,18.832,-0.866,-0.866,ALA
46891,5AA,1398.2,11.576,-0.85,-0.85,VAL
46891,5AA,1534.7,21.719,15.186,15.186,NOR
46891,5AA,2067.2,11.757,-2.625,-2.625,GLU
46891,5AA,2183.6,11.281,-4.22,-4.22,PHE
46892,5AA,1276.8,18.412,-0.748,-0.748,ALA
46892,5AA,1397.8,11.62,-0.875,-0.875,VAL
46892,5AA,1534.3,21.833,15.019,15.019,NOR
46892,5AA,2066.6,11.954,-3.224,-3.224,GLU
46892,5AA,2183,11.275,-4.69,-4.69,PHE
46893,22_K_2,1275.3,15.525,24.1,24.1,ALA
46893,22_K_2,1397.4,5.425,21.468,21.468,VAL
46893,22_K_2,1525.3,5.712,14.042,14.042,NOR
46893,22_K_2,2065.8,11.654,23.601,23.601,GLU
46893,22_K_2,2172.1,2.395,5.192,5.192,PHE
46894,22_K_2,1275.3,15.023,23.894,23.894,ALA
46894,22_K_2,1397.2,5.261,22.101,22.101,VAL
46894,22_K_2,1525.3,5.497,14.043,14.043,NOR
46894,22_K_2,2065.1,11.086,23.434,23.434,GLU
46894,22_K_2,2171.9,2.362,6.203,6.203,PHE
46895,22_K_2,1275.3,14.833,23.719,23.719,ALA
46895,22_K_2,1397.2,4.83,20.955,20.955,VAL
46895,22_K_2,1525.3,5.36,13.584,13.584,NOR
46895,22_K_2,2065.3,10.802,23.379,23.379,GLU
46895,22_K_2,2172.1,2.295,4.582,4.582,PHE
46896,22_E_2,1278.9,22.585,21.408,21.408,ALA
46896,22_E_2,1398.4,5.936,19.996,19.996,VAL
46896,22_E_2,1525.5,5.306,12.987,12.987,NOR
46896,22_E_2,2062.6,9.726,22.052,22.052,GLU
46896,22_E_2,2171.7,2.448,1.918,1.918,PHE
46897,22_E_2,1278.7,21.113,21.271,21.271,ALA
46897,22_E_2,1398.2,5.737,18.599,18.599,VAL
46897,22_E_2,1525.7,5.055,13.705,13.705,NOR
46897,22_E_2,2063,9.647,22.636,22.636,GLU
46897,22_E_2,2172.3,2.408,3.333,3.333,PHE
46898,22_E_2,1278.5,20.325,21.426,21.426,ALA
46898,22_E_2,1398,5.946,17.565,17.565,VAL
46898,22_E_2,1525.5,6.771,14.604,14.604,NOR
46898,22_E_2,2062.2,9.208,22.739,22.739,GLU
46898,22_E_2,2171.9,2.262,3.174,3.174,PHE
46899,5AA,1277.6,18.193,-0.964,-0.964,ALA
46899,5AA,1398.6,11.386,-1.198,-1.198,VAL
46899,5AA,1535.1,20.717,14.241,14.241,NOR
46899,5AA,2068.1,12.092,-3.419,-3.419,GLU
46899,5AA,2184.3,10.727,-5.015,-5.015,PHE
46900,22_E_3,1275.5,13.524,21.916,21.916,ALA
46900,22_E_3,1397.8,8.281,18.993,18.993,VAL
46900,22_E_3,1528.4,8.043,13.45,13.45,NOR
46900,22_E_3,2067,9.809,20.572,20.572,GLU
46900,22_E_3,2175.7,3.333,2.859,2.859,PHE
46901,22_E_3,1275.3,11.515,21.741,21.741,ALA
46901,22_E_3,1397.6,8.145,17.454,17.454,VAL
46901,22_E_3,1528.2,9.814,14.77,14.77,NOR
46901,22_E_3,2066.4,8.705,20.581,20.581,GLU
46901,22_E_3,2175.7,2.852,1.738,1.738,PHE
46903,16_W_2,1279.1,13.233,23.693,23.693,ALA
46903,16_W_2,1401.1,9.349,15.182,15.182,VAL
46903,16_W_2,1527.8,3.491,15.589,15.589,NOR
46903,16_W_2,2072.9,11.546,23.772,23.772,GLU
46903,16_W_2,2176.5,2.192,3.47,3.47,PHE
46904,16_W_2,1279.3,12.631,23.986,23.986,ALA
46904,16_W_2,1401.1,10.177,14.407,14.407,VAL
46904,16_W_2,1527.8,3.515,16.084,16.084,NOR
46904,16_W_2,2072.9,10.504,24.61,24.61,GLU
46904,16_W_2,2176.9,1.936,4.646,4.646,PHE
46905,16_W_2,1280.3,11.483,24.187,24.187,ALA
46905,16_W_2,1402.2,8.535,15.142,15.142,VAL
46905,16_W_2,1529,3.415,17.131,17.131,NOR
46905,16_W_2,2075,9.805,24.252,24.252,GLU
46905,16_W_2,2178.4,1.843,6.347,6.347,PHE
46906,5AA,1283.3,12.669,-1.164,-1.164,ALA
46906,5AA,1404.3,7.2,-1.329,-1.329,VAL
46906,5AA,1540.7,14.48,14.497,14.497,NOR
46906,5AA,2076.4,8.064,-3.29,-3.29,GLU
46906,5AA,2190.9,7.151,-4.225,-4.225,PHE
46907,16_W_3,1286.6,11.438,23.464,23.464,ALA
46907,16_W_3,1409.1,8.845,15.382,15.382,VAL
46907,16_W_3,1535.7,7.968,13.913,13.913,NOR
46907,16_W_3,2086.2,12.562,23.689,23.689,GLU
46907,16_W_3,2185.9,2.35,6.28,6.28,PHE
46908,16_W_3,1288.7,11.527,23.714,23.714,ALA
46908,16_W_3,1411.2,7.551,15.572,15.572,VAL
46908,16_W_3,1538.2,7.16,13.71,13.71,NOR
46908,16_W_3,2089.6,11.169,23.63,23.63,GLU
46908,16_W_3,2188.9,2.088,6.049,6.049,PHE
46909,16_W_3,1292.2,10.927,23.725,23.725,ALA
46909,16_W_3,1414.7,5.634,14.616,14.616,VAL
46909,16_W_3,1541.8,5.75,11.406,11.406,NOR
46909,16_W_3,2094.8,11.172,23.811,23.811,GLU
46909,16_W_3,2193.5,2.08,6.376,6.376,PHE
46910,5AA,1295.6,12.055,-0.773,-0.773,ALA
46910,5AA,1416.4,6.894,-0.578,-0.578,VAL
46910,5AA,1553.1,13.431,14.359,14.359,NOR
46910,5AA,2094.8,8.041,-2.318,-2.318,GLU
46910,5AA,2205.4,6.91,-3.403,-3.403,PHE
46911,5AA,1299.1,11.804,-0.926,-0.926,ALA
46911,5AA,1419.9,6.809,-0.79,-0.79,VAL
46911,5AA,1556.6,12.868,14.088,14.088,NOR
46911,5AA,2100,7.73,-2.203,-2.203,GLU
46911,5AA,2210,7.009,-3.317,-3.317,PHE
