Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,Peak_ID
46802,5AA,1275.9,14.392,-0.699,-0.699,ALA
46802,5AA,1398,9.829,-0.057,-0.057,VAL
46802,5AA,1533.4,19.975,15.022,15.022,NOR
46802,5AA,2065.5,9.939,-2.729,-2.729,GLU
46802,5AA,2183.2,10.477,-4.02,-4.02,PHE
46803,5AA,1276.2,15.848,-0.608,-0.608,ALA
46803,5AA,1398,10.83,-0.38,-0.38,VAL
46803,5AA,1533.9,20.047,15.216,15.216,NOR
46803,5AA,2065.8,8.979,-2.653,-2.653,GLU
46803,5AA,2182.8,10.051,-4.208,-4.208,PHE
46804,5AA,1276.8,15.391,-0.252,-0.252,ALA
46804,5AA,1398.8,10.628,-0.194,-0.194,VAL
46804,5AA,1534.5,19.996,15.067,15.067,NOR
46804,5AA,2066.4,9.69,-2.543,-2.543,GLU
46804,5AA,2183.4,9.933,-4.264,-4.264,PHE
46805,71_K_2,1280.3,23.911,22.951,22.951,ALA
46805,71_K_2,1401.6,7.834,22.548,22.548,VAL
46805,71_K_2,1527,4.145,15.004,15.004,NOR
46805,71_K_2,2070.1,13.146,21.925,21.925,GLU
46805,71_K_2,2176.7,3.717,3.956,3.956,PHE
46806,71_K_2,1280.1,23.288,22.749,22.749,ALA
46806,71_K_2,1401.6,8.097,22.492,22.492,VAL
46806,71_K_2,1527,4.043,15.024,15.024,NOR
46806,71_K_2,2087.7,13.772,21.808,21.808,GLU
46806,71_K_2,2193.5,3.754,3.706,3.706,PHE
46807,71_K_2,1280.3,22.857,22.894,22.894,ALA
46807,71_K_2,1401.8,8.328,21.989,21.989,VAL
46807,71_K_2,1527,3.98,14.541,14.541,NOR
46807,71_K_2,2075.4,13.269,21.729,21.729,GLU
46807,71_K_2,2182.4,3.59,3.631,3.631,PHE
46808,71_K_3,1275.9,15.051,23.418,23.418,ALA
46808,71_K_3,1397.6,5.667,21.791,21.791,VAL
46808,71_K_3,1527.2,6.741,13.68,13.68,NOR
46808,71_K_3,2061.6,7.315,22.111,22.111,GLU
46808,71_K_3,2173.8,2.619,3.196,3.196,PHE
46809,71_K_3,1276.2,14.449,23.175,23.175,ALA
46809,71_K_3,1397.8,6.925,21.037,21.037,VAL
46809,71_K_3,1527.4,6.473,13.913,13.913,NOR
46809,71_K_3,2061.8,7.038,21.849,21.849,GLU
46809,71_K_3,2174,2.475,2.479,2.479,PHE
46810,71_K_3,1275.1,13.464,23.256,23.256,ALA
46810,71_K_3,1396.7,7.013,19.711,19.711,VAL
46810,71_K_3,1526.5,7.05,13.997,13.997,NOR
46810,71_K_3,2060.7,6.585,21.609,21.609,GLU
46810,71_K_3,2173.2,2.272,3.192,3.192,PHE
46811,5AA,1277.2,14.491,-1.178,-1.178,ALA
46811,5AA,1399,9.56,-1.017,-1.017,VAL
46811,5AA,1535.1,17.395,14.519,14.519,NOR
46811,5AA,2066.8,9.591,-3.721,-3.721,GLU
46811,5AA,2184.1,8.809,-5.221,-5.221,PHE
46812,71_E_2,1287.6,31.953,22.136,22.136,ALA
46812,71_E_2,1408.7,14.928,17.069,17.069,VAL
46812,71_E_2,1529.9,8.929,12.421,12.421,NOR
46812,71_E_2,2083.3,21.044,21.803,21.803,GLU
46812,71_E_2,2181.3,4.034,3.062,3.062,PHE
46813,71_E_2,1287.6,31.332,22.365,22.365,ALA
46813,71_E_2,1408.9,13.591,17.782,17.782,VAL
46813,71_E_2,1530.3,8.751,12.535,12.535,NOR
46813,71_E_2,2084.4,20.614,21.667,21.667,GLU
46813,71_E_2,2181.5,3.906,3.639,3.639,PHE
46814,71_E_2,1288.3,30.191,22.812,22.812,ALA
46814,71_E_2,1409.5,14.702,16.426,16.426,VAL
46814,71_E_2,1530.9,8.779,12.425,12.425,NOR
46814,71_E_2,2084.8,19.902,22.029,22.029,GLU
46814,71_E_2,2182.4,3.683,4.541,4.541,PHE
46815,71_E_3,1282.8,18.529,22.686,22.686,ALA
46815,71_E_3,1404.1,10.175,17.004,17.004,VAL
46815,71_E_3,1530.3,5.542,15.717,15.717,NOR
46815,71_E_3,2073.7,9.606,22.204,22.204,GLU
46815,71_E_3,2180.1,2.443,2.759,2.759,PHE
46816,71_E_3,1289.9,17.371,21.987,21.987,ALA
46816,71_E_3,1411.2,10.086,16.521,16.521,VAL
46816,71_E_3,1537.6,5.136,16.089,16.089,NOR
46816,71_E_3,2083.7,9.648,21.83,21.83,GLU
46816,71_E_3,2188.6,2.291,3.206,3.206,PHE
46817,71_E_3,1317.7,16.565,21.767,21.767,ALA
46817,71_E_3,1438.5,10.066,16.578,16.578,VAL
46817,71_E_3,1564.6,6.726,14.994,14.994,NOR
46817,71_E_3,2121.3,9.005,21.923,21.923,GLU
46817,71_E_3,2219.8,2.08,3.067,3.067,PHE
46818,5AA,1423.7,13.889,-1.788,-1.788,ALA
46818,5AA,1544.9,8.057,-2.43,-2.43,VAL
46818,5AA,1679.7,13.986,13.926,13.926,NOR
46818,5AA,2242.8,8.634,-3.834,-3.834,GLU
46818,5AA,2334.9,7.747,-5.284,-5.284,PHE
46822,5AA,1806.6,26.789,-2.525,-2.525,ALA
46822,5AA,2000.5,16.665,-3.284,-3.284,VAL
46822,5AA,2237.8,27.188,11.797,11.797,NOR
46822,5AA,2625.9,18.161,-5.677,-5.677,GLU
46822,5AA,2708,24.696,-5.666,-5.666,PHE
46823,5AA,1984.2,33.18,-2.622,-2.622,ALA
46823,5AA,2203.7,18.747,-3.377,-3.377,VAL
46823,5AA,2400.2,30.573,11.064,11.064,NOR
46823,5AA,2756.7,21.503,-6.183,-6.183,GLU
46823,5AA,2839.1,17.669,-8.394,-8.394,PHE
