Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,Peak_ID
44949,5AA,1282.6,38.593,-0.824,-0.824,ALA
44949,5AA,1403.2,25.027,-0.961,-0.961,VAL
44949,5AA,1541.8,42.535,14.768,14.768,NOR
44949,5AA,2079.3,22.249,-2.913,-2.913,GLU
44949,5AA,2193.5,21.952,-4.468,-4.468,PHE
44950,5AA,1282.8,36.845,-0.691,-0.691,ALA
44950,5AA,1403.4,24.315,-0.783,-0.783,VAL
44950,5AA,1542,40.615,14.615,14.615,NOR
44950,5AA,2079.3,20.163,-3.183,-3.183,GLU
44950,5AA,2193.7,19.435,-4.414,-4.414,PHE
44951,5AA,1283.3,34.369,-1.046,-1.046,ALA
44951,5AA,1403.9,23.029,-0.721,-0.721,VAL
44951,5AA,1542.4,38.866,14.631,14.631,NOR
44951,5AA,2080,19.943,-3.338,-3.338,GLU
44951,5AA,2194.1,19.563,-4.604,-4.604,PHE
44952,10_E_2,1267.6,2.806,22.634,22.634,ALA
44952,10_E_2,1391.7,1.77,23.289,23.289,VAL
44952,10_E_2,1521.9,3.101,15.395,15.395,NOR
44952,10_E_2,2049.2,2.618,22.333,22.333,GLU
44952,10_E_2,2170,1.613,5.038,5.038,PHE
44953,10_E_2,1268.2,2.742,22.918,22.918,ALA
44953,10_E_2,1392.4,1.675,23.953,23.953,VAL
44953,10_E_2,1522.4,3.044,16.29,16.29,NOR
44953,10_E_2,2049.9,2.555,22.049,22.049,GLU
44953,10_E_2,2170.5,1.562,4.651,4.651,PHE
44954,10_E_2,1267.6,2.64,23.221,23.221,ALA
44954,10_E_2,1391.7,2.777,17.561,17.561,VAL
44954,10_E_2,1521.9,2.915,16.641,16.641,NOR
44954,10_E_2,2049,2.43,21.836,21.836,GLU
44954,10_E_2,2169.8,1.482,4.514,4.514,PHE
44955,10_E_3,1270.9,5.792,22.626,22.626,ALA
44955,10_E_3,1393.6,3.761,15.172,15.172,VAL
44955,10_E_3,1523.2,3.185,14.958,14.958,NOR
44955,10_E_3,2055.9,4.673,23.486,23.486,GLU
44955,10_E_3,2171.1,1.611,3.293,3.293,PHE
44956,10_E_3,1270.3,5.237,22.775,22.775,ALA
44956,10_E_3,1393.2,3.694,14.426,14.426,VAL
44956,10_E_3,1523,2.829,15.657,15.657,NOR
44956,10_E_3,2055.3,4.252,23.325,23.325,GLU
44956,10_E_3,2170.7,1.429,2.863,2.863,PHE
44957,10_E_3,1270.3,5.086,22.736,22.736,ALA
44957,10_E_3,1393,3.729,13.792,13.792,VAL
44957,10_E_3,1522.8,2.697,15.033,15.033,NOR
44957,10_E_3,2055.3,4.034,23.999,23.999,GLU
44957,10_E_3,2170.9,1.347,2.819,2.819,PHE
44958,5AA,1283.7,33.108,-0.948,-0.948,ALA
44958,5AA,1404.1,20.66,-0.53,-0.53,VAL
44958,5AA,1542.8,35.357,15.452,15.452,NOR
44958,5AA,2081.2,19.033,-3.008,-3.008,GLU
44958,5AA,2194.9,20.294,-4.29,-4.29,PHE
44962,07_K_2,1270.1,3.724,22.365,22.365,ALA
44962,07_K_2,1394,2.804,18.316,18.316,VAL
44962,07_K_2,1523.4,3.094,18.061,18.061,NOR
44962,07_K_2,2052.8,2.407,20.558,20.558,GLU
44962,07_K_2,2171.9,1.238,4.713,4.713,PHE
44963,07_K_2,1271.1,3.638,22.435,22.435,ALA
44963,07_K_2,1394.9,2.12,22.845,22.845,VAL
44963,07_K_2,1524.4,2.995,17.407,17.407,NOR
44963,07_K_2,2054.9,2.349,21.422,21.422,GLU
44963,07_K_2,2173.6,1.207,9.463,9.463,PHE
44964,07_K_2,1274.1,3.492,23.214,23.214,ALA
44964,07_K_2,1397.8,2.07,21.964,21.964,VAL
44964,07_K_2,1527.4,2.956,17.238,17.238,NOR
44964,07_K_2,2059.7,2.22,20.319,20.319,GLU
44964,07_K_2,3132.5,27.703,0.046,0.046,REF
44965,5AA,1291.2,29.418,-0.001,-0.001,ALA
44965,5AA,1411.6,18.726,0.249,0.249,VAL
44965,5AA,1550.6,33.864,15.191,15.191,NOR
44965,5AA,2092.9,18.24,-2.122,-2.122,GLU
44965,5AA,2204.5,20.155,-3.792,-3.792,PHE
44966,04_W_3,1289.5,15.527,24.597,24.597,ALA
44966,04_W_3,1411,9.705,14.592,14.592,VAL
44966,04_W_3,1537,4.791,17.921,17.921,NOR
44966,04_W_3,2083.7,9.065,24.609,24.609,GLU
44966,04_W_3,2187.2,2.057,7.764,7.764,PHE
44967,04_W_3,1293.1,14.463,24.437,24.437,ALA
44967,04_W_3,1414.7,8.953,14.333,14.333,VAL
44967,04_W_3,1541.4,4.172,17.882,17.882,NOR
44967,04_W_3,2090.2,8.075,23.882,23.882,GLU
44967,04_W_3,2192.6,1.819,7.951,7.951,PHE
44968,04_W_3,1298.9,13.658,23.906,23.906,ALA
44968,04_W_3,1420.6,2.669,18.768,18.768,VAL
44968,04_W_3,1547.2,3.953,18.134,18.134,NOR
44968,04_W_3,2098.4,7.899,23.938,23.938,GLU
44968,04_W_3,2199.5,1.782,9.208,9.208,PHE
44969,5AA,1310.6,28.676,0.155,0.155,ALA
44969,5AA,1431.2,21.461,0.008,0.008,VAL
44969,5AA,1569.2,31.287,13.117,13.117,NOR
44969,5AA,2120.9,17.57,-1.691,-1.691,GLU
44969,5AA,2227.5,16.688,-3.373,-3.373,PHE
44970,5AA,1319.6,26.897,-0.566,-0.566,ALA
44970,5AA,1440.2,21.412,-0.483,-0.483,VAL
44970,5AA,1577.5,31.531,12.28,12.28,NOR
44970,5AA,2132.8,17.017,-2.156,-2.156,GLU
44970,5AA,2237.3,16.158,-3.737,-3.737,PHE
