Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,Peak_ID
46457,5AA,1279.1,30.496,-0.523,-0.523,ALA
46457,5AA,1399.5,19.087,-0.623,-0.623,VAL
46457,5AA,1537.2,33.805,14.667,14.667,NOR
46457,5AA,2074.3,18.215,-3.177,-3.177,GLU
46457,5AA,2188.6,16.967,-4.922,-4.922,PHE
46458,5AA,1281.2,28.686,-0.9,-0.9,ALA
46458,5AA,1401.8,17.907,-0.741,-0.741,VAL
46458,5AA,1539.7,32.529,14.587,14.587,NOR
46458,5AA,2076.2,17.645,-3.084,-3.084,GLU
46458,5AA,2190.5,16.306,-4.959,-4.959,PHE
46459,5AA,1281.2,27.499,-1.063,-1.063,ALA
46459,5AA,1401.8,16.976,-0.924,-0.924,VAL
46459,5AA,1539.5,30.894,14.527,14.527,NOR
46459,5AA,2076,17.395,-3.422,-3.422,GLU
46459,5AA,2190.3,15.914,-4.961,-4.961,PHE
46460,89_W_2,1280.5,21.622,23.884,23.884,ALA
46460,89_W_2,1400.9,8.001,19.859,19.859,VAL
46460,89_W_2,1525.9,5.375,13.553,13.553,NOR
46460,89_W_2,2069.1,11.767,22.606,22.606,GLU
46460,89_W_2,2175.3,3.019,3.63,3.63,PHE
46461,89_W_2,1280.5,20.174,23.415,23.415,ALA
46461,89_W_2,1401.3,8.364,18.732,18.732,VAL
46461,89_W_2,1526.3,7.223,13.45,13.45,NOR
46461,89_W_2,2070.1,11.908,22.597,22.597,GLU
46461,89_W_2,2175.1,2.764,4.646,4.646,PHE
46462,89_W_2,1281,18.801,23.547,23.547,ALA
46462,89_W_2,1401.6,9.542,17.162,17.162,VAL
46462,89_W_2,1526.5,4.481,13.521,13.521,NOR
46462,89_W_2,2069.1,10.676,23.104,23.104,GLU
46462,89_W_2,2175.1,2.29,3.298,3.298,PHE
46463,89_E_3,1285.4,25.144,22.996,22.996,ALA
46463,89_E_3,1406.4,14.616,16.139,16.139,VAL
46463,89_E_3,1528.8,8.694,13.172,13.172,NOR
46463,89_E_3,2078.5,15.73,22.475,22.475,GLU
46463,89_E_3,2179,3.129,0.997,0.997,PHE
46464,89_E_3,1285.4,23.129,23.301,23.301,ALA
46464,89_E_3,1406.4,14.875,15.673,15.673,VAL
46464,89_E_3,1528.8,8.62,13.575,13.575,NOR
46464,89_E_3,2078.1,15.116,23.338,23.338,GLU
46464,89_E_3,2178.8,2.948,3.76,3.76,PHE
46465,89_E_3,1285.4,22.802,24.086,24.086,ALA
46465,89_E_3,1406.6,13.232,15.93,15.93,VAL
46465,89_E_3,1528.8,4.816,16.527,16.527,NOR
46465,89_E_3,2078.5,15.03,23.724,23.724,GLU
46465,89_E_3,2178.8,3.034,4.71,4.71,PHE
46466,5AA,1280.3,20.906,0.249,0.249,ALA
46466,5AA,1400.9,12.6,0.153,0.153,VAL
46466,5AA,1539.1,24.517,15.35,15.35,NOR
46466,5AA,2076,14.245,-1.997,-1.997,GLU
46466,5AA,2190.1,12.392,-3.281,-3.281,PHE
46467,89_K_2,1283.9,19.883,24.88,24.88,ALA
46467,89_K_2,1375.4,77.533,7.276,7.276,VAL
46467,89_K_2,1529,5.681,16.53,16.53,NOR
46467,89_K_2,2075.2,12.934,23.165,23.165,GLU
46467,89_K_2,2177.6,2.711,6.775,6.775,PHE
46468,89_K_2,1283.5,20.343,24.58,24.58,ALA
46468,89_K_2,1404.3,10.151,15.797,15.797,VAL
46468,89_K_2,1528.6,8.519,14.06,14.06,NOR
46468,89_K_2,2077.9,12.905,23.381,23.381,GLU
46468,89_K_2,2181.5,2.674,8.442,8.442,PHE
46469,89_K_2,1284.5,19.973,24.683,24.683,ALA
46469,89_K_2,1405.1,10.332,15.831,15.831,VAL
46469,89_K_2,1529.7,8.718,14.313,14.313,NOR
46469,89_K_2,2076.2,12.623,23.392,23.392,GLU
46469,89_K_2,2178.4,2.724,8.89,8.89,PHE
46470,89_E_2,1285.6,20.46,24.698,24.698,ALA
46470,89_E_2,1406.6,11.37,15.819,15.819,VAL
46470,89_E_2,1530.3,8.381,13.97,13.97,NOR
46470,89_E_2,2079.1,13.145,23.049,23.049,GLU
46470,89_E_2,2180.5,2.778,6.484,6.484,PHE
