Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,Peak_ID
44843,5AA,1282,37.574,-0.902,-0.902,ALA
44843,5AA,1402.4,23.673,-0.817,-0.817,VAL
44843,5AA,1541,40.037,14.369,14.369,NOR
44843,5AA,2078.3,20.843,-3.111,-3.111,GLU
44843,5AA,2192.2,19.766,-4.413,-4.413,PHE
44844,5AA,1282.8,35.653,-0.608,-0.608,ALA
44844,5AA,1403.2,23.153,-0.236,-0.236,VAL
44844,5AA,1541.8,39.536,14.904,14.904,NOR
44844,5AA,2079.3,21.223,-2.678,-2.678,GLU
44844,5AA,2193,19.663,-4.201,-4.201,PHE
44845,5AA,1281.8,34.193,-0.411,-0.411,ALA
44845,5AA,1402.4,22.13,-0.256,-0.256,VAL
44845,5AA,1540.7,37.548,15.084,15.084,NOR
44845,5AA,2078.1,20.016,-2.947,-2.947,GLU
44845,5AA,2191.8,18.495,-4.204,-4.204,PHE
44846,22_W_2,1274.9,12.401,23.462,23.462,ALA
44846,22_W_2,1397.4,5.676,17.577,17.577,VAL
44846,22_W_2,1525.7,6.742,13.722,13.722,NOR
44846,22_W_2,2062.4,7.714,23.036,23.036,GLU
44846,22_W_2,2171.7,1.497,5.418,5.418,PHE
44847,22_W_2,1275.1,11.859,23.032,23.032,ALA
44847,22_W_2,1397.6,5.701,16.904,16.904,VAL
44847,22_W_2,1525.9,6.57,13.601,13.601,NOR
44847,22_W_2,2062.6,7.452,23.342,23.342,GLU
44847,22_W_2,2171.9,1.452,6.65,6.65,PHE
44848,22_W_2,1273.9,11.453,23.368,23.368,ALA
44848,22_W_2,1396.3,5.978,16.557,16.557,VAL
44848,22_W_2,1524.4,4.272,14.693,14.693,NOR
44848,22_W_2,2061.4,7.448,23.227,23.227,GLU
44848,22_W_2,2170.7,1.411,4.701,4.701,PHE
44849,22_W_3,1273.2,9.593,21.956,21.956,ALA
44849,22_W_3,1396.1,4.509,19.311,19.311,VAL
44849,22_W_3,1524.9,4.163,13.736,13.736,NOR
44849,22_W_3,2062.2,6.443,20.981,20.981,GLU
44849,22_W_3,2173.8,2.229,5.108,5.108,PHE
44850,22_W_3,1274.3,9.214,21.795,21.795,ALA
44850,22_W_3,1397.2,4.363,18.865,18.865,VAL
44850,22_W_3,1526.1,5.281,13.971,13.971,NOR
44850,22_W_3,2063.7,6.035,20.268,20.268,GLU
44850,22_W_3,2175.1,2.054,5.268,5.268,PHE
44851,22_W_3,1275.3,8.879,21.527,21.527,ALA
44851,22_W_3,1398.2,5.361,17.461,17.461,VAL
44851,22_W_3,1527.2,4.405,15.464,15.464,NOR
44851,22_W_3,2065.5,5.779,21.427,21.427,GLU
44851,22_W_3,2176.5,1.93,4.25,4.25,PHE
44852,5AA,1286,30.802,-0.403,-0.403,ALA
44852,5AA,1406.4,18.947,-0.33,-0.33,VAL
44852,5AA,1545.1,33.619,15.218,15.218,NOR
44852,5AA,2084.8,18.099,-2.866,-2.866,GLU
44852,5AA,2197.4,16.939,-3.918,-3.918,PHE
44856,22_K_3,1301.7,9.055,20.726,20.726,ALA
44856,22_K_3,1424.5,9.955,14.546,14.546,VAL
44856,22_K_3,1554.3,3.88,16.414,16.414,NOR
44856,22_K_3,2104.6,6.508,21.793,21.793,GLU
44856,22_K_3,2208.1,1.727,5.103,5.103,PHE
44857,22_K_3,1311.1,8.491,20.702,20.702,ALA
44857,22_K_3,1433.5,7.541,12.412,12.412,VAL
44857,22_K_3,1562.5,2.893,16.659,16.659,NOR
44857,22_K_3,2114.7,6.042,21.419,21.419,GLU
44857,22_K_3,2216.2,1.593,3.626,3.626,PHE
44858,22_K_3,1306.3,8.184,20.731,20.731,ALA
44858,22_K_3,1429.1,10.138,14.089,14.089,VAL
44858,22_K_3,1558.9,2.941,17.086,17.086,NOR
44858,22_K_3,2112.6,5.022,20.603,20.603,GLU
44858,22_K_3,2215.2,1.573,6.076,6.076,PHE
44859,5AA,1331.5,29.465,-1.349,-1.349,ALA
44859,5AA,1452.3,18.019,-0.854,-0.854,VAL
44859,5AA,1588.6,25.02,15.057,15.057,NOR
44859,5AA,2148.7,17.498,-3.43,-3.43,GLU
44859,5AA,2250.7,19.497,-3.958,-3.958,PHE
44863,5AA,1362.3,30.25,-0.641,-0.641,ALA
44863,5AA,1482,17.597,-0.33,-0.33,VAL
44863,5AA,1616.6,24.917,15.192,15.192,NOR
44863,5AA,2179.9,16.778,-2.765,-2.765,GLU
44863,5AA,2277.3,15.357,-3.992,-3.992,PHE
44864,5AA,1369.8,29.163,-1.683,-1.683,ALA
44864,5AA,1489.8,22.01,-0.61,-0.61,VAL
44864,5AA,1624.1,24.708,14.55,14.55,NOR
44864,5AA,2188,16.39,-4.159,-4.159,GLU
44864,5AA,2284.2,14.756,-4.525,-4.525,PHE
