Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,Peak ID
44910,5AA,1281,32.909,-0.755,-0.755,ALA
44910,5AA,1401.1,20.566,-0.638,-0.638,VAL
44910,5AA,1539.5,36.633,14.677,14.677,NOR
44910,5AA,2076.2,19.479,-3.027,-3.027,GLU
44910,5AA,2190.5,17.823,-4.618,-4.618,PHE
44911,5AA,1281.6,30.932,-0.861,-0.861,ALA
44911,5AA,1401.8,19.046,-0.574,-0.574,VAL
44911,5AA,1540.1,34.079,14.773,14.773,NOR
44911,5AA,2077,18.623,-3.16,-3.16,GLU
44911,5AA,2191.4,17.221,-4.578,-4.578,PHE
44912,13_K_3,1270.3,5.593,20.699,20.699,ALA
44912,13_K_3,1393.4,2.996,20.385,20.385,VAL
44912,13_K_3,1522.1,2.571,14.03,14.03,NOR
44912,13_K_3,2056.6,4.821,20.585,20.585,GLU
44912,13_K_3,2171.7,1.771,2.07,2.07,PHE
44913,13_K_3,1269.7,5.298,20.666,20.666,ALA
44913,13_K_3,1392.8,2.893,20.181,20.181,VAL
44913,13_K_3,1521.3,2.403,14.332,14.332,NOR
44913,13_K_3,2055.1,4.458,21.058,21.058,GLU
44913,13_K_3,2170.5,1.606,1.682,1.682,PHE
44914,13_K_3,1270.1,5.116,20.549,20.549,ALA
44914,13_K_3,1393.2,2.835,19.225,19.225,VAL
44914,13_K_3,1521.7,2.336,14.337,14.337,NOR
44914,13_K_3,2056.1,4.296,20.977,20.977,GLU
44914,13_K_3,2171.7,1.492,1.23,1.23,PHE
44925,5AA,1306.5,25.285,-0.62,-0.62,ALA
44925,5AA,1426.8,14.88,-0.362,-0.362,VAL
44925,5AA,1564.6,23.565,14.742,14.742,NOR
44925,5AA,2113.8,15.548,-2.475,-2.475,GLU
44925,5AA,2220.8,14.098,-3.985,-3.985,PHE
44926,5AA,1314,24.952,-1.064,-1.064,ALA
44926,5AA,1434.4,14.921,-0.616,-0.616,VAL
44926,5AA,1571.5,22.318,14.989,14.989,NOR
44926,5AA,2124.3,14.967,-2.452,-2.452,GLU
44926,5AA,2229.6,13.983,-3.776,-3.776,PHE
