Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,Peak_ID
44887,5AA,1279.9,32.501,-0.815,-0.815,ALA
44887,5AA,1400.3,19.417,-0.784,-0.784,VAL
44887,5AA,1538.2,34.569,14.887,14.887,NOR
44887,5AA,2075,18.922,-2.922,-2.922,GLU
44887,5AA,2189.5,18.092,-4.459,-4.459,PHE
44888,5AA,1280.8,32.032,-0.919,-0.919,ALA
44888,5AA,1401.1,19.913,-0.715,-0.715,VAL
44888,5AA,1539.3,35.745,14.703,14.703,NOR
44888,5AA,2076,19.391,-3.174,-3.174,GLU
44888,5AA,2190.3,18.213,-4.786,-4.786,PHE
44889,5AA,1281,30.186,-0.807,-0.807,ALA
44889,5AA,1401.1,18.534,-0.629,-0.629,VAL
44889,5AA,1539.3,33.544,14.79,14.79,NOR
44889,5AA,2075.8,18.612,-3.182,-3.182,GLU
44889,5AA,2190.3,16.995,-4.635,-4.635,PHE
44890,16_K_2,1270.9,7.141,23.923,23.923,ALA
44890,16_K_2,1393.4,2.933,16.873,16.873,VAL
44890,16_K_2,1521.7,1.669,15.216,15.216,NOR
44890,16_K_2,2057.6,6.337,24.441,24.441,GLU
44890,16_K_2,2169.2,1.381,4.312,4.312,PHE
44891,16_K_2,1270.1,6.895,24.449,24.449,ALA
44891,16_K_2,1392.6,2.964,15.59,15.59,VAL
44891,16_K_2,1521.3,1.559,15.936,15.936,NOR
44891,16_K_2,2056.6,5.864,23.671,23.671,GLU
44891,16_K_2,2168.6,1.263,4.237,4.237,PHE
44892,16_K_2,1271.3,6.766,24.134,24.134,ALA
44892,16_K_2,1393.8,3.112,15.572,15.572,VAL
44892,16_K_2,1522.4,1.524,14.858,14.858,NOR
44892,16_K_2,2057.8,5.835,23.574,23.574,GLU
44892,16_K_2,2169.6,1.232,3.689,3.689,PHE
44896,5AA,1281.2,24.946,-1.255,-1.255,ALA
44896,5AA,1401.6,14.451,-1.482,-1.482,VAL
44896,5AA,1539.7,26.117,14.556,14.556,NOR
44896,5AA,2076.6,14.843,-4.339,-4.339,GLU
44896,5AA,2190.9,13.106,-5.361,-5.361,PHE
44903,5AA,1294.1,23.088,-0.911,-0.911,ALA
44903,5AA,1414.5,17.139,-0.208,-0.208,VAL
44903,5AA,1552.9,26.448,12.633,12.633,NOR
44903,5AA,2096.7,14.326,-3.172,-3.172,GLU
44903,5AA,2207,14.979,-3.908,-3.908,PHE
44907,5AA,1312.9,21.445,-1.994,-1.994,ALA
44907,5AA,1433.3,11.701,-1.326,-1.326,VAL
44907,5AA,1570.4,18.472,13.993,13.993,NOR
44907,5AA,2122.4,12.25,-4.005,-4.005,GLU
44907,5AA,2228.1,11.363,-4.747,-4.747,PHE
44908,5AA,1318,20.082,-2.299,-2.299,ALA
44908,5AA,1438.5,12.202,-1.701,-1.701,VAL
44908,5AA,1574.8,17.23,13.505,13.505,NOR
44908,5AA,2127.8,12.219,-3.892,-3.892,GLU
44908,5AA,2232.5,12.976,-4.544,-4.544,PHE
