Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,Peak_ID
46479,5AA,1280.3,30.135,-0.834,-0.834,ALA
46479,5AA,1400.9,18.989,-0.785,-0.785,VAL
46479,5AA,1538.9,33.693,14.59,14.59,NOR
46479,5AA,2075.6,18.161,-3.489,-3.489,GLU
46479,5AA,2189.9,17.096,-4.925,-4.925,PHE
46480,5AA,1280.3,29.335,-0.876,-0.876,ALA
46480,5AA,1400.9,18.342,-0.728,-0.728,VAL
46480,5AA,1539.1,33.465,14.629,14.629,NOR
46480,5AA,2076,18.164,-3.011,-3.011,GLU
46480,5AA,2190.1,16.786,-4.721,-4.721,PHE
46481,5AA,1281,28.194,-1.107,-1.107,ALA
46481,5AA,1401.3,17.439,-0.626,-0.626,VAL
46481,5AA,1539.7,31.771,14.406,14.406,NOR
46481,5AA,2076.6,17.765,-3.224,-3.224,GLU
46481,5AA,2190.5,16.214,-4.607,-4.607,PHE
46482,92_E_2,1280.3,21.442,24.407,24.407,ALA
46482,92_E_2,1401.8,8.568,21.481,21.481,VAL
46482,92_E_2,1526.5,6.106,14.073,14.073,NOR
46482,92_E_2,2072,14.111,23.854,23.854,GLU
46482,92_E_2,2175.5,3.337,5.542,5.542,PHE
46483,92_E_2,1280.5,19.722,23.89,23.89,ALA
46483,92_E_2,1402.2,8.714,21.238,21.238,VAL
46483,92_E_2,1527.2,7.669,14.389,14.389,NOR
46483,92_E_2,2072,13.223,23.595,23.595,GLU
46483,92_E_2,2175.9,3.074,4.115,4.115,PHE
46484,92_E_2,1281.4,18.692,24.274,24.274,ALA
46484,92_E_2,1403.2,10.376,18.679,18.679,VAL
46484,92_E_2,1528,5.178,14.406,14.406,NOR
46484,92_E_2,2073.3,13.117,23.412,23.412,GLU
46484,92_E_2,2176.7,2.764,3.062,3.062,PHE
46485,89_W_3,1278.2,16.631,23.482,23.482,ALA
46485,89_W_3,1399.3,10.044,16.4,16.4,VAL
46485,89_W_3,1525.3,7.603,13.592,13.592,NOR
46485,89_W_3,2066.6,9.923,23.857,23.857,GLU
46485,89_W_3,2172.8,1.927,3.811,3.811,PHE
46486,89_W_3,1279.5,15.208,24.158,24.158,ALA
46486,89_W_3,1400.5,10.415,15.624,15.624,VAL
46486,89_W_3,1526.5,7.449,14.173,14.173,NOR
46486,89_W_3,2067.4,9.586,24.539,24.539,GLU
46486,89_W_3,2174,1.804,4.36,4.36,PHE
46487,89_W_3,1279.7,14.714,24.293,24.293,ALA
46487,89_W_3,1400.9,10.278,15.536,15.536,VAL
46487,89_W_3,1527,4.391,16.609,16.609,NOR
46487,89_W_3,2068.1,9.369,24.321,24.321,GLU
46487,89_W_3,2174.2,1.77,6.04,6.04,PHE
46488,5AA,1281.2,23.422,-0.419,-0.419,ALA
46488,5AA,1401.8,13.636,-0.497,-0.497,VAL
46488,5AA,1539.9,25.731,15.234,15.234,NOR
46488,5AA,2077.5,14.616,-2.312,-2.312,GLU
46488,5AA,2191.2,13.052,-3.852,-3.852,PHE
46489,93_K_2,1288.7,27.271,23.851,23.851,ALA
46489,93_K_2,1409.5,15.176,16.49,16.49,VAL
46489,93_K_2,1531.1,6.004,15.894,15.894,NOR
46489,93_K_2,2084.4,18.492,23.588,23.588,GLU
46489,93_K_2,2181.8,4.028,6.879,6.879,PHE
46490,93_K_2,1289.5,28.063,24.593,24.593,ALA
46490,93_K_2,1410.3,14.184,15.739,15.739,VAL
46490,93_K_2,1532.4,9.766,13.6,13.6,NOR
46490,93_K_2,2086.4,18.131,23.257,23.257,GLU
46490,93_K_2,2183.6,3.965,7.622,7.622,PHE
46491,93_K_2,1293.7,27.734,24.114,24.114,ALA
46491,93_K_2,1414.7,15.288,16.669,16.669,VAL
46491,93_K_2,1536.8,9.753,13.948,13.948,NOR
46491,93_K_2,2092.5,18.156,23.249,23.249,GLU
46491,93_K_2,2188.4,4.019,7.956,7.956,PHE
46492,84_W_2,1287.4,9.364,23.431,23.431,ALA
46492,84_W_2,1409.5,5.655,15.206,15.206,VAL
46492,84_W_2,1539.9,6.91,13.827,13.827,NOR
46492,84_W_2,2083.9,6.825,23.146,23.146,GLU
46492,84_W_2,2190.1,1.795,8.424,8.424,PHE
46493,84_W_2,1296.8,8.606,23.678,23.678,ALA
46493,84_W_2,1419.1,5.284,15.489,15.489,VAL
46493,84_W_2,1549.5,6.293,13.978,13.978,NOR
46493,84_W_2,2097.3,6.465,22.928,22.928,GLU
46493,84_W_2,2201.2,1.664,8.817,8.817,PHE
46494,84_W_2,1304.2,8.519,23.258,23.258,ALA
46494,84_W_2,1426.6,5.103,15.526,15.526,VAL
46494,84_W_2,1557.1,5.77,14.106,14.106,NOR
46494,84_W_2,2108.4,6.266,22.318,22.318,GLU
46494,84_W_2,2210.2,1.552,6.498,6.498,PHE
46495,5AA,1322.6,21.796,0.151,0.151,ALA
46495,5AA,1443.4,13.216,0.067,0.067,VAL
46495,5AA,1579.4,20.576,14.908,14.908,NOR
46495,5AA,2135.8,14.469,-1.801,-1.801,GLU
46495,5AA,2239.2,12.734,-3.483,-3.483,PHE
46496,80_W_2,1324.6,5.165,21.385,21.385,ALA
46496,80_W_2,1448,3.904,14.217,14.217,VAL
46496,80_W_2,1577.5,4.121,14.368,14.368,NOR
46496,80_W_2,2135.8,3.796,21.285,21.285,GLU
46496,80_W_2,2236.5,1.302,6.491,6.491,PHE
46497,80_W_2,1334.7,4.609,21.167,21.167,ALA
46497,80_W_2,1457.8,4.718,12.626,12.626,VAL
46497,80_W_2,1586.3,3.071,17.337,17.337,NOR
46497,80_W_2,2145.6,3.427,20.985,20.985,GLU
46498,80_W_2,1341.4,4.348,20.842,20.842,ALA
46498,80_W_2,1464.7,4.916,12.054,12.054,VAL
46498,80_W_2,1593,3.56,14.395,14.395,NOR
46498,80_W_2,2155.6,3.198,18.505,18.505,GLU
46499,5AA,1358.9,20.414,-0.986,-0.986,ALA
46499,5AA,1479.9,15.282,-0.374,-0.374,VAL
46499,5AA,1615.2,19.091,14.106,14.106,NOR
46499,5AA,2180.9,12.603,-2.025,-2.025,GLU
46499,5AA,2278.3,12.862,-3.116,-3.116,PHE
46500,5AA,1366.9,19.781,-1.226,-1.226,ALA
46500,5AA,1487.9,14.713,-0.365,-0.365,VAL
46500,5AA,1623.5,18.135,13.49,13.49,NOR
46500,5AA,2191.2,12.541,-2.817,-2.817,GLU
46500,5AA,2287.5,13.802,-3.654,-3.654,PHE
