Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,Peak_ID
46934,5AA,1277.4,19.718,-0.727,-0.727,ALA
46934,5AA,1398,12.954,-0.478,-0.478,VAL
46934,5AA,1534.9,24.596,14.837,14.837,NOR
46934,5AA,2068.1,12.59,-3.172,-3.172,GLU
46934,5AA,2183.8,12.421,-4.881,-4.881,PHE
46935,5AA,1277.4,21.125,-0.866,-0.866,ALA
46935,5AA,1398,12.933,-0.896,-0.896,VAL
46935,5AA,1535.1,24.076,15.262,15.262,NOR
46935,5AA,2068.3,13.227,-2.951,-2.951,GLU
46935,5AA,2184.1,12.559,-4.208,-4.208,PHE
46936,5AA,1277.6,21.09,-0.798,-0.798,ALA
46936,5AA,1398.2,13.207,-0.811,-0.811,VAL
46936,5AA,1535.1,24.906,14.993,14.993,NOR
46936,5AA,2068.5,13.816,-3.112,-3.112,GLU
46936,5AA,2184.3,12.7,-4.535,-4.535,PHE
46937,86_W_2,1281.6,27.331,23.306,23.306,ALA
46937,86_W_2,1402.8,10.673,22.168,22.168,VAL
46937,86_W_2,1527.2,7.003,12.61,12.61,NOR
46937,86_W_2,2064.5,10.784,23.381,23.381,GLU
46937,86_W_2,2175.5,4.737,3.702,3.702,PHE
46938,86_W_2,1282,26.786,22.916,22.916,ALA
46938,86_W_2,1403.2,10.899,21.814,21.814,VAL
46938,86_W_2,1527.6,6.775,11.405,11.405,NOR
46938,86_W_2,2065.1,10.588,22.696,22.696,GLU
46938,86_W_2,2176.1,4.564,3.711,3.711,PHE
46939,86_W_2,1281.2,25.174,23.009,23.009,ALA
46939,86_W_2,1402.6,10.978,21.22,21.22,VAL
46939,86_W_2,1527,7.746,12.303,12.303,NOR
46939,86_W_2,2064.3,10.126,22.841,22.841,GLU
46939,86_W_2,2175.5,4.429,4.122,4.122,PHE
46940,07_E_3,1270.9,6.671,22.243,22.243,ALA
46940,07_E_3,1394.2,4.562,21.618,21.618,VAL
46940,07_E_3,1523.8,4.376,13.884,13.884,NOR
46940,07_E_3,2055.5,5.244,22.083,22.083,GLU
46940,07_E_3,2172.6,2.981,2.608,2.608,PHE
46941,07_E_3,1271.1,6.371,22.289,22.289,ALA
46941,07_E_3,1394.2,3.312,24.099,24.099,VAL
46941,07_E_3,1523.8,4.127,14.019,14.019,NOR
46941,07_E_3,2055.1,5.003,22.534,22.534,GLU
46941,07_E_3,2172.6,2.788,2.818,2.818,PHE
