Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,Peak_ID
46554,5AA,1273.6,20.554,-0.65,-0.65,ALA
46554,5AA,1395.3,14.143,-0.648,-0.648,VAL
46554,5AA,1532,25.259,14.867,14.867,NOR
46554,5AA,2065.5,12.792,-3.507,-3.507,GLU
46554,5AA,2181.8,11.943,-5.502,-5.502,PHE
46555,5AA,1275.9,19.179,-0.978,-0.978,ALA
46555,5AA,1397.8,13.075,-0.914,-0.914,VAL
46555,5AA,1534.3,23.935,14.753,14.753,NOR
46555,5AA,2067.6,12.206,-3.021,-3.021,GLU
46555,5AA,2184.3,11.791,-4.883,-4.883,PHE
46556,5AA,1275.9,18.79,-0.932,-0.932,ALA
46556,5AA,1397.6,12.945,-0.602,-0.602,VAL
46556,5AA,1534.3,23.453,14.819,14.819,NOR
46556,5AA,2067.4,12.104,-3.125,-3.125,GLU
46556,5AA,2183.8,11.525,-4.952,-4.952,PHE
46557,10_W_2_R,1274.9,13.554,23.777,23.777,ALA
46557,10_W_2_R,1396.7,5.711,20.863,20.863,VAL
46557,10_W_2_R,1524.7,5.735,13.807,13.807,NOR
46557,10_W_2_R,2064.3,9.926,24.217,24.217,GLU
46557,10_W_2_R,2172.3,2.508,4.587,4.587,PHE
46558,10_W_2_R,1274.3,12.939,23.466,23.466,ALA
46558,10_W_2_R,1396.3,5.793,20.8,20.8,VAL
46558,10_W_2_R,1524.2,5.456,13.822,13.822,NOR
46558,10_W_2_R,2063.9,9.61,23.902,23.902,GLU
46558,10_W_2_R,2171.9,2.407,5.363,5.363,PHE
46559,10_W_2_R,1274.9,12.518,22.834,22.834,ALA
46559,10_W_2_R,1396.7,5.86,19.961,19.961,VAL
46559,10_W_2_R,1524.9,5.288,13.175,13.175,NOR
46559,10_W_2_R,2064.3,9.253,23.292,23.292,GLU
46559,10_W_2_R,2172.6,2.347,3.89,3.89,PHE
46560,04_E_2_R,1279.5,20.267,22.92,22.92,ALA
46560,04_E_2_R,1400.9,8.802,19.379,19.379,VAL
46560,04_E_2_R,1525.7,5.657,12.652,12.652,NOR
46560,04_E_2_R,2072.2,14.437,23.294,23.294,GLU
46560,04_E_2_R,2175.3,3.302,4.536,4.536,PHE
46561,04_E_2_R,1278.9,19.411,23.383,23.383,ALA
46561,04_E_2_R,1400.3,7.625,16.353,16.353,VAL
46561,04_E_2_R,1525.3,3.189,9.676,9.676,NOR
46561,04_E_2_R,2072,13.735,23.498,23.498,GLU
46561,04_E_2_R,2175.1,2.942,3.982,3.982,PHE
46562,04_E_2_R,1279.1,17.946,23.454,23.454,ALA
46562,04_E_2_R,1400.3,11.326,16.502,16.502,VAL
46562,04_E_2_R,1525.7,4.257,13.988,13.988,NOR
46562,04_E_2_R,2072.2,12.758,23.623,23.623,GLU
46562,04_E_2_R,2175.5,2.625,3.925,3.925,PHE
46563,5AA,1276.4,15.077,-1.003,-1.003,ALA
46563,5AA,1398,9.534,-1.09,-1.09,VAL
46563,5AA,1534.7,17.151,14.576,14.576,NOR
46563,5AA,2068.1,9.632,-3.242,-3.242,GLU
46563,5AA,2184.7,9.07,-4.263,-4.263,PHE
46564,22_K_3_R,1273.4,9.2,22.51,22.51,ALA
46564,22_K_3_R,1395.1,8.762,12.957,12.957,VAL
46564,22_K_3_R,1523.8,7.114,13.469,13.469,NOR
46564,22_K_3_R,2063.7,7.878,23.622,23.622,GLU
46564,22_K_3_R,2171.3,1.549,3.47,3.47,PHE
46565,22_K_3_R,1274.1,8.98,23.603,23.603,ALA
46565,22_K_3_R,1395.7,8.508,13.527,13.527,VAL
46565,22_K_3_R,1524.7,7.089,14.154,14.154,NOR
46565,22_K_3_R,2064.1,7.676,23.783,23.783,GLU
46565,22_K_3_R,2171.9,1.55,4.608,4.608,PHE
46566,22_K_3_R,1274.1,8.772,23.283,23.283,ALA
46566,22_K_3_R,1395.5,7.153,13.929,13.929,VAL
46566,22_K_3_R,1524.4,6.978,14.13,14.13,NOR
46566,22_K_3_R,2063.9,7.367,23.627,23.627,GLU
46566,22_K_3_R,2171.7,1.524,5.025,5.025,PHE
46570,5AA,1275.9,12.514,-0.368,-0.368,ALA
46570,5AA,1397.8,7.902,-0.479,-0.479,VAL
46570,5AA,1534.3,15.96,14.8,14.8,NOR
46570,5AA,2068.1,7.846,-1.764,-1.764,GLU
46570,5AA,2184.5,7.591,-3.709,-3.709,PHE
46571,86_W_3,1273.4,7.758,22.209,22.209,ALA
46571,86_W_3,1395.1,5.463,14.642,14.642,VAL
46571,86_W_3,1523.8,4.478,17.684,17.684,NOR
46571,86_W_3,2064.5,7.008,22.361,22.361,GLU
46571,86_W_3,2173.4,1.763,7.59,7.59,PHE
46572,86_W_3,1272.2,7.799,22.232,22.232,ALA
46572,86_W_3,1394,6.131,16.902,16.902,VAL
46572,86_W_3,1523,6.48,16.236,16.236,NOR
46572,86_W_3,2063,6.977,22.794,22.794,GLU
46572,86_W_3,2172.1,1.762,7.634,7.634,PHE
46573,86_W_3,1272.6,7.852,22.552,22.552,ALA
46573,86_W_3,1369.2,1.385,14.36,14.36,VAL
46573,86_W_3,1523.4,4.39,18.373,18.373,NOR
46573,86_W_3,2063.2,6.329,22.116,22.116,GLU
46573,86_W_3,2172.6,1.622,7.644,7.644,PHE
46574,5AA,1276.4,11.941,-0.568,-0.568,ALA
46574,5AA,1398,7.764,-0.239,-0.239,VAL
46574,5AA,1534.7,14.965,14.047,14.047,NOR
46574,5AA,2068.5,7.695,-2.022,-2.022,GLU
46574,5AA,2184.7,6.964,-3.736,-3.736,PHE
46575,5AA,1276.2,10.792,-1.254,-1.254,ALA
46575,5AA,1397.8,7.379,-1.13,-1.13,VAL
46575,5AA,1534.5,14.306,14.171,14.171,NOR
46575,5AA,2068.3,7.268,-2.255,-2.255,GLU
46575,5AA,2184.5,6.602,-3.817,-3.817,PHE
