Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,Peak_ID
47254,5AA,1408.2,21.541,-0.515,-0.515,ALA
47254,5AA,1545.8,14.339,-0.747,-0.747,VAL
47254,5AA,1692.7,24.173,14.964,14.964,NOR
47254,5AA,2280.4,22.004,-1.194,-1.194,GLU
47254,5AA,2383.2,21.986,-4.73,-4.73,PHE
47255,5AA,1407.8,21.348,-0.717,-0.717,ALA
47255,5AA,1545.6,13.782,-1.094,-1.094,VAL
47255,5AA,1692.5,22.832,14.972,14.972,NOR
47255,5AA,2279.6,17.983,-3.232,-3.232,GLU
47255,5AA,2382.4,18.412,-4.421,-4.421,PHE
47256,5AA,1408.7,22.272,-0.515,-0.515,ALA
47256,5AA,1546.4,14.537,-0.928,-0.928,VAL
47256,5AA,1693.5,24.251,15.256,15.256,NOR
47256,5AA,2280.8,19.474,-3.166,-3.166,GLU
47256,5AA,2383.4,19.458,-4.37,-4.37,PHE
47257,74_E_2,1409.1,21.063,25.6,25.6,ALA
47257,74_E_2,1548.3,10.026,20.061,20.061,VAL
47257,74_E_2,1685.4,7.679,13.629,13.629,NOR
47257,74_E_2,2286.5,32.604,23.88,23.88,GLU
47257,74_E_2,2378.2,8.216,3.842,3.842,PHE
47258,74_E_2,1408.9,20.637,25.469,25.469,ALA
47258,74_E_2,1548.1,9.724,20.155,20.155,VAL
47258,74_E_2,1685.4,8.959,14.957,14.957,NOR
47258,74_E_2,2286.5,31.079,23.719,23.719,GLU
47258,74_E_2,2378.2,7.786,2.853,2.853,PHE
47259,74_E_2,1408,20.436,25.365,25.365,ALA
47259,74_E_2,1547,10.423,19.455,19.455,VAL
47259,74_E_2,1684.3,7.494,15.003,15.003,NOR
47259,74_E_2,2285.2,31.013,23.746,23.746,GLU
47259,74_E_2,2377.2,7.62,2.641,2.641,PHE
47260,89_W_2_R,1405.1,12.83,22.046,22.046,ALA
47260,89_W_2_R,1544.7,9.474,21.474,21.474,VAL
47260,89_W_2_R,1683.7,7.203,14.423,14.423,NOR
47260,89_W_2_R,2274.3,10.885,21.561,21.561,GLU
47260,89_W_2_R,2374.9,4.802,2.177,2.177,PHE
47262,89_W_2_R,1404.5,11.72,21.499,21.499,ALA
47262,89_W_2_R,1544.1,9.043,20.251,20.251,VAL
47262,89_W_2_R,1683.1,6.645,14.503,14.503,NOR
47262,89_W_2_R,2273.5,10.283,21.386,21.386,GLU
47262,89_W_2_R,2374.2,4.418,0.981,0.981,PHE
47263,5AA,1409.1,21.287,-1.134,-1.134,ALA
47263,5AA,1546.4,13.462,-1.992,-1.992,VAL
47263,5AA,1693.9,22.925,14.577,14.577,NOR
47263,5AA,2280.6,19.665,-3.756,-3.756,GLU
47263,5AA,2383.2,18.732,-5.51,-5.51,PHE
47264,92_W_3,1402.4,7.43,23.058,23.058,ALA
47264,92_W_3,1542.2,7.179,16.491,16.491,VAL
47264,92_W_3,1683.7,6.828,13.204,13.204,NOR
47264,92_W_3,2281.4,23.174,22.319,22.319,GLU
47264,92_W_3,2375.1,5.07,1.249,1.249,PHE
47265,92_W_3,1401.8,7.001,22.797,22.797,ALA
47265,92_W_3,1541.8,6.47,14.029,14.029,VAL
47265,92_W_3,1683.3,6.268,12.996,12.996,NOR
47265,92_W_3,2281,22.047,22.123,22.123,GLU
47265,92_W_3,2374.4,4.619,0.934,0.934,PHE
47266,92_W_3,1413.3,6.403,22.361,22.361,ALA
47266,92_W_3,1552.7,6.286,13.676,13.676,VAL
47266,92_W_3,1695.2,5.538,11.916,11.916,NOR
47266,92_W_3,2291.5,20.398,21.888,21.888,GLU
47266,92_W_3,2384.7,6.949,6.131,6.131,PHE
47267,77_E_2,1431,21.124,21.262,21.262,ALA
47267,77_E_2,1567.5,14.97,14.69,14.69,VAL
47267,77_E_2,1660.1,6.202,19.024,19.024,NOR
47268,77_E_2,1409.3,19.168,21.144,21.144,ALA
47268,77_E_2,1547.4,16.936,13.545,13.545,VAL
47268,77_E_2,1683.7,9.177,14.244,14.244,NOR
47268,77_E_2,2285,32.664,19.641,19.641,GLU
47268,77_E_2,2377,10.33,9.847,9.847,PHE
47269,77_E_2,1409.7,17.977,20.79,20.79,ALA
47269,77_E_2,1547.9,15.476,13.243,13.243,VAL
47269,77_E_2,1684.1,9.096,14.5,14.5,NOR
47269,77_E_2,2285,22.647,22.26,22.26,GLU
47269,77_E_2,2377.4,4.907,4.089,4.089,PHE
47270,5AA,1409.1,16.154,-2.627,-2.627,ALA
47270,5AA,1546.6,9.48,-3.852,-3.852,VAL
47270,5AA,1694.4,17.853,13.505,13.505,NOR
47270,5AA,2281,15.288,-5.185,-5.185,GLU
47270,5AA,2383.4,18.641,-5.33,-5.33,PHE
47271,07_K_2,1406.6,9.257,21.24,21.24,ALA
47271,07_K_2,1546.8,10.794,9.289,9.289,VAL
47271,07_K_2,1684.3,3.065,16.562,16.562,NOR
47271,07_K_2,2287.5,30.396,20.03,20.03,GLU
47271,07_K_2,2378,14.008,12.237,12.237,PHE
47272,07_K_2,1411.4,8.803,21.505,21.505,ALA
47272,07_K_2,1551.4,10.482,12.912,12.912,VAL
47272,07_K_2,1689.8,7.396,14.947,14.947,NOR
47272,07_K_2,2292.1,23.33,22.163,22.163,GLU
47272,07_K_2,2382.4,7.235,10.7,10.7,PHE
47273,07_K_2,1410.5,8.654,20.808,20.808,ALA
47273,07_K_2,1550.6,12.892,12.871,12.871,VAL
47273,07_K_2,1688.5,9.507,15.014,15.014,NOR
47273,07_K_2,2291.1,32.946,19.883,19.883,GLU
47273,07_K_2,2381.3,14.414,13.212,13.212,PHE
47274,5AA,1416.2,14.547,-3.019,-3.019,ALA
47274,5AA,1553.1,11.36,-2.586,-2.586,VAL
47274,5AA,1701.7,18.971,11.178,11.178,NOR
47274,5AA,2287.3,14.09,-4.93,-4.93,GLU
47274,5AA,2389.3,12.738,-6.48,-6.48,PHE
47275,5AA,1411.2,13.532,-3.789,-3.789,ALA
