Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,Peak_ID
44927,5AA,1277.4,26.397,-1.045,-1.045,ALA
44927,5AA,1398.6,17.361,-1.004,-1.004,VAL
44927,5AA,1535.7,29.411,14.715,14.715,NOR
44927,5AA,2071,15.491,-2.736,-2.736,GLU
44927,5AA,2186.3,14.561,-4.709,-4.709,PHE
44929,5AA,1279.1,25.662,-0.913,-0.913,ALA
44929,5AA,1400.1,16.849,-0.478,-0.478,VAL
44929,5AA,1537.4,29.359,14.853,14.853,NOR
44929,5AA,2072.4,15.946,-3.178,-3.178,GLU
44929,5AA,2187.8,14.383,-5.034,-5.034,PHE
44930,04_K_3,1276.4,15.379,23.788,23.788,ALA
44930,04_K_3,1397.4,6.066,19.566,19.566,VAL
44930,04_K_3,1525.1,4.912,13.265,13.265,NOR
44930,04_K_3,2060.9,8.088,24.553,24.553,GLU
44930,04_K_3,2171.3,2.01,5.348,5.348,PHE
44931,04_K_3,1275.9,14.674,23.917,23.917,ALA
44931,04_K_3,1397.2,6.335,18.526,18.526,VAL
44931,04_K_3,1525.1,6.546,14.172,14.172,NOR
44931,04_K_3,2060.7,7.584,24.951,24.951,GLU
44931,04_K_3,2171.3,1.832,3.196,3.196,PHE
44932,04_K_3,1275.5,13.768,24.015,24.015,ALA
44932,04_K_3,1396.7,6.791,16.87,16.87,VAL
44932,04_K_3,1524.4,6.545,14.02,14.02,NOR
44932,04_K_3,2060.1,7.238,24.542,24.542,GLU
44932,04_K_3,2170.7,1.655,3.558,3.558,PHE
44933,04_E_3,1272.4,7.772,22.895,22.895,ALA
44933,04_E_3,1394.4,5.037,16.225,16.225,VAL
44933,04_E_3,1523,2.42,14.629,14.629,NOR
44933,04_E_3,2057.2,4.954,21.814,21.814,GLU
44933,04_E_3,2170.7,1.347,3.367,3.367,PHE
44934,04_E_3,1272.2,7.204,22.964,22.964,ALA
44934,04_E_3,1394.2,5.07,15.657,15.657,VAL
44934,04_E_3,1522.8,2.225,15.917,15.917,NOR
44934,04_E_3,2057,4.601,21.859,21.859,GLU
44934,04_E_3,2170.5,1.224,2.86,2.86,PHE
44935,04_E_3,1272.6,6.896,22.472,22.472,ALA
44935,04_E_3,1394.7,4.045,13.258,13.258,VAL
44935,04_E_3,1523.2,2.149,15.469,15.469,NOR
44935,04_E_3,2057.2,4.274,21.502,21.502,GLU
44940,01_W_3,1277.8,12.95,23.529,23.529,ALA
44940,01_W_3,1398.8,8.812,13.846,13.846,VAL
44940,01_W_3,1523.4,1.352,13.212,13.212,NOR
44940,01_W_3,2064.3,7.286,23.264,23.264,GLU
44940,01_W_3,2172.3,1.598,7.11,7.11,PHE
44941,01_W_3,1279.9,12.859,23.48,23.48,ALA
44941,01_W_3,1400.9,6.051,12.511,12.511,VAL
44941,01_W_3,1525.7,3.343,9.567,9.567,NOR
44941,01_W_3,2067.6,7.314,22.809,22.809,GLU
44941,01_W_3,2175.5,1.62,7.87,7.87,PHE
44942,01_W_3,1280.5,13.291,23.902,23.902,ALA
44942,01_W_3,1401.8,7.297,14.802,14.802,VAL
44942,01_W_3,1526.5,4.936,13.998,13.998,NOR
44942,01_W_3,2069.1,7.191,23.355,23.355,GLU
44942,01_W_3,2176.7,1.608,8.818,8.818,PHE
44943,5AA,1285.8,19.849,-0.091,-0.091,ALA
44943,5AA,1406.8,12.202,0.455,0.455,VAL
44943,5AA,1544.5,22.414,15.181,15.181,NOR
44943,5AA,2083.9,12.113,-2.027,-2.027,GLU
44943,5AA,2197,11.164,-3.239,-3.239,PHE
44944,01_K_2,1287.4,10.8,23.337,23.337,ALA
44944,01_K_2,1409.5,6.343,13.178,13.178,VAL
44944,01_K_2,1535.7,2.425,16.592,16.592,NOR
44944,01_K_2,2081.4,6.191,22.366,22.366,GLU
44944,01_K_2,2188,1.648,7.02,7.02,PHE
44945,01_K_2,1292,10.196,22.78,22.78,ALA
44945,01_K_2,1414.1,7.134,14.575,14.575,VAL
44945,01_K_2,1540.5,5.45,14.182,14.182,NOR
44945,01_K_2,2088.5,5.933,23.118,23.118,GLU
44945,01_K_2,2194.1,1.592,8.52,8.52,PHE
44946,01_K_2,1297.7,9.864,22.755,22.755,ALA
44946,01_K_2,1419.5,6.123,12.719,12.719,VAL
44946,01_K_2,1546.2,3.82,12.01,12.01,NOR
44946,01_K_2,2096.1,6.016,22.177,22.177,GLU
44946,01_K_2,2200.4,1.533,9.081,9.081,PHE
44947,5AA,1307.1,18.426,-0.151,-0.151,ALA
44947,5AA,1428.3,11.067,0.507,0.507,VAL
44947,5AA,1565.6,18.571,15.043,15.043,NOR
44947,5AA,2115.3,11.84,-1.485,-1.485,GLU
44947,5AA,2222.7,10.785,-3.156,-3.156,PHE
44948,5AA,1315.7,17.46,-0.323,-0.323,ALA
44948,5AA,1436.9,11.132,-0.07,-0.07,VAL
44948,5AA,1573.1,16.459,14.929,14.929,NOR
44948,5AA,2127,11.454,-1.903,-1.903,GLU
44948,5AA,2232.3,10.414,-2.717,-2.717,PHE
