Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,Peak_ID
46846,5AA,1277.2,15.004,-0.962,-0.962,ALA
46846,5AA,1398.8,10.17,-0.778,-0.778,VAL
46846,5AA,1535.1,19.78,14.676,14.676,NOR
46846,5AA,2066.8,9.506,-2.921,-2.921,GLU
46846,5AA,2184.1,9.973,-4.931,-4.931,PHE
46847,5AA,1276.6,16.299,-0.882,-0.882,ALA
46847,5AA,1398.2,11.074,-0.323,-0.323,VAL
46847,5AA,1534.5,20.472,15.101,15.101,NOR
46847,5AA,2066.6,10.131,-3.148,-3.148,GLU
46847,5AA,2183.6,10.4,-4.675,-4.675,PHE
46848,5AA,1277,16.035,-1.022,-1.022,ALA
46848,5AA,1398.6,11.018,-1.026,-1.026,VAL
46848,5AA,1534.9,20.307,14.888,14.888,NOR
46848,5AA,2066.6,10.291,-3.486,-3.486,GLU
46848,5AA,2183.8,10.107,-4.888,-4.888,PHE
46849,68_W_2,1281.4,25.119,23.055,23.055,ALA
46849,68_W_2,1402,8.381,22.643,22.643,VAL
46849,68_W_2,1527.2,5.774,10.987,10.987,NOR
46849,68_W_2,2070.4,13.655,22.842,22.842,GLU
46849,68_W_2,2176.3,3.716,3.759,3.759,PHE
46850,68_W_2,1281.4,24.522,22.872,22.872,ALA
46850,68_W_2,1402.2,8.802,22.274,22.274,VAL
46850,68_W_2,1527.2,5.556,10.846,10.846,NOR
46850,68_W_2,2070.1,13.06,22.534,22.534,GLU
46850,68_W_2,2176.3,3.543,2.985,2.985,PHE
46851,68_W_2,1281,23.307,22.332,22.332,ALA
46851,68_W_2,1401.8,9.08,21.199,21.199,VAL
46851,68_W_2,1527,5.337,10.855,10.855,NOR
46851,68_W_2,2070.1,12.806,22.235,22.235,GLU
46851,68_W_2,2176.3,3.503,3.342,3.342,PHE
46852,65_K_2,1273.4,6.56,23.64,23.64,ALA
46852,65_K_2,1397.4,1.146,14.893,14.893,VAL
46852,65_K_2,1526.7,5.039,14.308,14.308,NOR
46852,65_K_2,2078.3,17.894,23.547,23.547,GLU
46852,65_K_2,2179.7,4.517,5.133,5.133,PHE
46853,65_K_2,1273,5.96,23.587,23.587,ALA
46853,65_K_2,1396.3,4.633,15.769,15.769,VAL
46853,65_K_2,1525.9,5.838,14.012,14.012,NOR
46853,65_K_2,2076.8,15.696,23.053,23.053,GLU
46853,65_K_2,2179.2,3.926,3.865,3.865,PHE
46854,65_K_2,1273.2,5.476,23.059,23.059,ALA
46854,65_K_2,1397.2,5.157,14.241,14.241,VAL
46854,65_K_2,1526.5,5.983,13.594,13.594,NOR
46854,65_K_2,2077.9,15.489,22.433,22.433,GLU
46854,65_K_2,2179.5,3.544,4,4,PHE
46855,5AA,1278.5,13.311,-1.185,-1.185,ALA
46855,5AA,1400.1,8.778,-1.834,-1.834,VAL
46855,5AA,1536.4,15.753,13.888,13.888,NOR
46855,5AA,2069.3,8.701,-4.486,-4.486,GLU
46855,5AA,2185.9,8.309,-5.682,-5.682,PHE
46856,65_E_2,1278,7.552,20.95,20.95,ALA
46856,65_E_2,1400.7,8.541,13.535,13.535,VAL
46856,65_E_2,1529.3,3.831,16.54,16.54,NOR
46856,65_E_2,2074.7,10.125,22.37,22.37,GLU
46856,65_E_2,2181.8,2.781,2.551,2.551,PHE
46857,65_E_2,1278.5,6.587,21.109,21.109,ALA
46857,65_E_2,1401.1,7.766,13.731,13.731,VAL
46857,65_E_2,1529.9,5.917,14.89,14.89,NOR
46857,65_E_2,2075,8.479,21.318,21.318,GLU
46857,65_E_2,2182.4,2.407,3.061,3.061,PHE
46858,65_E_2,1281.6,6.414,20.839,20.839,ALA
46858,65_E_2,1404.7,5.978,11.39,11.39,VAL
46858,65_E_2,1533.4,4.663,12.563,12.563,NOR
46858,65_E_2,2080.4,8.984,22.12,22.12,GLU
46858,65_E_2,2186.6,2.365,2.455,2.455,PHE
46862,5AA,1300.8,11.22,-1.739,-1.739,ALA
46862,5AA,1422.5,6.637,-2.102,-2.102,VAL
46862,5AA,1558.5,11.465,13.908,13.908,NOR
46862,5AA,2102.1,6.875,-3.765,-3.765,GLU
46862,5AA,2212.1,6.389,-5.662,-5.662,PHE
46866,5AA,1322.3,10.58,-1.105,-1.105,ALA
46866,5AA,1444,6.595,-1.085,-1.085,VAL
46866,5AA,1578.2,11.102,14.371,14.371,NOR
46866,5AA,2131.4,7.242,-2.525,-2.525,GLU
46866,5AA,2236.5,7.017,-3.592,-3.592,PHE
46867,5AA,1330.3,10.208,-1.391,-1.391,ALA
46867,5AA,1451.7,6.839,-1.577,-1.577,VAL
46867,5AA,1585.3,9.942,13.516,13.516,NOR
46867,5AA,2140.2,6.986,-2.689,-2.689,GLU
46867,5AA,2243.8,6.463,-4.568,-4.568,PHE
