Analysis,Row,Identifier.1,Comment,Amount,unique.ID,Area.44,d.13C.12C.raw,Area.28,d.15N.14N.raw,group,mass.C.mg,mass.N.mg,known.d13C,known.d15N,d.15N.14N.drift,d.13C.12C.drift,d.13C.12C.VPDB,d.15N.14N.air,mass.percent.C,mass.percent.N
47431,3,GA1_QTY_1,QTY,0.328,GA1_QTY_1_47431,73.079,-17.302,34.219,-4.321,GA1,0.133879104,0.0312256,-28.3,-4.6,-4.32745,-17.30825,-27.71933055189809,-4.623331438438365,42.481707708351465,9.754236486941927
47432,4,GA1_QTY_2,QTY,0.436,GA1_QTY_2_47432,95.34,-17.9,45.804,-4.203,GA1,0.17796124800000002,0.041507199999999994,-28.3,-4.6,-4.211600000000001,-17.90833333333333,-28.303068832590377,-4.506990864946593,41.46435582390767,9.683088423333558
47433,5,GA1_QTY_3,QTY,0.594,GA1_QTY_3_47433,129.152,-17.962,62.213,-4.324,GA1,0.242451792,0.056548799999999996,-28.3,-4.6,-4.33475,-17.972416666666668,-28.365406665926358,-4.630662350708455,41.03271813218395,9.54546603948755
47434,6,GA1_STD_01,STANDARD,0.445,GA1_STD_01_47434,96.145,-17.829,46.211,-4.269,GA1,0.18163476,0.042364,-28.3,-4.6,-4.2819,-17.8415,-28.238055903675615,-4.5775885543421175,40.96254076656678,9.567969519748956
47435,7,GA2_STD_01,STANDARD,0.454,GA2_STD_01_47435,96.243,-3.184,45.874,-5.292,GA2,0.185308272,0.0432208,-13.7,-5.7,-5.307049999999999,-3.1985833333333336,-13.99398258165839,-5.6070796110110095,40.190695743260555,9.312785065091225
47436,8,SAL_STD_01,STANDARD,0.474,SAL_STD_01_47436,117.622,-10.766,64.439,11.693,SALMON,0.216618,0.05607419999999999,-21.3,11.3,11.675799999999999,-10.782666666666668,-21.371490870441168,11.447685244619198,46.89204185962462,12.37650421383021
47446,18,GA1_STD_02,STANDARD,0.471,GA1_STD_02_47446,101.032,-18.122,49.556,-4.751,GA1,0.192247128,0.044839199999999996,-28.3,-4.6,-4.789700000000001,-18.1595,-28.547394228786267,-5.08753886266428,40.63306087452689,9.666582213574129
47447,19,GA2_STD_02,STANDARD,0.449,GA2_STD_02_47447,95.026,-2.692,45.486,-5.401,GA2,0.18326743199999998,0.0427448,-13.7,-5.7,-5.44185,-2.7315833333333335,-13.539702714278913,-5.742450429368292,40.13363016635723,9.340225802772544
47448,20,SAL_STD_02,STANDARD,0.439,SAL_STD_02_47448,105.372,-8.634,58.817,11.528,SALMON,0.200623,0.0519337,-21.3,11.3,11.485000000000001,-8.675666666666666,-19.321881276075953,11.25607729103931,45.435477338730394,12.233011443692028
47459,31,GA1_STD_03,STANDARD,0.454,GA1_STD_03_47459,98.604,-16.684,47.324,-4.335,GA1,0.185308272,0.0432208,-28.3,-4.6,-4.40165,-16.748583333333336,-27.17490806986373,-4.697845642608323,41.15889180855265,9.594657535767055
47460,32,GA2_STD_03,STANDARD,0.433,GA2_STD_03_47460,93.801,-2.246,45.071,-5.259,GA2,0.176736744,0.0412216,-13.7,-5.7,-5.327800000000001,-2.312666666666667,-13.132196487777017,-5.627917478080104,41.08991828110498,9.60077473392535
47461,33,SAL_STD_03,STANDARD,0.457,SAL_STD_03_47461,108.942,-10.96,61.168,11.489,SALMON,0.208849,0.0540631,-21.3,11.3,11.418050000000001,-11.02875,-21.610871392991413,11.188843787411566,45.100267137551654,12.205208094088722
47472,44,GA1_STD_04,STANDARD,0.449,GA1_STD_04_47472,91.27,-19.306,43.846,-4.097,GA1,0.18326743199999998,0.0427448,-28.3,-4.6,-4.1916,-19.397666666666666,-29.75183574725954,-4.48690617379566,38.576222092844866,9.017868123997646
47473,45,GA2_STD_04,STANDARD,0.437,GA2_STD_04_47473,95.368,-2.061,45.881,-5.324,GA2,0.178369416,0.0416024,-13.7,-5.7,-5.42075,-2.15475,-12.97858115075273,-5.721261080204059,41.38140059732015,9.676481021165252
47474,46,SAL_STD_04,STANDARD,0.434,SAL_STD_04_47474,106.742,-9.946,58.288,11.635,SALMON,0.19833800000000001,0.0513422,-21.3,11.3,11.5361,-10.041833333333333,-20.650836334216407,11.307393676929939,46.546625273267715,12.26637096883812
47475,47,GA2_QTY_1,QTY,0.391,GA2_QTY_1_47475,84.242,-2.398,40.268,-5.279,GA2,0.159593688,0.0372232,-13.7,-5.7,-5.38005,-2.495916666666667,-13.310455129527101,-5.6803887337119114,40.952123648570534,9.54794253160455
47476,48,GA2_QTY_2,QTY,0.433,GA2_QTY_2_47476,93.193,-4.634,44.683,-5.434,GA2,0.176736744,0.0412216,-13.7,-5.7,-5.5372,-4.734,-15.487577613147831,-5.838204194430359,40.828498249965094,9.521691514279752
47477,49,GA2_QTY_3,QTY,0.691,GA2_QTY_3_47477,150.179,-2.545,72.481,-5.277,GA2,0.28204408799999997,0.06578319999999999,-13.7,-5.7,-5.38235,-2.6470833333333332,-13.457504322858002,-5.682698473194268,40.937992287144695,9.516948853666317
