"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","d15N.correct","adj"
"1",45910,"5AA",1279.9,26.553,-0.65,-0.65,"ALA",-1.08015,-1.55838977272738
"2",45910,"5AA",1400.7,16.631,-0.839,-0.839,"VAL",-1.26915,-0.888315056818288
"3",45910,"5AA",1538.2,29.257,14.661,14.661,"NOR",14.23085,14.2183414772735
"4",45910,"5AA",2073.7,15.553,-2.899,-2.899,"GLU",-3.32915,-2.76994005681951
"5",45910,"5AA",2188.6,14.939,-4.467,-4.467,"PHE",-4.89715,-4.84006818181919
"6",45911,"5AA",1280.8,26.672,-0.934,-0.934,"ALA",-1.36415,-1.84753863636376
"7",45911,"5AA",1401.6,16.601,-0.708,-0.708,"VAL",-1.13815,-0.769790340909185
"8",45911,"5AA",1539.3,30.122,14.626,14.626,"NOR",14.19585,14.2532488636373
"9",45911,"5AA",2075.4,16.348,-3.238,-3.238,"GLU",-3.66815,-3.18854034091021
"10",45911,"5AA",2189.9,14.864,-4.944,-4.944,"PHE",-5.37415,-5.39040909091045
"11",45912,"5AA",1280.3,24.058,-1.167,-1.167,"ALA",-1.59715,-2.08568750000011
"12",45912,"5AA",1401.1,15.01,-0.791,-0.791,"VAL",-1.22115,-0.865265625000082
"13",45912,"5AA",1538.9,27.234,14.417,14.417,"NOR",13.98685,14.1141562500007
"14",45912,"5AA",2074.7,15.024,-3.756,-3.756,"GLU",-4.18615,-3.78614062500137
"15",45912,"5AA",2189.5,13.733,-4.9,-4.9,"PHE",-5.33015,-5.41975000000125
"16",45913,"98_E_2",1279.9,19.19,22.523,22.523,"ALA",22.09285,21.5991636363635
"17",45913,"98_E_2",1401.8,9.556,21.288,21.288,"VAL",20.85785,21.201259090909
"18",45913,"98_E_2",1527.4,4.814,12.704,12.704,"NOR",12.27385,12.4710636363646
"19",45913,"98_E_2",2069.9,10.775,21.416,21.416,"GLU",20.98585,21.3062590909079
"20",45913,"98_E_2",2177.8,3.185,2.59,2.59,"PHE",2.15985,1.99690909090795
"21",45914,"98_E_2",1279.7,16.757,22.04,22.04,"ALA",21.60985,21.1110147727272
"22",45914,"98_E_2",1401.3,10.582,18.954,18.954,"VAL",18.52385,18.8547838068181
"23",45914,"98_E_2",1527,4.206,12.888,12.888,"NOR",12.45785,12.724971022728
"24",45914,"98_E_2",2069.3,9.703,22.068,22.068,"GLU",21.63785,21.8786588068172
"25",45914,"98_E_2",2177.4,2.691,3.473,3.473,"PHE",3.04285,2.80656818181714
"26",45915,"98_E_2",1279.3,15.705,22.427,22.427,"ALA",21.99685,21.4928659090908
"27",45915,"98_E_2",1401.1,11.42,17.595,17.595,"VAL",17.16485,17.4833085227271
"28",45915,"98_E_2",1526.7,7.497,15.21,15.21,"NOR",14.77985,15.1168784090914
"29",45915,"98_E_2",2069.3,9.524,21.878,21.878,"GLU",21.44785,21.6090585227261
"30",45915,"98_E_2",2177.2,2.566,3.093,3.093,"PHE",2.66285,2.35322727272634
"31",45916,"10_W_2",1277.2,11.076,22.652,22.652,"ALA",22.22185,21.7127170454545
"32",45916,"10_W_2",1399.5,7.959,16.615,16.615,"VAL",16.18485,16.4908332386362
