"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","d15N.correct","adj"
"1",46554,"5AA",1273.6,20.554,-0.65,-0.65,"ALA",-1.08015,-1.41349999999991
"2",46554,"5AA",1395.3,14.143,-0.648,-0.648,"VAL",-1.07815,-0.54623068181805
"3",46554,"5AA",1532,25.259,14.867,14.867,"NOR",14.43685,14.4848053977269
"4",46554,"5AA",2065.5,12.792,-3.507,-3.507,"GLU",-3.93715,-3.21292159090842
"5",46554,"5AA",2181.8,11.943,-5.502,-5.502,"PHE",-5.93215,-5.37507073863572
"6",46555,"5AA",1275.9,19.179,-0.978,-0.978,"ALA",-1.40815,-1.74399999999991
"7",46555,"5AA",1397.8,13.075,-0.914,-0.914,"VAL",-1.34415,-0.816584090908974
"8",46555,"5AA",1534.3,23.935,14.753,14.753,"NOR",14.32285,14.4003323863631
"9",46555,"5AA",2067.6,12.206,-3.021,-3.021,"GLU",-3.45115,-2.79092954545352
"10",46555,"5AA",2184.3,11.791,-4.883,-4.883,"PHE",-5.31315,-4.82932443181758
"11",46556,"5AA",1275.9,18.79,-0.932,-0.932,"ALA",-1.36215,-1.70049999999992
"12",46556,"5AA",1397.6,12.945,-0.602,-0.602,"VAL",-1.03215,-0.508937499999871
"13",46556,"5AA",1534.3,23.453,14.819,14.819,"NOR",14.38885,14.4958593749996
"14",46556,"5AA",2067.4,12.104,-3.125,-3.125,"GLU",-3.55515,-2.95893749999908
"15",46556,"5AA",2183.8,11.525,-4.952,-4.952,"PHE",-5.38215,-4.97157812499945
"16",46557,"10_W_2_R",1274.9,13.554,23.777,23.777,"ALA",23.34685,23.0060000000001
"17",46557,"10_W_2_R",1396.7,5.711,20.863,20.863,"VAL",20.43285,20.9517090909092
"18",46557,"10_W_2_R",1524.7,5.735,13.807,13.807,"NOR",13.37685,13.5133863636361
"19",46557,"10_W_2_R",2064.3,9.926,24.217,24.217,"GLU",23.78685,24.3190545454554
"20",46557,"10_W_2_R",2172.3,2.508,4.587,4.587,"PHE",4.15685,4.49416818181868
"21",46558,"10_W_2_R",1274.3,12.939,23.466,23.466,"ALA",23.03585,22.6925000000001
"22",46558,"10_W_2_R",1396.3,5.793,20.8,20.8,"VAL",20.36985,20.8843556818183
"23",46558,"10_W_2_R",1524.2,5.456,13.822,13.822,"NOR",13.39185,13.5579133522723
"24",46558,"10_W_2_R",2063.9,9.61,23.902,23.902,"GLU",23.47185,23.9400465909098
"25",46558,"10_W_2_R",2171.9,2.407,5.363,5.363,"PHE",4.93285,5.19691448863681
"26",46559,"10_W_2_R",1274.9,12.518,22.834,22.834,"ALA",22.40385,22.0580000000001
"27",46559,"10_W_2_R",1396.7,5.86,19.961,19.961,"VAL",19.53085,20.0410022727274
"28",46559,"10_W_2_R",1524.9,5.288,13.175,13.175,"NOR",12.74485,12.9404403409088
"29",46559,"10_W_2_R",2064.3,9.253,23.292,23.292,"GLU",22.86185,23.2660386363642
"30",46559,"10_W_2_R",2172.6,2.347,3.89,3.89,"PHE",3.45985,3.65066079545494
"31",46560,"04_E_2_R",1279.5,20.267,22.92,22.92,"ALA",22.48985,22.1415
"32",46560,"04_E_2_R",1400.9,8.802,19.379,19.379,"VAL",18.94885,19.4546488636365
"33",46560,"04_E_2_R",1525.7,5.657,12.652,12.652,"NOR",12.22185,12.446967329545
"34",46560,"04_E_2_R",2072.2,14.437,23.294,23.294,"GLU",22.86385,23.2040306818191
"35",46560,"04_E_2_R",2175.3,3.302,4.536,4.536,"PHE",4.10585,4.22340710227307
"36",46561,"04_E_2_R",1278.9,19.411,23.383,23.383,"ALA",22.95285,22.602
"37",46561,"04_E_2_R",1400.3,7.625,16.353,16.353,"VAL",15.92285,16.4242954545455
"38",46561,"04_E_2_R",1525.3,3.189,9.676,9.676,"NOR",9.24585,9.50049431818146
