"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","d15N.correct","adj"
"1",45866,"5AA",1276.8,21.007,-0.783,-0.783,"ALA",-1.21315,-1.75062130681789
"2",45866,"5AA",1398.2,14.091,-0.739,-0.739,"VAL",-1.16915,-0.852488068181689
"3",45866,"5AA",1534.5,24.375,14.868,14.868,"NOR",14.43785,14.2863147727285
"4",45866,"5AA",2068.9,12.618,-3.109,-3.109,"GLU",-3.53915,-2.99310625000137
"5",45866,"5AA",2185.1,11.945,-4.945,-4.945,"PHE",-5.37515,-5.0371119318195
"6",45867,"5AA",1277.8,21.153,-0.744,-0.744,"ALA",-1.17415,-1.7044278409088
"7",45867,"5AA",1399.5,14.118,-0.712,-0.712,"VAL",-1.14215,-0.826728409090795
"8",45867,"5AA",1535.9,25.238,14.664,14.664,"NOR",14.23385,14.1386886363651
"9",45867,"5AA",2070.1,13.297,-3.021,-3.021,"GLU",-3.45115,-2.95803750000162
"10",45867,"5AA",2185.9,12.133,-5.166,-5.166,"PHE",-5.59615,-5.33207159091013
"11",45868,"5AA",1278.5,20.174,-0.857,-0.857,"ALA",-1.28715,-1.81023437499976
"12",45868,"5AA",1400.1,13.351,-0.586,-0.586,"VAL",-1.01615,-0.701968749999902
"13",45868,"5AA",1536.8,23.85,14.689,14.689,"NOR",14.25885,14.2200625000011
"14",45868,"5AA",2070.8,12.943,-3.52,-3.52,"GLU",-3.95015,-3.50996875000142
"15",45868,"5AA",2186.8,11.748,-5.029,-5.029,"PHE",-5.45915,-5.26903125000122
"16",45869,"04_E_2",1283.3,27.127,23.681,23.681,"ALA",23.25085,22.7349590909093
"17",45869,"04_E_2",1405.1,9.686,20.49,20.49,"VAL",20.05985,20.372790909091
"18",45869,"04_E_2",1529.3,9.024,14.314,14.314,"NOR",13.88385,13.9014363636376
"19",45869,"04_E_2",2076.4,16.344,22.935,22.935,"GLU",22.50485,22.8920999999988
"20",45869,"04_E_2",2178.2,4.064,5.335,5.335,"PHE",4.90485,5.02100909090815
"21",45870,"04_E_2",1284.3,25.357,23.669,23.669,"ALA",23.23885,22.7301525568184
"22",45870,"04_E_2",1406.4,11.502,18.416,18.416,"VAL",17.98585,18.2975505681819
"23",45870,"04_E_2",1530.5,5.843,13.498,13.498,"NOR",13.06785,13.1418102272741
"24",45870,"04_E_2",2077.7,15.217,23.122,23.122,"GLU",22.69185,23.0261687499985
"25",45870,"04_E_2",2179.2,3.528,4.562,4.562,"PHE",4.13185,4.17404943181706
"26",45871,"04_E_2",1283.7,22.946,23.924,23.924,"ALA",23.49385,22.9923460227275
"27",45871,"04_E_2",1405.7,12.519,16.591,16.591,"VAL",16.16085,16.4713102272728
"28",45871,"04_E_2",1529.9,8.938,14.143,14.143,"NOR",13.71285,13.8431840909102
"29",45871,"04_E_2",2076.6,13.719,23.988,23.988,"GLU",23.55785,23.8392374999987
"30",45871,"04_E_2",2178.6,3.079,6.403,6.403,"PHE",5.97285,5.94108977272642
"31",45872,"10_K_2",1269.3,3.275,22.337,22.337,"ALA",21.90685,21.4125394886366
"32",45872,"10_K_2",1393.4,2.524,20.379,20.379,"VAL",19.94885,20.2580698863637
"33",45872,"10_K_2",1523.4,2.074,13.784,13.784,"NOR",13.35385,13.5405579545467
"34",45872,"10_K_2",2056.6,3.817,21.676,21.676,"GLU",21.24585,21.4743062499989
"35",45872,"10_K_2",2172.3,1.621,2.765,2.765,"PHE",2.33485,2.22913011363534
"36",45873,"10_K_2",1269.9,3.023,22.65,22.65,"ALA",22.21985,21.7327329545456
"37",45873,"10_K_2",1393.8,1.744,25.192,25.192,"VAL",24.76185,25.0698295454546
"38",45873,"10_K_2",1524,1.962,14.151,14.151,"NOR",13.72085,13.9639318181827
"39",45873,"10_K_2",2057.4,3.59,22.423,22.423,"GLU",21.99285,22.1683749999987
"40",45873,"10_K_2",2173,1.486,4.237,4.237,"PHE",3.80685,3.6271704545447
"41",45874,"10_K_2",1270.9,2.84,22.388,22.388,"ALA",21.95785,21.4779264204547
"42",45874,"10_K_2",1394.9,2.353,19.147,19.147,"VAL",18.71685,19.0235892045455
"43",45874,"10_K_2",1525.1,1.897,14.148,14.148,"NOR",13.71785,14.0173056818193
"44",45874,"10_K_2",2058.2,3.41,22.046,22.046,"GLU",21.61585,21.7384437499989
"45",45874,"10_K_2",2174,1.381,4.681,4.681,"PHE",4.25085,3.99721079545362
"46",45875,"5AA",1278.2,14.926,-0.195,-0.195,"ALA",-0.62515,-1.09788011363625
"47",45875,"5AA",1399.9,9.23,-0.088,-0.088,"VAL",-0.51815,-0.212651136363639
"48",45875,"5AA",1536.4,17.825,15.796,15.796,"NOR",15.36585,15.7216795454553
"49",45875,"5AA",2071,9.899,-2.1,-2.1,"GLU",-2.53015,-2.46048750000094
"50",45875,"5AA",2186.6,8.845,-3.283,-3.283,"PHE",-3.71315,-4.04074886363702
"51",45879,"07_E_2",1277.6,4.997,23.037,23.037,"ALA",22.60685,22.1628937500001
"52",45879,"07_E_2",1400.7,3.825,16.332,16.332,"VAL",15.90185,16.2023874999999
"53",45879,"07_E_2",1530.1,3.113,17.004,17.004,"NOR",16.57385,17.1551750000004
"54",45879,"07_E_2",2064.1,3.115,20.935,20.935,"GLU",20.50485,20.3627874999989
"55",45879,"07_E_2",2179.7,1.557,7.092,7.092,"PHE",6.66185,6.03841249999954
"56",45880,"07_E_2",1275.7,4.912,22.451,22.451,"ALA",22.02085,21.5840872159091
"57",45880,"07_E_2",1398.8,3.751,16.319,16.319,"VAL",15.88885,16.1881471590908
"58",45880,"07_E_2",1528.2,1.83,15.672,15.672,"NOR",15.24185,15.8795488636369
"59",45880,"07_E_2",2061.6,2.975,20.965,20.965,"GLU",20.53485,20.3398562499991
"60",45880,"07_E_2",2177.8,1.492,8.13,8.13,"PHE",7.69985,7.00245284090845
"61",45881,"07_E_2",1277,4.72,22.341,22.341,"ALA",21.91085,21.4812806818182
"62",45881,"07_E_2",1400.1,3.057,16.171,16.171,"VAL",15.74085,16.0389068181817
"63",45881,"07_E_2",1529.5,2.841,15.911,15.911,"NOR",15.48085,16.1749227272735
"64",45881,"07_E_2",2063.9,2.817,19.773,19.773,"GLU",19.34285,19.0949249999993
"65",45881,"07_E_2",2179.5,1.426,7.115,7.115,"PHE",6.68485,5.91349318181782
"66",45882,"5AA",1288.1,11.567,-0.196,-0.196,"ALA",-0.62615,-1.04852585227274
"67",45882,"5AA",1409.7,7.926,-0.072,-0.072,"VAL",-0.50215,-0.20533352272737
"68",45882,"5AA",1546.6,14.274,14.463,14.463,"NOR",14.03285,14.7832965909095
"69",45882,"5AA",2086,8.037,-2.417,-2.417,"GLU",-2.84715,-3.14800625000092
"70",45882,"5AA",2198.7,6.876,-3.511,-3.511,"PHE",-3.94115,-4.78646647727327
"71",45886,"5AA",1302.5,11.334,-1.093,-1.093,"ALA",-1.52315,-1.91675198863641
"72",45886,"5AA",1423.9,6.679,-0.769,-0.769,"VAL",-1.19915,-0.907294886363796
"73",45886,"5AA",1560.4,11.502,13.74,13.74,"NOR",13.30985,14.2857920454546
"74",45886,"5AA",2106.5,7.803,-2.362,-2.362,"GLU",-2.79215,-3.30473125000058
"75",45886,"5AA",2215.4,6.58,-3.787,-3.787,"PHE",-4.21715,-5.35830511363671
"76",45887,"5AA",1307.9,10.734,-1.125,-1.125,"ALA",-1.55515,-1.94155852272737
"77",45887,"5AA",1429.6,7.143,-0.844,-0.844,"VAL",-1.27415,-0.983535227272895
"78",45887,"5AA",1565.8,11.238,13.357,13.357,"NOR",12.92685,13.9591659090911
"79",45887,"5AA",2114.2,7.667,-1.924,-1.924,"GLU",-2.35415,-2.91966250000038
"80",45887,"5AA",2221.5,6.594,-3.559,-3.559,"PHE",-3.98915,-5.20426477272734
