"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","d15N.correct","adj"
"1",46824,"5AA",1276.4,13.958,-1.481,-1.481,"ALA",-1.91115,-2.27225227272853
"2",46824,"5AA",1398,9.849,-0.842,-0.842,"VAL",-1.27215,-0.907257670455836
"3",46824,"5AA",1533.9,18.992,14.741,14.741,"NOR",14.31085,14.177007670452
"4",46824,"5AA",2065.1,8.299,-3.083,-3.083,"GLU",-3.51315,-3.01654232954647
"5",46824,"5AA",2182.6,9.74,-4.716,-4.716,"PHE",-5.14615,-5.03048948863767
"6",46825,"5AA",1276.6,15.923,-0.512,-0.512,"ALA",-0.94215,-1.22031363636508
"7",46825,"5AA",1398.2,10.794,-0.526,-0.526,"VAL",-0.95615,-0.485246022729318
"8",46825,"5AA",1534.3,19.739,15.263,15.263,"NOR",14.83285,14.8107460227253
"9",46825,"5AA",2065.8,9.622,-3.141,-3.141,"GLU",-3.57115,-3.00315397727386
"10",46825,"5AA",2183.2,9.896,-4.745,-4.745,"PHE",-5.17515,-4.98523693181921
"11",46826,"5AA",1277,15.653,-0.875,-0.875,"ALA",-1.30515,-1.50037500000117
"12",46826,"5AA",1398.8,10.578,-0.839,-0.839,"VAL",-1.26915,-0.69223437500189
"13",46826,"5AA",1534.9,19.773,14.912,14.912,"NOR",14.48185,14.5714843749977
"14",46826,"5AA",2066.4,9.905,-3.441,-3.441,"GLU",-3.87115,-3.2317656250008
"15",46826,"5AA",2183.6,9.734,-4.811,-4.811,"PHE",-5.24115,-4.9769843750012
"16",46827,"68_W_3",1281.4,25.861,23.344,23.344,"ALA",22.91385,22.8015636363623
"17",46827,"68_W_3",1402.6,10.08,23.301,23.301,"VAL",22.87085,23.5537772727255
"18",46827,"68_W_3",1527,4.631,13.892,13.892,"NOR",13.46185,13.6632227272709
"19",46827,"68_W_3",2071.6,14.279,22.482,22.482,"GLU",22.05185,22.7626227272718
"20",46827,"68_W_3",2177.4,4.083,3.369,3.369,"PHE",2.93885,3.27726818181727
"21",46828,"68_W_3",1281.4,24.398,22.676,22.676,"ALA",22.24585,22.2165022727262
"22",46828,"68_W_3",1402.8,10.358,22.909,22.909,"VAL",22.47885,23.267788920453
"23",46828,"68_W_3",1527.4,6.381,12.566,12.566,"NOR",12.13585,12.4489610795433
"24",46828,"68_W_3",2072,13.863,22.054,22.054,"GLU",21.62385,22.4060110795444
"25",46828,"68_W_3",2178,3.836,3.589,3.589,"PHE",3.15885,3.57152073863528
"26",46829,"68_W_3",1281.4,22.781,22.525,22.525,"ALA",22.09485,22.1484409090901
"27",46829,"68_W_3",1402.6,10.289,20.847,20.847,"VAL",20.41685,21.3118005681804
"28",46829,"68_W_3",1527.4,4.952,11.296,11.296,"NOR",10.86585,11.2906994318166
"29",46829,"68_W_3",2072.4,13.2,22.101,22.101,"GLU",21.67085,22.5243994318175
"30",46829,"68_W_3",2178.6,3.628,3.984,3.984,"PHE",3.55385,4.04077329545374
"31",46830,"68_K_2",1275.9,11.925,23.102,23.102,"ALA",22.67185,22.8083795454535
"32",46830,"68_K_2",1398.8,6.98,20.141,20.141,"VAL",19.71085,20.7118122159078
"33",46830,"68_K_2",1527.6,8.272,15.148,15.148,"NOR",14.71785,15.254437784089
"34",46830,"68_K_2",2070.6,12.442,22.613,22.613,"GLU",22.18285,23.1077877840901
"35",46830,"68_K_2",2178.2,3.956,1.827,1.827,"PHE",1.39685,1.95802585227175
"36",46831,"68_K_2",1275.5,11.478,23.119,23.119,"ALA",22.68885,22.9083181818174
