"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","d15N.correct","adj"
"1",46479,"5AA",1280.3,30.135,-0.834,-0.834,"ALA",-1.26415,-1.64215568181818
"2",46479,"5AA",1400.9,18.989,-0.785,-0.785,"VAL",-1.21515,-0.74560511363659
"3",46479,"5AA",1538.9,33.693,14.59,14.59,"NOR",14.15985,14.3071125000002
"4",46479,"5AA",2075.6,18.161,-3.489,-3.489,"GLU",-3.91915,-3.36503494318222
"5",46479,"5AA",2189.9,17.096,-4.925,-4.925,"PHE",-5.35515,-5.16935539772771
"6",46480,"5AA",1280.3,29.335,-0.876,-0.876,"ALA",-1.30615,-1.68873409090911
"7",46480,"5AA",1400.9,18.342,-0.728,-0.728,"VAL",-1.15815,-0.712630681818332
"8",46480,"5AA",1539.1,33.465,14.629,14.629,"NOR",14.19885,14.3752750000002
"9",46480,"5AA",2076,18.164,-3.011,-3.011,"GLU",-3.44115,-2.93750965909155
"10",46480,"5AA",2190.1,16.786,-4.721,-4.721,"PHE",-5.15115,-5.03723238636435
"11",46481,"5AA",1281,28.194,-1.107,-1.107,"ALA",-1.53715,-1.9243125
"12",46481,"5AA",1401.3,17.439,-0.626,-0.626,"VAL",-1.05615,-0.634656250000073
"13",46481,"5AA",1539.7,31.771,14.406,14.406,"NOR",13.97585,14.1814375000002
"14",46481,"5AA",2076.6,17.765,-3.224,-3.224,"GLU",-3.65415,-3.20098437500043
"15",46481,"5AA",2190.5,16.214,-4.607,-4.607,"PHE",-5.03715,-4.99510937500052
"16",46482,"92_E_2",1280.3,21.442,24.407,24.407,"ALA",23.97685,23.5851090909091
"17",46482,"92_E_2",1401.8,8.568,21.481,21.481,"VAL",21.05085,21.448318181818
"18",46482,"92_E_2",1526.5,6.106,14.073,14.073,"NOR",13.64285,13.8776000000002
"19",46482,"92_E_2",2072,14.111,23.854,23.854,"GLU",23.42385,23.8265409090902
"20",46482,"92_E_2",2175.5,3.337,5.542,5.542,"PHE",5.11185,5.0820136363633
"21",46483,"92_E_2",1280.5,19.722,23.89,23.89,"ALA",23.45985,23.0635306818182
"22",46483,"92_E_2",1402.2,8.714,21.238,21.238,"VAL",20.80785,21.1812926136362
"23",46483,"92_E_2",1527.2,7.669,14.389,14.389,"NOR",13.95885,14.2227625000002
"24",46483,"92_E_2",2072,13.223,23.595,23.595,"GLU",23.16485,23.5170661931814
"25",46483,"92_E_2",2175.9,3.074,4.115,4.115,"PHE",3.68485,3.58313664772667
"26",46484,"92_E_2",1281.4,18.692,24.274,24.274,"ALA",23.84385,23.4429522727273
"27",46484,"92_E_2",1403.2,10.376,18.679,18.679,"VAL",18.24885,18.5982670454545
"28",46484,"92_E_2",1528,5.178,14.406,14.406,"NOR",13.97585,14.2689250000001
"29",46484,"92_E_2",2073.3,13.117,23.412,23.412,"GLU",22.98185,23.283591477272
"30",46484,"92_E_2",2176.7,2.764,3.062,3.062,"PHE",2.63185,2.45825965909049
"31",46485,"89_W_3",1278.2,16.631,23.482,23.482,"ALA",23.05185,22.6463738636364
"32",46485,"89_W_3",1399.3,10.044,16.4,16.4,"VAL",15.96985,16.2952414772727
"33",46485,"89_W_3",1525.3,7.603,13.592,13.592,"NOR",13.16185,13.4840875000001
"34",46485,"89_W_3",2066.6,9.923,23.857,23.857,"GLU",23.42685,23.6781167613632
"35",46485,"89_W_3",2172.8,1.927,3.811,3.811,"PHE",3.38085,3.13538267045386
"36",46486,"89_W_3",1279.5,15.208,24.158,24.158,"ALA",23.72785,23.3177954545455
"37",46486,"89_W_3",1400.5,10.415,15.624,15.624,"VAL",15.19385,15.4952159090908
"38",46486,"89_W_3",1526.5,7.449,14.173,14.173,"NOR",13.74285,14.0942500000001
"39",46486,"89_W_3",2067.4,9.586,24.539,24.539,"GLU",24.10885,24.3096420454538
"40",46486,"89_W_3",2174,1.804,4.36,4.36,"PHE",3.92985,3.61250568181768
"41",46487,"89_W_3",1279.7,14.714,24.293,24.293,"ALA",23.86285,23.4482170454545
"42",46487,"89_W_3",1400.9,10.278,15.536,15.536,"VAL",15.10585,15.383190340909
"43",46487,"89_W_3",1527,4.391,16.609,16.609,"NOR",16.17885,16.5594125000001
"44",46487,"89_W_3",2068.1,9.369,24.321,24.321,"GLU",23.89085,24.0411673295449
"45",46487,"89_W_3",2174.2,1.77,6.04,6.04,"PHE",5.60985,5.22062869318151
"46",46488,"5AA",1281.2,23.422,-0.419,-0.419,"ALA",-0.84915,-1.26836136363637
"47",46488,"5AA",1401.8,13.636,-0.497,-0.497,"VAL",-0.92715,-0.673835227272719
"48",46488,"5AA",1539.9,25.731,15.234,15.234,"NOR",14.80385,15.2135750000001
"49",46488,"5AA",2077.5,14.616,-2.312,-2.312,"GLU",-2.74215,-2.64230738636393
"50",46488,"5AA",2191.2,13.052,-3.852,-3.852,"PHE",-4.28215,-4.74324829545512
"51",46489,"93_K_2",1288.7,27.271,23.851,23.851,"ALA",23.42085,22.9970602272727
"52",46489,"93_K_2",1409.5,15.176,16.49,16.49,"VAL",16.05985,16.2891392045453
"53",46489,"93_K_2",1531.1,6.004,15.894,15.894,"NOR",15.46385,15.9027375000001
"54",46489,"93_K_2",2084.4,18.492,23.588,23.588,"GLU",23.15785,23.2072178977267
"55",46489,"93_K_2",2181.8,4.028,6.879,6.879,"PHE",6.44885,5.9158747159087
"56",46490,"93_K_2",1289.5,28.063,24.593,24.593,"ALA",24.16285,23.7344818181818
"57",46490,"93_K_2",1410.3,14.184,15.739,15.739,"VAL",15.30885,15.5141136363636
"58",46490,"93_K_2",1532.4,9.766,13.6,13.6,"NOR",13.16985,13.6379
"59",46490,"93_K_2",2086.4,18.131,23.257,23.257,"GLU",22.82685,22.8257431818179
"60",46490,"93_K_2",2183.6,3.965,7.622,7.622,"PHE",7.19185,6.58699772727252
"61",46491,"93_K_2",1293.7,27.734,24.114,24.114,"ALA",23.68385,23.2509034090909
"62",46491,"93_K_2",1414.7,15.288,16.669,16.669,"VAL",16.23885,16.4200880681818
"63",46491,"93_K_2",1536.8,9.753,13.948,13.948,"NOR",13.51785,14.0150625
"64",46491,"93_K_2",2092.5,18.156,23.249,23.249,"GLU",22.81885,22.7672684659085
"65",46491,"93_K_2",2188.4,4.019,7.956,7.956,"PHE",7.52585,6.84912073863589
"66",46492,"84_W_2",1287.4,9.364,23.431,23.431,"ALA",23.00085,22.563325
"67",46492,"84_W_2",1409.5,5.655,15.206,15.206,"VAL",14.77585,14.9330624999999
"68",46492,"84_W_2",1539.9,6.91,13.827,13.827,"NOR",13.39685,13.923225
"69",46492,"84_W_2",2083.9,6.825,23.146,23.146,"GLU",22.71585,22.6137937499997
"70",46492,"84_W_2",2190.1,1.795,8.424,8.424,"PHE",7.99385,7.24524374999971
"71",46493,"84_W_2",1296.8,8.606,23.678,23.678,"ALA",23.24785,22.8057465909091
"72",46493,"84_W_2",1419.1,5.284,15.489,15.489,"VAL",15.05885,15.1920369318181
"73",46493,"84_W_2",1549.5,6.293,13.978,13.978,"NOR",13.54785,14.1033875
"74",46493,"84_W_2",2097.3,6.465,22.928,22.928,"GLU",22.49785,22.3453190340903
"75",46493,"84_W_2",2201.2,1.664,8.817,8.817,"PHE",8.38685,7.56636676136354
"76",46494,"84_W_2",1304.2,8.519,23.258,23.258,"ALA",22.82785,22.3811681818182
"77",46494,"84_W_2",1426.6,5.103,15.526,15.526,"VAL",15.09585,15.2050113636364
"78",46494,"84_W_2",1557.1,5.77,14.106,14.106,"NOR",13.67585,14.26055
"79",46494,"84_W_2",2108.4,6.266,22.318,22.318,"GLU",21.88785,21.6848443181814
"80",46494,"84_W_2",2210.2,1.552,6.498,6.498,"PHE",6.06785,5.1754897727269
"81",46495,"5AA",1322.6,21.796,0.151,0.151,"ALA",-0.27915,-0.730410227272727
"82",46495,"5AA",1443.4,13.216,0.067,0.067,"VAL",-0.36315,-0.278014204545365
