"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","d15N.correct","adj"
"1",44910,"5AA",1281,32.909,-0.755,-0.755,"ALA",-1.18515,-1.56778761061948
"2",44910,"5AA",1401.1,20.566,-0.638,-0.638,"VAL",-1.06815,-0.701738938053079
"3",44910,"5AA",1539.5,36.633,14.677,14.677,"NOR",14.24685,14.4474225663717
"4",44910,"5AA",2076.2,19.479,-3.027,-3.027,"GLU",-3.45715,-2.95793362831832
"5",44910,"5AA",2190.5,17.823,-4.618,-4.618,"PHE",-5.04815,-4.99736946902614
"6",44911,"5AA",1281.6,30.932,-0.861,-0.861,"ALA",-1.29115,-1.67031415929205
"7",44911,"5AA",1401.8,19.046,-0.574,-0.574,"VAL",-1.00415,-0.645084070796489
"8",44911,"5AA",1540.1,34.079,14.773,14.773,"NOR",14.34285,14.5333384955753
"9",44911,"5AA",2077,18.623,-3.16,-3.16,"GLU",-3.59015,-3.13250442477861
"10",44911,"5AA",2191.4,17.221,-4.578,-4.578,"PHE",-5.00815,-5.00554203539785
"11",44912,"13_K_3",1270.3,5.593,20.699,20.699,"ALA",20.26885,19.8931592920354
"12",44912,"13_K_3",1393.4,2.996,20.385,20.385,"VAL",19.95485,20.3065707964602
"13",44912,"13_K_3",1522.1,2.571,14.03,14.03,"NOR",13.59985,13.7802544247788
"14",44912,"13_K_3",2056.6,4.821,20.585,20.585,"GLU",20.15485,20.5709247787613
"15",44912,"13_K_3",2171.7,1.771,2.07,2.07,"PHE",1.63985,1.59428539823045
"16",44913,"13_K_3",1269.7,5.298,20.666,20.666,"ALA",20.23585,19.8636327433628
"17",44913,"13_K_3",1392.8,2.893,20.181,20.181,"VAL",19.75085,20.0952256637168
"18",44913,"13_K_3",1521.3,2.403,14.332,14.332,"NOR",13.90185,14.0721703539823
"19",44913,"13_K_3",2055.1,4.458,21.058,21.058,"GLU",20.62785,21.002353982301
"20",44913,"13_K_3",2170.5,1.606,1.682,1.682,"PHE",1.25185,1.15811283185875
"21",44914,"13_K_3",1270.1,5.116,20.549,20.549,"ALA",20.11885,19.7501061946902
"22",44914,"13_K_3",1393.2,2.835,19.225,19.225,"VAL",18.79485,19.1318805309735
"23",44914,"13_K_3",1521.7,2.336,14.337,14.337,"NOR",13.90685,14.0670862831859
"24",44914,"13_K_3",2056.1,4.296,20.977,20.977,"GLU",20.54685,20.879783185841
"25",44914,"13_K_3",2171.7,1.492,1.23,1.23,"PHE",0.79985,0.657940265487041
"26",44925,"5AA",1306.5,25.285,-0.62,-0.62,"ALA",-1.05015,-1.38068584070798
"27",44925,"5AA",1426.8,14.88,-0.362,-0.362,"VAL",-0.79215,-0.535915929203546
"28",44925,"5AA",1564.6,23.565,14.742,14.742,"NOR",14.31185,14.3611615044248
"29",44925,"5AA",2113.8,15.548,-2.475,-2.475,"GLU",-2.90515,-3.0294955752211
"30",44925,"5AA",2220.8,14.098,-3.985,-3.985,"PHE",-4.41515,-5.08695796460171
"31",44926,"5AA",1314,24.952,-1.064,-1.064,"ALA",-1.49415,-1.82121238938054
"32",44926,"5AA",1434.4,14.921,-0.616,-0.616,"VAL",-1.04615,-0.797261061946899
"33",44926,"5AA",1571.5,22.318,14.989,14.989,"NOR",14.55885,14.5980774336283
"34",44926,"5AA",2124.3,14.967,-2.452,-2.452,"GLU",-2.88215,-3.04806637168139
"35",44926,"5AA",2229.6,13.983,-3.776,-3.776,"PHE",-4.20615,-4.92613053097341
