"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","d15N.correct","adj"
"1",46912,"5AA",1277.4,17.843,-1.141,-1.141,"ALA",-1.57115,-1.70726732954506
"2",46912,"5AA",1398,11.721,-0.325,-0.325,"VAL",-0.75515,-0.383814488636032
"3",46912,"5AA",1534.7,22.979,15.013,15.013,"NOR",14.58285,14.3328417613658
"4",46912,"5AA",2067.6,11.96,-2.896,-2.896,"GLU",-3.32615,-2.83514375000031
"5",46912,"5AA",2183.8,11.672,-4.906,-4.906,"PHE",-5.33615,-5.21451534090921
"6",46913,"5AA",1277.4,19.562,-1.095,-1.095,"ALA",-1.52515,-1.64370397727241
"7",46913,"5AA",1398.2,11.753,-0.634,-0.634,"VAL",-1.06415,-0.659586931817785
"8",46913,"5AA",1534.9,22.425,15.355,15.355,"NOR",14.92485,14.7513505681836
"9",46913,"5AA",2067.8,12.261,-2.931,-2.931,"GLU",-3.36115,-2.87746250000034
"10",46913,"5AA",2184.1,11.825,-4.139,-4.139,"PHE",-4.56915,-4.46649204545469
"11",46914,"5AA",1277.4,19.418,-0.916,-0.916,"ALA",-1.34615,-1.44714062499965
"12",46914,"5AA",1398.2,12.178,-0.74,-0.74,"VAL",-1.17015,-0.732359374999538
"13",46914,"5AA",1534.9,22.898,14.931,14.931,"NOR",14.50085,14.4038593750019
"14",46914,"5AA",2067.6,12.672,-2.936,-2.936,"GLU",-3.36615,-2.88978125000031
"15",46914,"5AA",2183.8,11.76,-4.462,-4.462,"PHE",-4.89215,-4.80846875000017
"16",46915,"16_E_2",1269,3.599,23.395,23.395,"ALA",22.96485,22.881422727273
"17",46915,"16_E_2",1393.4,3.782,24.901,24.901,"VAL",24.47085,24.9418681818185
"18",46915,"16_E_2",1523.2,3.345,12.057,12.057,"NOR",11.62685,11.6063681818202
"19",46915,"16_E_2",2048.8,2.676,22.413,22.413,"GLU",21.98285,22.4518999999997
"20",46915,"16_E_2",2170.7,2.213,3.677,3.677,"PHE",3.24685,3.31155454545435
"21",46916,"16_E_2",1268.8,3.524,22.524,22.524,"ALA",22.09385,22.0279860795458
"22",46916,"16_E_2",1393.2,3.642,24.343,24.343,"VAL",23.91285,24.4170957386367
"23",46916,"16_E_2",1523.2,3.222,11.341,11.341,"NOR",10.91085,10.9668769886381
