"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","adj"
"11",44912,"13_K_3",1270.3,5.593,20.699,20.699,"ALA",20.2931592920354
"12",44912,"13_K_3",1393.4,2.996,20.385,20.385,"VAL",21.3375707964602
"13",44912,"13_K_3",1522.1,2.571,14.03,14.03,"NOR",13.4582544247788
"14",44912,"13_K_3",2056.6,4.821,20.585,20.585,"GLU",20.276924778761
"15",44912,"13_K_3",2171.7,1.771,2.07,2.07,"PHE",1.59428539822986
"16",44913,"13_K_3",1269.7,5.298,20.666,20.666,"ALA",20.2636327433628
"17",44913,"13_K_3",1392.8,2.893,20.181,20.181,"VAL",21.1262256637168
"18",44913,"13_K_3",1521.3,2.403,14.332,14.332,"NOR",13.7501703539823
"19",44913,"13_K_3",2055.1,4.458,21.058,21.058,"GLU",20.7083539823009
"20",44913,"13_K_3",2170.5,1.606,1.682,1.682,"PHE",1.15811283185861
"21",44914,"13_K_3",1270.1,5.116,20.549,20.549,"ALA",20.1501061946902
"22",44914,"13_K_3",1393.2,2.835,19.225,19.225,"VAL",20.1628805309735
"23",44914,"13_K_3",1521.7,2.336,14.337,14.337,"NOR",13.7450862831859
"24",44914,"13_K_3",2056.1,4.296,20.977,20.977,"GLU",20.5857831858406
"25",44914,"13_K_3",2171.7,1.492,1.23,1.23,"PHE",0.657940265486901
