"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","d15N.correct","adj"
"16",46827,"68_W_3",1281.4,25.861,23.344,23.344,"ALA",22.91385,23.2015636363623
"17",46827,"68_W_3",1402.6,10.08,23.301,23.301,"VAL",22.87085,24.5847772727255
"18",46827,"68_W_3",1527,4.631,13.892,13.892,"NOR",13.46185,13.3412227272709
"19",46827,"68_W_3",2071.6,14.279,22.482,22.482,"GLU",22.05185,22.4686227272718
"20",46827,"68_W_3",2177.4,4.083,3.369,3.369,"PHE",2.93885,3.27726818181727
"21",46828,"68_W_3",1281.4,24.398,22.676,22.676,"ALA",22.24585,22.6165022727262
"22",46828,"68_W_3",1402.8,10.358,22.909,22.909,"VAL",22.47885,24.298788920453
"23",46828,"68_W_3",1527.4,6.381,12.566,12.566,"NOR",12.13585,12.1269610795433
"24",46828,"68_W_3",2072,13.863,22.054,22.054,"GLU",21.62385,22.1120110795444
"25",46828,"68_W_3",2178,3.836,3.589,3.589,"PHE",3.15885,3.57152073863528
"26",46829,"68_W_3",1281.4,22.781,22.525,22.525,"ALA",22.09485,22.5484409090901
"27",46829,"68_W_3",1402.6,10.289,20.847,20.847,"VAL",20.41685,22.3428005681804
"28",46829,"68_W_3",1527.4,4.952,11.296,11.296,"NOR",10.86585,10.9686994318166
"29",46829,"68_W_3",2072.4,13.2,22.101,22.101,"GLU",21.67085,22.2303994318175
"30",46829,"68_W_3",2178.6,3.628,3.984,3.984,"PHE",3.55385,4.04077329545374
"31",46830,"68_K_2",1275.9,11.925,23.102,23.102,"ALA",22.67185,23.2083795454535
"32",46830,"68_K_2",1398.8,6.98,20.141,20.141,"VAL",19.71085,21.7428122159078
"33",46830,"68_K_2",1527.6,8.272,15.148,15.148,"NOR",14.71785,14.932437784089
"34",46830,"68_K_2",2070.6,12.442,22.613,22.613,"GLU",22.18285,22.8137877840901
"35",46830,"68_K_2",2178.2,3.956,1.827,1.827,"PHE",1.39685,1.95802585227175
"36",46831,"68_K_2",1275.5,11.478,23.119,23.119,"ALA",22.68885,23.3083181818174
"37",46831,"68_K_2",1398.4,7.182,19.638,19.638,"VAL",19.20785,21.3458238636352
"38",46831,"68_K_2",1527.2,5.745,13.554,13.554,"NOR",13.12385,13.4501761363622
"39",46831,"68_K_2",2070.1,11.911,22.523,22.523,"GLU",22.09285,22.7951761363627
"40",46831,"68_K_2",2177.8,3.671,1.686,1.686,"PHE",1.25585,1.89127840908976
"41",46832,"68_K_2",1275.7,10.6,23.101,23.101,"ALA",22.67085,23.3732568181809
"42",46832,"68_K_2",1398.6,7.339,18.37,18.37,"VAL",17.93985,20.1838355113627
"43",46832,"68_K_2",1527.6,5.934,15.157,15.157,"NOR",14.72685,15.1649144886346
"44",46832,"68_K_2",2070.4,10.906,22.666,22.666,"GLU",22.23585,23.0095644886357
"45",46832,"68_K_2",2178.4,3.263,1.439,1.439,"PHE",1.00885,1.71853096590823
"51",46834,"67_E_2",1272.8,4.893,21.861,21.861,"ALA",21.43085,22.2991340909083
"52",46834,"67_E_2",1395.9,4.112,13.166,13.166,"VAL",12.73585,15.1918588068166
"53",46834,"67_E_2",1525.9,3.758,16.233,16.233,"NOR",15.80285,16.4643911931802
"54",46834,"67_E_2",2069.3,9.121,22.395,22.395,"GLU",21.96485,22.881341193181
"55",46834,"67_E_2",2178.8,2.994,2.528,2.528,"PHE",2.09785,2.9560360795447
"56",46835,"67_E_2",1274.1,4.482,21.43,21.43,"ALA",20.99985,21.9510727272722
"57",46835,"67_E_2",1397.4,3.857,13.129,13.129,"VAL",12.69885,15.2608704545441
"58",46835,"67_E_2",1527.2,3.357,16.615,16.615,"NOR",16.18485,16.9581295454526
"59",46835,"67_E_2",2070.1,8.308,22.604,22.604,"GLU",22.17385,23.161729545454
"60",46835,"67_E_2",2180.3,2.655,1.008,1.008,"PHE",0.57785,1.51028863636271
"61",46836,"67_E_2",1275.1,4.258,21.288,21.288,"ALA",20.85785,21.8920113636356
"62",46836,"67_E_2",1398.4,5.351,15.261,15.261,"VAL",14.83085,17.4988821022715
"63",46836,"67_E_2",1528.2,3.211,16.666,16.666,"NOR",16.23585,17.1208678977259
"64",46836,"67_E_2",2071.4,8.278,22.476,22.476,"GLU",22.04585,23.1051178977266
"65",46836,"67_E_2",2181.3,2.57,0.764,0.764,"PHE",0.33385,1.34054119318117
"66",46837,"67_E_3",1277.8,5.462,21.768,21.768,"ALA",21.33785,22.4549499999995
"67",46837,"67_E_3",1401.1,6.017,10.846,10.846,"VAL",10.41585,13.1898937499989
"68",46837,"67_E_3",1529.9,3.376,17.228,17.228,"NOR",16.79785,17.7946062499983
"69",46837,"67_E_3",2081.4,13.009,22.731,22.731,"GLU",22.30085,23.4315062499992
"70",46837,"67_E_3",2184.7,3.044,3.612,3.612,"PHE",3.18185,4.26279374999918
"71",46838,"67_E_3",1281,5.172,21.976,21.976,"ALA",21.54585,22.745888636363
"72",46838,"67_E_3",1404.3,5.633,11.201,11.201,"VAL",10.77085,13.6509053977263
"73",46838,"67_E_3",1533.2,3.258,17.561,17.561,"NOR",17.13085,18.2393446022715
"74",46838,"67_E_3",2085,12.327,23.481,23.481,"GLU",23.05085,24.2528946022718
"75",46838,"67_E_3",2188,2.854,3.413,3.413,"PHE",2.98285,4.13804630681719
"76",46839,"67_E_3",1281.4,4.99,21.114,21.114,"ALA",20.68385,21.9668272727269
"77",46839,"67_E_3",1404.7,4.789,11.872,11.872,"VAL",11.44185,14.4279170454538
"78",46839,"67_E_3",1533.9,3.189,17.196,17.196,"NOR",16.76585,17.9860829545439
"79",46839,"67_E_3",2086.7,11.511,22.15,22.15,"GLU",21.71985,22.9932829545449
"80",46839,"67_E_3",2189.3,2.782,2.502,2.502,"PHE",2.07185,3.30129886363566
"86",46841,"65_W_2",1313.6,9.624,21.327,21.327,"ALA",20.89685,22.3457045454542
"87",46841,"65_W_2",1436.5,10.881,14.099,14.099,"VAL",13.66885,16.8669403409077
"88",46841,"65_W_2",1562.5,2.403,17.588,17.588,"NOR",17.15785,18.6015596590896
"89",46841,"65_W_2",2127.8,15.001,22.99,22.99,"GLU",22.55985,23.9760596590901
"90",46841,"65_W_2",2221.5,2.982,5.188,5.188,"PHE",4.75785,6.13580397727213
"91",46842,"65_W_2",1369.6,9.945,20.439,20.439,"ALA",20.00885,21.5406431818177
"92",46842,"65_W_2",1492.1,11.825,14.052,14.052,"VAL",13.62185,16.9259519886351
