"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","d15N.correct","adj"
"15",44827,"19_W_2",1269.3,5.929,25.026,25.026,"ALA",24.59585,23.8946546854948
"16",44827,"19_W_2",1391.9,1.908,22.264,22.264,"VAL",21.83385,22.702917897727
"17",44827,"19_W_2",1522.6,3.105,20.088,20.088,"NOR",19.65785,18.8090661931814
"18",44827,"19_W_2",2057.2,6.329,24.418,24.418,"GLU",23.98785,23.4158167613635
"19",44827,"19_W_2",2168.8,1.348,6.367,6.367,"PHE",5.93685,5.20954801136381
"20",44828,"19_W_2",1269.3,5.564,25.643,25.643,"ALA",25.21285,24.4601720154052
"21",44828,"19_W_2",1391.9,1.891,20.167,20.167,"VAL",19.73685,20.5563465909089
"22",44828,"19_W_2",1522.8,2.941,23.121,23.121,"NOR",22.69085,21.784789772727
"23",44828,"19_W_2",2057.4,6.006,24.61,24.61,"GLU",24.17985,23.5386420454541
"24",44828,"19_W_2",2169,1.258,6.865,6.865,"PHE",6.43485,5.61451704545406
"25",44829,"19_W_2",1269.7,5.327,24.991,24.991,"ALA",24.56085,23.7566893453151
"26",44829,"19_W_2",1392.4,1.07,24.651,24.651,"VAL",24.22085,24.9907752840904
"27",44829,"19_W_2",1523.2,2.884,22.779,22.779,"NOR",22.34885,21.3855133522726
"28",44829,"19_W_2",2057.6,5.886,25.049,25.049,"GLU",24.61885,23.9084673295451
"29",44829,"19_W_2",2169.2,1.205,6.833,6.833,"PHE",6.40285,5.48948607954522
"35",44831,"19_K_2",1272.8,9.072,24.189,24.189,"ALA",23.75885,22.8517240051354
"36",44831,"19_K_2",1394.7,3.552,17.198,17.198,"VAL",16.76785,17.4386326704543
"37",44831,"19_K_2",1523.8,4.285,16.074,16.074,"NOR",15.64385,14.5659605113634
"38",44831,"19_K_2",2058.9,6.034,24.362,24.362,"GLU",23.93185,23.0831178977272
"39",44831,"19_K_2",2170.7,1.533,7.205,7.205,"PHE",6.77485,5.67542414772754
"40",44832,"19_K_2",1273.4,8.842,24.29,24.29,"ALA",23.85985,22.9012413350458
"41",44832,"19_K_2",1395.3,3.302,17.948,17.948,"VAL",17.51785,18.1390613636362
"42",44832,"19_K_2",1524.4,4.165,16.457,16.457,"NOR",16.02685,14.891684090909
"43",44832,"19_K_2",2059.3,5.708,25.295,25.295,"GLU",24.86485,23.9469431818182
"44",44832,"19_K_2",2171.3,1.435,6.847,6.847,"PHE",6.41685,5.2243931818178
"45",44833,"19_K_2",1273.9,8.716,24.268,24.268,"ALA",23.83785,22.8277586649557
"46",44833,"19_K_2",1395.9,3.598,16.335,16.335,"VAL",15.90485,16.4764900568182
"47",44833,"19_K_2",1525.1,4.055,16.989,16.989,"NOR",16.55885,15.3664076704546
"48",44833,"19_K_2",2061.2,5.785,25.224,25.224,"GLU",24.79385,23.8067684659093
"49",44833,"19_K_2",2172.1,1.384,6.528,6.528,"PHE",6.09785,4.81236221590896
"50",44834,"19_K_3",1275.9,10.301,24.69,24.69,"ALA",24.25985,23.1982759948661
"51",44834,"19_K_3",1398.2,4.535,17.038,17.038,"VAL",16.60785,17.1299187499997
"52",44834,"19_K_3",1525.9,5.038,13.614,13.614,"NOR",13.18385,11.9341312500002
"53",44834,"19_K_3",2065.1,6.991,25.549,25.549,"GLU",25.11885,24.0625937499999
"54",44834,"19_K_3",2174.2,1.593,6.813,6.813,"PHE",6.38285,5.00433125000012
"55",44835,"19_K_3",1276.6,9.506,24.604,24.604,"ALA",24.17385,23.060793324776
"56",44835,"19_K_3",1398.8,4.504,15.781,15.781,"VAL",15.35085,15.8233474431816
"57",44835,"19_K_3",1526.7,4.822,12.975,12.975,"NOR",12.54485,11.2378548295453
"58",44835,"19_K_3",2066,6.406,25.292,25.292,"GLU",24.86185,23.7364190340909
"59",44835,"19_K_3",2175.3,1.431,6.451,6.451,"PHE",6.02085,4.54930028409128
"60",44836,"19_K_3",1277.6,9.159,24.728,24.728,"ALA",24.29785,23.1333106546859
"61",44836,"19_K_3",1400.1,5.636,15.784,15.784,"VAL",15.35385,15.7767761363636
"62",44836,"19_K_3",1528,3.665,16.749,16.749,"NOR",16.31885,14.9545784090909
"63",44836,"19_K_3",2068.3,6.428,26.243,26.243,"GLU",25.81285,24.6182443181819
"64",44836,"19_K_3",2176.7,1.396,6.013,6.013,"PHE",5.58285,4.01826931818244
"70",44838,"19_E_2",1282,6.947,23.544,23.544,"ALA",23.11385,21.8463453145062
