"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","d15N.correct","adj"
"16",46871,"89_K_2_R",1277.2,16.704,22.643,22.643,"ALA",22.21285,22.3209136363634
"17",46871,"89_K_2_R",1398.8,6.577,21.396,21.396,"VAL",20.96585,22.7462863636364
"18",46871,"89_K_2_R",1525.7,5.52,11.972,11.972,"NOR",11.54185,11.3235545454544
"19",46871,"89_K_2_R",2066.6,13.12,20.154,20.154,"GLU",19.72385,19.9989772727272
"20",46871,"89_K_2_R",2174.4,3.193,4.06,4.06,"PHE",3.62985,3.81544999999993
"21",46871,"89_K_2_R",3132.5,27.311,0.001,0.001,"REF",-0.42915,-0.42915
"22",46871,"89_K_2_R",3177.4,23.062,0,0,"REF",-0.43015,-0.43015
"23",46871,"89_K_2_R",3222.2,27.512,-0.04,-0.04,"REF",-0.47015,-0.47015
"24",46872,"89_K_2_R",47.4,27.442,0.005,0.005,"REF",-0.42515,-0.42515
"25",46872,"89_K_2_R",92.2,27.503,0,0,"REF",-0.43015,-0.43015
"26",46872,"89_K_2_R",136.9,27.523,-0.012,-0.012,"REF",-0.44215,-0.44215
"27",46872,"89_K_2_R",1277,16.487,22.683,22.683,"ALA",22.25285,22.402217897727
"28",46872,"89_K_2_R",1398.8,6.663,21.608,21.608,"VAL",21.17785,22.9714321022727
"29",46872,"89_K_2_R",1525.7,5.448,11.857,11.857,"NOR",11.42685,11.3295778409089
"30",46872,"89_K_2_R",2066.6,12.93,20.043,20.043,"GLU",19.61285,19.8959389204545
"31",46872,"89_K_2_R",2174.4,3.138,3.601,3.601,"PHE",3.17085,3.33944687499995
"32",46873,"89_K_2_R",1277,16.353,22.199,22.199,"ALA",21.76885,21.9595221590906
"33",46873,"89_K_2_R",1398.6,6.782,21.135,21.135,"VAL",20.70485,22.5115778409091
"34",46873,"89_K_2_R",1525.3,5.342,10.981,10.981,"NOR",10.55085,10.5746011363634
"35",46873,"89_K_2_R",2066.4,12.655,19.49,19.49,"GLU",19.05985,19.3509005681818
"36",46873,"89_K_2_R",2174.6,3.07,3.998,3.998,"PHE",3.56785,3.71944374999998
"37",46874,"74_W_2_R",1275.5,14.04,23.995,23.995,"ALA",23.56485,23.7968264204542
"38",46874,"74_W_2_R",1397.4,6.34,22.002,22.002,"VAL",21.57185,23.3917235795454
"39",46874,"74_W_2_R",1524.2,4.728,13.416,13.416,"NOR",12.98585,13.1306244318179
"40",46874,"74_W_2_R",2064.1,10.09,23.555,23.555,"GLU",23.12485,23.4238622159091
"41",46874,"74_W_2_R",2173,2.719,5.829,5.829,"PHE",5.39885,5.53344062499989
"42",46875,"74_W_2_R",1275.5,13.07,24.091,24.091,"ALA",23.66085,23.9341306818179
"43",46875,"74_W_2_R",1397.4,6.092,20.737,20.737,"VAL",20.30685,22.1398693181819
"44",46875,"74_W_2_R",1524.4,4.457,13.917,13.917,"NOR",13.48685,13.7526477272724
"45",46875,"74_W_2_R",2063.7,9.263,24.414,24.414,"GLU",23.98385,24.2908238636363
"46",46875,"74_W_2_R",2173,2.483,4.308,4.308,"PHE",3.87785,3.99543749999992
"47",46876,"74_W_2_R",1275.9,12.753,24.366,24.366,"ALA",23.93585,24.2504349431815
"48",46876,"74_W_2_R",1397.6,6.446,19.6,19.6,"VAL",19.16985,21.0160150568182
"49",46876,"74_W_2_R",1524.7,4.157,14.166,14.166,"NOR",13.73585,14.122671022727
"50",46876,"74_W_2_R",2063.9,9.089,25.178,25.178,"GLU",24.74785,25.0627855113636
"51",46876,"74_W_2_R",2173.4,2.378,4.332,4.332,"PHE",3.90185,4.00243437499994
"57",46878,"01_E_3_R",1283.1,22.837,22.099,22.099,"ALA",21.66885,22.0660434659087
"58",46878,"01_E_3_R",1404.3,13.846,17.128,17.128,"VAL",16.69785,18.5703065340909
"59",46878,"01_E_3_R",1527,7.348,14.048,14.048,"NOR",13.61785,14.246717613636
"60",46878,"01_E_3_R",2073.7,12.486,22.572,22.572,"GLU",22.14185,22.4727088068181
"61",46878,"01_E_3_R",2179,3.53,2.563,2.563,"PHE",2.13285,2.19942812499988
"62",46879,"01_E_3_R",1284.1,20.606,22.558,22.558,"ALA",22.12785,22.5663477272723
"63",46879,"01_E_3_R",1405.3,13.758,16.046,16.046,"VAL",15.61585,17.5014522727273
"64",46879,"01_E_3_R",1528,7.35,14.132,14.132,"NOR",13.70185,14.4517409090905
"65",46879,"01_E_3_R",2074.7,11.338,22.348,22.348,"GLU",21.91785,22.2566704545454
"66",46879,"01_E_3_R",2180.1,3.056,3.915,3.915,"PHE",3.48485,3.53442499999991
"67",46880,"01_E_3_R",1285.1,19.656,22.213,22.213,"ALA",21.78285,22.2626519886362
"68",46880,"01_E_3_R",1406.4,14.27,15.817,15.817,"VAL",15.38685,17.2855980113636
"69",46880,"01_E_3_R",1529,7.5,14.284,14.284,"NOR",13.85385,14.724764204545
"70",46880,"01_E_3_R",2076.4,11.253,22.894,22.894,"GLU",22.46385,22.8106321022727
"71",46880,"01_E_3_R",2181.5,3.025,3.33,3.33,"PHE",2.89985,2.93242187499994
"72",46881,"95_W_3",1280.8,9.675,22.618,22.618,"ALA",22.18785,22.7089562499998
"73",46881,"95_W_3",1402.8,5.889,15.355,15.355,"VAL",14.92485,16.83674375
"74",46881,"95_W_3",1532.6,5.141,15.179,15.179,"NOR",14.74885,15.7407874999995
"75",46881,"95_W_3",2069.7,5.945,21.338,21.338,"GLU",20.90785,21.26259375
"76",46881,"95_W_3",2180.3,1.707,4.1,4.1,"PHE",3.66985,3.68541874999996
"77",46882,"95_W_3",1283.7,9.395,23.113,23.113,"ALA",22.68285,23.2452605113634
"78",46882,"95_W_3",1405.7,8.805,14.903,14.903,"VAL",14.47285,16.3978894886364
"79",46882,"95_W_3",1535.7,3.151,14.096,14.096,"NOR",13.66585,14.778810795454
"80",46882,"95_W_3",2074.5,5.623,21.616,21.616,"GLU",21.18585,21.5485553977272
"81",46882,"95_W_3",2184.1,1.61,5.81,5.81,"PHE",5.37985,5.37841562499987
"82",46883,"95_W_3",1288.1,9.029,23.196,23.196,"ALA",22.76585,23.3695647727271
"83",46883,"95_W_3",1410.1,5.564,15.19,15.19,"VAL",14.75985,16.6980352272727
"84",46883,"95_W_3",1540.1,4.712,15.577,15.577,"NOR",15.14685,16.3808340909085
"85",46883,"95_W_3",2080.8,5.562,21.129,21.129,"GLU",20.69885,21.0695170454545
"86",46883,"95_W_3",2189.1,1.57,4.992,4.992,"PHE",4.56185,4.5434124999999
"92",46885,"95_W_2",1293.5,5.027,22.26,22.26,"ALA",21.82985,22.5161732954543
"93",46885,"95_W_2",1416.4,3.29,16.544,16.544,"VAL",16.11385,18.0783267045454
"94",46885,"95_W_2",1546.6,3.15,18.014,18.014,"NOR",17.58385,19.0598806818175
"95",46885,"95_W_2",2089,3.251,19.011,19.011,"GLU",18.58085,18.9674403409091
"96",46885,"95_W_2",2198.9,1.387,3.841,3.841,"PHE",3.41085,3.35840624999995
"97",46886,"95_W_2",1297.7,4.802,21.381,21.381,"ALA",20.95085,21.6784775568179
"98",46886,"95_W_2",1420.4,3.838,15.254,15.254,"VAL",14.82385,16.8014724431818
"99",46886,"95_W_2",1550.6,1.652,14.179,14.179,"NOR",13.74885,15.345903977272
"100",46886,"95_W_2",2094,3.121,18.333,18.333,"GLU",17.90285,18.2974019886363
"101",46886,"95_W_2",2203.1,1.316,5.134,5.134,"PHE",4.70385,4.63440312499987
"102",46887,"95_W_2",1305.6,4.725,22.469,22.469,"ALA",22.03885,22.8077818181815
"103",46887,"95_W_2",1428.5,2.091,21.134,21.134,"VAL",20.70385,22.6946181818181
"104",46887,"95_W_2",1558.5,2.684,17.456,17.456,"NOR",17.02585,18.7439272727265
"105",46887,"95_W_2",2105.7,3.119,18.197,18.197,"GLU",17.76685,18.1693636363636
