Analysis,Row,Identifier.1,Comment,Amount,unique.ID,Area.44,d.13C.12C.raw,Area.28,d.15N.14N.raw,d.15N.14N.drift,d.13C.12C.drift,d.13C.12C.VPDB,d.15N.14N.air,mass.percent.C,mass.percent.N
47539,9,GLU_3,SAMPLE,0.466,GLU_3_47539,100.751,-18.338,48.314,-2.892,-2.90604,-18.4418,-29.12115424766067,-3.1094885976424593,40.931607993756614,9.547857252128354
47540,10,GLU_4,SAMPLE,0.461,GLU_4_47540,99.347,-18.585,47.846,-2.62,-2.6356,-18.700333333333333,-29.38981502319666,-2.8386222904940075,40.80119212297123,9.559606627582864
47541,11,GLU_5,SAMPLE,0.474,GLU_5_47541,91.89,-18.308,44.013,-2.91,-2.92716,-18.434866666666668,-29.113949317115097,-3.1306418900806174,36.71526823746395,8.566133946503243
47542,12,GLU_6,SAMPLE,0.439,GLU_6_47542,94.068,-18.331,45.272,-2.944,-2.96272,-18.4694,-29.14983541348633,-3.1662579449622874,40.57809846971611,9.508435358421595
47543,13,GLU_7,SAMPLE,0.461,GLU_7_47543,99.87,-18.479,47.944,-2.926,-2.9462800000000002,-18.628933333333332,-29.315618094212894,-3.1497920298257673,41.01514514933786,9.578831078188474
47544,14,GLU_8,SAMPLE,0.451,GLU_8_47544,97.167,-18.352,46.535,-2.966,-2.9878400000000003,-18.513466666666666,-29.195628289357728,-3.19141754278646,40.794288926612204,9.508692877143215
47545,15,GLU_9,SAMPLE,0.451,GLU_9_47545,97.278,-18.663,47.01,-2.744,-2.7674000000000003,-18.836,-29.53079611608365,-2.970630052963191,40.84070454142275,9.603938681735354
47546,16,GLU_10,SAMPLE,0.442,GLU_10_47546,97.737,-14.517,46.023,-2.761,-2.78596,-14.701533333333332,-25.234371331035803,-2.989219309954299,41.86814561278543,9.597553381167065
47547,17,86_W_02_a,SAMPLE,0.779,86_W_02_a_47547,123.887,-6.866,91.51,11.712,11.68548,-7.0620666666666665,-17.295646320664417,11.505032693892767,30.086441102184736,10.726138610517365
47551,21,86_W_02_b,SAMPLE,0.443,86_W_02_b_47551,71.788,-6.755,52.506,11.03,10.99724,-6.9972,-17.22823865315629,10.815707789175082,30.726883988008403,10.899318802205405
47552,22,86_W_02_c,SAMPLE,0.439,86_W_02_c_47552,64.521,-6.089,47.371,12.213,12.17868,-6.342733333333333,-16.548134776560925,11.999010147988377,27.885032348228357,9.940826417869355
47553,23,86_W_02_d,SAMPLE,0.494,86_W_02_d_47553,71.21,-6.405,50.255,12.156,12.12012,-6.670266666666667,-16.88849846666106,11.940357837137123,27.334017884975648,9.36200947319978
47554,24,86_W_02_e,SAMPLE,0.501,86_W_02_e_47554,84.35,-6.331,59.813,12.38,12.34256,-6.6078,-16.823584813572552,12.1631484796534,31.898346878460952,10.956476993036533
47555,25,86_W_02_f,SAMPLE,0.522,86_W_02_f_47555,83.718,-7.109,58.787,12.172,12.133000000000001,-7.397333333333333,-17.644046279450002,11.953258140480091,30.386749382786476,10.337950805574375
47556,26,84_W_02_a,SAMPLE,0.527,84_W_02_a_47556,75.539,-5.924,55.557,12.882,12.84144,-6.223866666666667,-16.424611784611294,12.66281488739715,27.171554239242074,9.685598647033498
47557,27,84_W_02_b,SAMPLE,0.541,84_W_02_b_47557,77.538,-6.779,56.035,12.537,12.49488,-7.0904,-17.325089546451625,12.315708588752837,27.165248862629625,9.514857014810874
47558,28,84_W_02_c,SAMPLE,0.585,84_W_02_c_47558,84.649,-6.472,62.148,11.76,11.71632,-6.794933333333334,-17.018048660124776,11.53592130841894,27.414461653956707,9.744199876011809
47559,29,84_W_02_d,SAMPLE,0.508,84_W_02_d_47559,70.27,-6.463,52.079,11.394,11.34876,-6.797466666666667,-17.020681230901047,11.167781906498053,26.231753226962724,9.428707035404608
47560,30,84_W_02_e,SAMPLE,0.453,84_W_02_e_47560,69.497,-9.294,50.198,11.743,11.696200000000001,-9.64,-19.97456419823049,11.515769592327288,29.094814352363212,10.197964628733256
47565,35,84_W_02_f,SAMPLE,0.678,84_W_02_f_47565,103.352,-6.69,75.794,12.375,12.3204,-7.0936666666666675,-17.328484177189445,12.140953547814878,28.856417104549337,10.227744688884313
47566,36,86_W_03_a,SAMPLE,0.925,86_W_03_a_47566,79.024,-6.272,57.433,11.516,11.45984,-6.687200000000001,-16.906095123955062,11.279037007067679,16.190966200897865,5.701582180790346
47567,37,86_W_03_b,SAMPLE,0.333,86_W_03_b_47567,54.14,-5.578,38.338,12.388,12.33028,-6.004733333333333,-16.196894412464104,12.150849122118334,30.88222484627252,10.652066158602624
47568,38,86_W_03_c,SAMPLE,0.421,86_W_03_c_47568,69.27,-6.374,50.13,11.985,11.92572,-6.812266666666666,-17.036060986488717,11.74565139537681,31.204610615703075,10.958500015764203
47569,39,86_W_03_d,SAMPLE,0.386,86_W_03_d_47569,65.431,-6.807,46.846,12.234,12.17316,-7.2568,-17.498007879545444,11.993481446555677,32.15840857422428,11.182759767678773
47570,40,86_W_03_e,SAMPLE,0.427,86_W_03_e_47570,67.188,-5.996,49.606,11.836,11.7736,-6.457333333333334,-16.667223965097893,11.593291601546671,29.846598558060418,10.693539608667638
47571,41,86_W_03_f,SAMPLE,0.43,86_W_03_f_47571,63.706,-5.708,46.216,11.785,11.72104,-6.180866666666667,-16.379927359593058,11.540648748774439,28.111229537795584,9.905981948323813
47572,42,86_W_03_g,SAMPLE,0.451,86_W_03_g_47572,66.839,-6.433,48.828,11.551,11.48548,-6.9174,-17.14531267370384,11.304717424592035,28.112372116034944,9.968479466469056
47573,43,86_W_03_h,SAMPLE,0.357,86_W_03_h_47573,62.48,-7.319,43.953,11.981,11.91392,-7.814933333333333,-18.0780047884643,11.733832794488064,33.21181481323971,11.35832349451831
