Analysis,Row,Identifier.1,Comment,Amount,unique.ID,Area.44,d.13C.12C.raw,Area.28,d.15N.14N.raw,group,mass.C.mg,mass.N.mg,known.d13C,known.d15N,d.15N.14N.drift,d.13C.12C.drift,d.13C.12C.VPDB,d.15N.14N.air,mass.percent.C,mass.percent.N
47381,3,GA1_QTY_1,QTY,0.344,GA1_QTY_1_47381,75.387,-17.198,36.164,-4.575,GA1,0.14040979199999998,0.032748799999999995,-28.3,-4.6,-4.56663,-17.261300000000002,-29.739179709919412,-4.794983082392815,40.876255754946875,9.557644779992035
47382,4,GA1_QTY_2,QTY,0.43,GA1_QTY_2_47382,95.087,-17.231,45.903,-4.164,GA1,0.17551224,0.04093599999999999,-28.3,-4.6,-4.152839999999999,-17.3154,-29.801523695477393,-4.385299642470339,41.16008559852201,9.650919311780488
47383,5,GA1_QTY_3,QTY,0.581,GA1_QTY_3_47383,128.035,-17.379,61.929,-4.269,GA1,0.23714560799999998,0.0553112,-28.3,-4.6,-4.25505,-17.4845,-29.99639186475384,-4.4864952837243,40.933477145732624,9.584279128500336
47384,6,GA1_STD_01,STANDARD,0.465,GA1_STD_01_47384,103.782,-14.761,49.18,-4.443,GA1,0.18979812000000001,0.044268,-28.3,-4.6,-4.426259999999999,-14.887599999999999,-27.00376531954982,-4.656006150949526,41.5145810907273,9.54831180012748
47385,7,GA2_STD_01,STANDARD,0.469,GA2_STD_01_47385,101.676,-2.538,49.046,-5.35,GA2,0.191430792,0.0446488,-13.7,-5.7,-5.33047,-2.6856999999999998,-12.942488473338992,-5.551242534652132,40.33140449109237,9.441585779463187
47386,8,SAL_STD_01,STANDARD,0.44,SAL_STD_01_47386,108.128,-10.023,59.153,11.708,SALMON,0.20108,0.05205200000000001,-21.3,11.3,11.73032,-10.191799999999999,-21.592399563853018,11.340231727642646,45.697102153049116,12.097144152834575
47396,18,GA1_STD_02,STANDARD,0.458,GA1_STD_02_47396,101.392,-16.867,48.834,-4.225,GA1,0.186940944,0.0436016,-28.3,-4.6,-4.174779999999999,-17.2468,-29.72247013892882,-4.407021904177725,41.18556985164958,9.627375896500718
47397,19,GA2_STD_02,STANDARD,0.442,GA2_STD_02_47397,97.216,-2.429,46.591,-5.859,GA2,0.18041025600000002,0.0420784,-13.7,-5.7,-5.8059899999999995,-2.8299,-13.108662275879876,-6.022043349925423,40.93197969349907,9.526685270659655
47398,20,SAL_STD_02,STANDARD,0.441,SAL_STD_02_47398,108.662,-7.921,58.759,11.602,SALMON,0.201537,0.0521703,-21.3,11.3,11.6578,-8.343,-19.461871643342725,11.268431435071104,45.81705809830009,11.990629914943229
47409,31,GA1_STD_03,STANDARD,0.448,GA1_STD_03_47409,97.556,-17,46.826,-4.355,GA1,0.18285926400000002,0.0426496,-28.3,-4.6,-4.26851,-17.6541,-30.191836226133404,-4.499821703167391,40.52391198610624,9.445527560068387
47410,32,GA2_STD_03,STANDARD,0.454,GA2_STD_03_47410,99.462,-2.341,47.631,-5.553,GA2,0.185308272,0.0432208,-13.7,-5.7,-5.46372,-3.0162000000000004,-13.323351453503777,-5.683170126835775,40.76351564503952,9.47764846408896
47411,33,SAL_STD_03,STANDARD,0.462,SAL_STD_03_47411,113.526,-12.196,62.138,11.651,SALMON,0.21113400000000002,0.054654600000000005,-21.3,11.3,11.74307,-12.8923,-24.704413112824273,11.35285519331125,45.678378350841975,12.093000417989488
47421,43,GA1_STD_04,STANDARD,0.455,GA1_STD_04_47421,100.26,-9.33,48.155,-4.431,GA1,0.18571643999999998,0.043316,-28.3,-4.6,-4.31103,-10.2373,-21.644833045237277,-4.54191972357751,40.9977553721849,9.558758739751076
47422,44,GA2_STD_04,STANDARD,0.476,GA2_STD_04_47422,101.749,-3.713,48.382,-5.583,GA2,0.194287968,0.04531519999999999,-13.7,-5.7,-5.46024,-4.6414,-15.196206265497143,-5.67972466326505,39.766612215476805,9.179261657877998
47423,45,SAL_STD_04,STANDARD,0.443,SAL_STD_04_47423,108.236,-10.13,59.308,11.502,SALMON,0.20245100000000002,0.0524069,-21.3,11.3,11.627550000000001,-11.079500000000001,-22.615371023738888,11.238481643975007,45.43265474029372,12.046193086608241
47424,46,GA2_QTY_1,QTY,0.334,GA2_QTY_1_47424,73.003,-2.497,35.038,-5.461,GA2,0.136328112,0.0317968,-13.7,-5.7,-5.332660000000001,-3.4676,-13.843537684203879,-5.5534108005199165,40.782187435936656,9.545388751666747
47425,47,GA2_QTY_2,QTY,0.474,GA2_QTY_2_47425,104.37,-2.118,50.754,-5.814,GA2,0.193471632,0.04512479999999999,-13.7,-5.7,-5.68287,-3.1097,-13.431099376787914,-5.900145224974953,40.9553764398759,9.660950405926803
47426,48,GA2_QTY_3,QTY,0.684,GA2_QTY_3_47426,150.255,-2.638,72.435,-5.423,GA2,0.279186912,0.0651168,-13.7,-5.7,-5.28908,-3.6508,-14.054654470788412,-5.510263299826759,40.76761322153782,9.500620013585307
