"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","adj"
"1",45187,"5AA",1278.5,31.856,-0.727,-0.727,"ALA",-1.0585247159098
"2",45187,"5AA",1399.3,20.328,-0.954,-0.954,"VAL",0.238444602271858
"3",45187,"5AA",1537,34.505,14.64,14.64,"NOR",13.9605025568186
"4",45187,"5AA",2073.9,19.034,-2.844,-2.844,"GLU",-2.72149176136525
"5",45187,"5AA",2188.2,17.689,-4.737,-4.737,"PHE",-4.96654744318313
"6",45188,"5AA",1280.3,30.07,-0.888,-0.888,"ALA",-1.27584829545553
"7",45188,"5AA",1401.1,19.851,-0.815,-0.815,"VAL",0.316167613635749
"8",45188,"5AA",1538.9,34.303,14.758,14.758,"NOR",14.0909153409095
"9",45188,"5AA",2075.8,18.42,-3.481,-3.481,"GLU",-3.48205056818369
"10",45188,"5AA",2190.1,17.208,-4.751,-4.751,"PHE",-5.09398465909169
"11",45189,"5AA",1280.5,28.372,-0.972,-0.972,"ALA",-1.41617187500081
"12",45189,"5AA",1401.3,18.617,-0.851,-0.851,"VAL",0.218890624999185
"13",45189,"5AA",1539.3,32.123,14.473,14.473,"NOR",13.8183281250004
"14",45189,"5AA",2075.8,17.533,-3.611,-3.611,"GLU",-3.73560937500212
"15",45189,"5AA",2190.1,16.167,-4.674,-4.674,"PHE",-5.13042187500116
"16",45193,"22_E_2_R",1274.7,10.958,23.758,23.758,"ALA",23.0885338068176
"17",45193,"22_E_2_R",1396.5,6.33,15.733,15.733,"VAL",16.5577826704538
"18",45193,"22_E_2_R",1524.4,6.158,13.483,13.483,"NOR",12.8779792613639
"19",45193,"22_E_2_R",2063.9,8.463,23.915,23.915,"GLU",23.2961553977259
"20",45193,"22_E_2_R",2171.7,1.597,2.795,2.795,"PHE",1.88482926136277
"21",45194,"22_E_2_R",1274.3,10.174,23.742,23.742,"ALA",23.0162102272719
"22",45194,"22_E_2_R",1396.1,7.999,14.045,14.045,"VAL",14.8085056818177
"23",45194,"22_E_2_R",1524,3.347,15.271,15.271,"NOR",14.6783920454548
"24",45194,"22_E_2_R",2063.2,7.852,23.554,23.554,"GLU",22.8115965909075
"25",45194,"22_E_2_R",2171.3,1.482,3.254,3.254,"PHE",2.2303920454533
"26",45195,"22_E_2_R",1274.7,9.486,24.088,24.088,"ALA",23.3058866477266
"27",45195,"22_E_2_R",1396.7,5.583,11.26,11.26,"VAL",11.9622286931812
"28",45195,"22_E_2_R",1524.7,3.244,16.219,16.219,"NOR",15.6388048295457
"29",45195,"22_E_2_R",2063.9,7.563,24.516,24.516,"GLU",23.6500377840891
"30",45195,"22_E_2_R",2171.9,1.396,4.205,4.205,"PHE",3.06795482954474
"31",45196,"5AA",1281.2,24.043,-0.318,-0.318,"ALA",-1.15643693181867
"32",45196,"5AA",1401.8,15.574,0.185,0.185,"VAL",0.825951704545056
"33",45196,"5AA",1539.7,28.122,15.598,15.598,"NOR",15.0302176136367
"34",45196,"5AA",2077,15.498,-2.441,-2.441,"GLU",-3.43052102272845
"35",45196,"5AA",2190.9,14.028,-3.509,-3.509,"PHE",-4.75948238636473
"36",45200,"92_W_2",1275.7,13.91,25.007,25.007,"ALA",23.9432687499998
"37",45200,"92_W_2",1397.4,8.102,16.673,16.673,"VAL",17.0688437499997
"38",45200,"92_W_2",1524.2,7.107,15.437,15.437,"NOR",14.9188687500002
"39",45200,"92_W_2",2062,7.415,22.479,22.479,"GLU",20.9952437499987
"40",45200,"92_W_2",2172.3,1.908,7.478,7.478,"PHE",5.7737687499992
"41",45201,"92_W_2",1275.5,12.8,24.724,24.724,"ALA",23.603945170454
"42",45201,"92_W_2",1397,7.636,16.733,16.733,"VAL",17.0675667613631
"43",45201,"92_W_2",1524,3.968,16.595,16.595,"NOR",16.0892815340911
"44",45201,"92_W_2",2061.8,6.856,23.054,23.054,"GLU",21.4466849431812
"45",45201,"92_W_2",2172.1,1.716,9.733,9.733,"PHE",7.91533153409064
"46",45202,"92_W_2",1275.3,12.299,24.557,24.557,"ALA",23.3806215909087
"47",45202,"92_W_2",1396.7,7.527,16.177,16.177,"VAL",16.450289772727
"48",45202,"92_W_2",1523.8,2.583,11.02,11.02,"NOR",10.526694318182
"49",45202,"92_W_2",2061.6,6.283,23.173,23.173,"GLU",21.4421261363627
"50",45202,"92_W_2",2172.1,1.633,8.696,8.696,"PHE",6.76489431818117
"51",45203,"5AA",1281.2,21.941,0.329,0.329,"ALA",-0.903701988636527
"52",45203,"5AA",1401.8,13.937,0.375,0.375,"VAL",0.587012784090472
"53",45203,"5AA",1539.9,26.024,15.304,15.304,"NOR",14.8231071022729
"54",45203,"5AA",2077.9,14.261,-1.819,-1.819,"GLU",-3.67343267045569
"55",45203,"5AA",2191.8,12.761,-2.934,-2.934,"PHE",-4.97854289772739
"56",45207,"5AA",1297.5,20.033,0.127,0.127,"ALA",-1.33099630681855
"57",45207,"5AA",1418.3,15.473,-0.145,-0.145,"VAL",-0.178095170454875
"58",45207,"5AA",1556.4,25.479,13.13,13.13,"NOR",12.6987582386365
"59",45207,"5AA",2102.3,13.466,-0.557,-0.557,"GLU",-2.90566789772762
"60",45207,"5AA",2211.4,12.59,-2.152,-2.152,"PHE",-4.65029176136346
"61",45208,"5AA",1302.7,20.594,0.186,0.186,"ALA",-1.32831988636383
"62",45208,"5AA",1423.3,12.676,0.613,0.613,"VAL",0.518627840908561
"63",45208,"5AA",1561,21.885,15.138,15.138,"NOR",14.7191710227274
"64",45208,"5AA",2108.8,13.392,-0.931,-0.931,"GLU",-3.40322670454606
"65",45208,"5AA",2216.9,12.152,-2.837,-2.837,"PHE",-5.44872897727293
