"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","d15N.correct","adj"
"57",47266,"92_W_3",1552.7,6.286,13.676,13.676,"VAL",13.24585,16.5713792613632
"58",47266,"92_W_3",1695.2,5.538,11.916,11.916,"NOR",11.48585,12.408316761363
"59",47266,"92_W_3",2291.5,20.398,21.888,21.888,"GLU",21.45785,22.8034332386365
"60",47266,"92_W_3",2384.7,6.949,6.131,6.131,"PHE",5.70085,6.81319602272716
"61",47267,"77_E_2",1431,21.124,21.262,21.262,"ALA",20.83185,22.2647624999995
"62",47267,"77_E_2",1567.5,14.97,14.69,14.69,"VAL",14.25985,17.7297562499996
"63",47267,"77_E_2",1660.1,6.202,19.024,19.024,"NOR",18.59385,19.6519312499997
"64",47268,"77_E_2",1409.3,19.168,21.144,21.144,"ALA",20.71385,22.2910051136359
"65",47268,"77_E_2",1547.4,16.936,13.545,13.545,"VAL",13.11485,16.729133238636
"66",47268,"77_E_2",1683.7,9.177,14.244,14.244,"NOR",13.81385,15.0075457386365
"67",47268,"77_E_2",2285,32.664,19.641,19.641,"GLU",19.21085,20.8723042613636
"68",47268,"77_E_2",2377,10.33,9.847,9.847,"PHE",9.41685,10.748578977273
"69",47269,"77_E_2",1409.7,17.977,20.79,20.79,"ALA",20.35985,22.0812477272723
"70",47269,"77_E_2",1547.9,15.476,13.243,13.243,"VAL",12.81285,16.5715102272724
"71",47269,"77_E_2",1684.1,9.096,14.5,14.5,"NOR",14.06985,15.3991602272723
"72",47269,"77_E_2",2285,22.647,22.26,22.26,"GLU",21.82985,23.6492397727272
"73",47269,"77_E_2",2377.4,4.907,4.089,4.089,"PHE",3.65885,5.10027045454546
"74",47270,"5AA",1409.1,16.154,-2.627,-2.627,"ALA",-3.05715,-1.19150965909135
"75",47270,"5AA",1546.6,9.48,-3.852,-3.852,"VAL",-4.28215,-0.379112784091251
"76",47270,"5AA",1694.4,17.853,13.505,13.505,"NOR",13.07485,14.5397747159091
"77",47270,"5AA",2281,15.288,-5.185,-5.185,"GLU",-5.61515,-3.63782471590925
"78",47270,"5AA",2383.4,18.641,-5.33,-5.33,"PHE",-5.76015,-4.20903806818208
"79",47271,"07_K_2",1406.6,9.257,21.24,21.24,"ALA",20.80985,22.819732954545
"80",47271,"07_K_2",1546.8,10.794,9.289,9.289,"VAL",8.85885,12.9062642045451
"81",47271,"07_K_2",1684.3,3.065,16.562,16.562,"NOR",16.13185,17.7323892045449
"82",47271,"07_K_2",2287.5,30.396,20.03,20.03,"GLU",19.59985,21.7351107954543
"83",47271,"07_K_2",2378,14.008,12.237,12.237,"PHE",11.80685,13.4676534090904
"84",47272,"07_K_2",1411.4,8.803,21.505,21.505,"ALA",21.07485,23.2289755681814
"85",47272,"07_K_2",1551.4,10.482,12.912,12.912,"VAL",12.48185,16.6736411931806
"86",47272,"07_K_2",1689.8,7.396,14.947,14.947,"NOR",14.51685,16.2530036931817
"87",47272,"07_K_2",2292.1,23.33,22.163,22.163,"GLU",21.73285,24.0260463068179
"88",47272,"07_K_2",2382.4,7.235,10.7,10.7,"PHE",10.26985,12.0403448863638
"89",47273,"07_K_2",1410.5,8.654,20.808,20.808,"ALA",20.37785,22.6762181818178
"90",47273,"07_K_2",1550.6,12.892,12.871,12.871,"VAL",12.44085,16.777018181817
"91",47273,"07_K_2",1688.5,9.507,15.014,15.014,"NOR",14.58385,16.4556181818175
"92",47273,"07_K_2",2291.1,32.946,19.883,19.883,"GLU",19.45285,21.9039818181815
"93",47273,"07_K_2",2381.3,14.414,13.212,13.212,"PHE",12.78185,14.6620363636362
"94",47274,"5AA",1416.2,14.547,-3.019,-3.019,"ALA",-3.44915,-1.00653920454583
"95",47274,"5AA",1553.1,11.36,-2.586,-2.586,"VAL",-3.01615,1.46439517045342
"96",47274,"5AA",1701.7,18.971,11.178,11.178,"NOR",10.74785,12.7552326704543
"97",47274,"5AA",2287.3,14.09,-4.93,-4.93,"GLU",-5.36015,-2.75108267045495
"98",47274,"5AA",2389.3,12.738,-6.48,-6.48,"PHE",-6.91015,-4.92027215909132
"99",47275,"5AA",1411.2,13.532,-3.789,-3.789,"ALA",-4.21915,-1.63229659090945
"100",47275,"5AA",1548.5,8.144,-4.376,-4.376,"VAL",-4.80615,-0.181227840910185
"101",47275,"5AA",1696.5,16.17,13.277,13.277,"NOR",12.84685,14.9898471590901
"102",47275,"5AA",2282.9,13.12,-5.928,-5.928,"GLU",-6.35815,-3.59114715909137
"103",47275,"5AA",2385.3,12.114,-7.317,-7.317,"PHE",-7.74715,-5.64758068181886
