"","Analysis","ID1","RT","AreaAll","d29N","d15N","AAID","adj"
"1",45910,"5AA",1279.9,26.553,-0.65,-0.65,"ALA",-1.1583897727274
"2",45910,"5AA",1400.7,16.631,-0.839,-0.839,"VAL",0.142684943181686
"3",45910,"5AA",1538.2,29.257,14.661,14.661,"NOR",13.8963414772738
"4",45910,"5AA",2073.7,15.553,-2.899,-2.899,"GLU",-3.0639400568201
"5",45910,"5AA",2188.6,14.939,-4.467,-4.467,"PHE",-4.84006818181978
"6",45911,"5AA",1280.8,26.672,-0.934,-0.934,"ALA",-1.44753863636378
"7",45911,"5AA",1401.6,16.601,-0.708,-0.708,"VAL",0.26120965909079
"8",45911,"5AA",1539.3,30.122,14.626,14.626,"NOR",13.9312488636372
"9",45911,"5AA",2075.4,16.348,-3.238,-3.238,"GLU",-3.4825403409108
"10",45911,"5AA",2189.9,14.864,-4.944,-4.944,"PHE",-5.39040909091059
"11",45912,"5AA",1280.3,24.058,-1.167,-1.167,"ALA",-1.68568750000013
"12",45912,"5AA",1401.1,15.01,-0.791,-0.791,"VAL",0.165734374999893
"13",45912,"5AA",1538.9,27.234,14.417,14.417,"NOR",13.792156250001
"14",45912,"5AA",2074.7,15.024,-3.756,-3.756,"GLU",-4.08014062500196
"15",45912,"5AA",2189.5,13.733,-4.9,-4.9,"PHE",-5.41975000000139
"16",45913,"98_E_2",1279.9,19.19,22.523,22.523,"ALA",21.9991636363635
"17",45913,"98_E_2",1401.8,9.556,21.288,21.288,"VAL",22.232259090909
"18",45913,"98_E_2",1527.4,4.814,12.704,12.704,"NOR",12.1490636363645
"19",45913,"98_E_2",2069.9,10.775,21.416,21.416,"GLU",21.0122590909073
"20",45913,"98_E_2",2177.8,3.185,2.59,2.59,"PHE",1.99690909090781
"21",45914,"98_E_2",1279.7,16.757,22.04,22.04,"ALA",21.5110147727271
"22",45914,"98_E_2",1401.3,10.582,18.954,18.954,"VAL",19.8857838068181
"23",45914,"98_E_2",1527,4.206,12.888,12.888,"NOR",12.4029710227279
"24",45914,"98_E_2",2069.3,9.703,22.068,22.068,"GLU",21.5846588068166
"25",45914,"98_E_2",2177.4,2.691,3.473,3.473,"PHE",2.80656818181701
"26",45915,"98_E_2",1279.3,15.705,22.427,22.427,"ALA",21.8928659090908
"27",45915,"98_E_2",1401.1,11.42,17.595,17.595,"VAL",18.5143085227271
"28",45915,"98_E_2",1526.7,7.497,15.21,15.21,"NOR",14.7948784090917
"29",45915,"98_E_2",2069.3,9.524,21.878,21.878,"GLU",21.3150585227255
"30",45915,"98_E_2",2177.2,2.566,3.093,3.093,"PHE",2.35322727272575
"31",45916,"10_W_2",1277.2,11.076,22.652,22.652,"ALA",22.1127170454544
"32",45916,"10_W_2",1399.5,7.959,16.615,16.615,"VAL",17.5218332386362
"33",45916,"10_W_2",1527.4,3.852,16.528,16.528,"NOR",16.1827857954551
"34",45916,"10_W_2",2059.7,4.154,23.381,23.381,"GLU",22.7384582386348
"35",45916,"10_W_2",2175.1,1.913,4.273,4.273,"PHE",3.45988636363495
"36",45917,"10_W_2",1276.6,11.138,22.858,22.858,"ALA",22.3135681818181
"37",45917,"10_W_2",1398.8,7.781,16.066,16.066,"VAL",16.9603579545453
"38",45917,"10_W_2",1526.5,3.89,17.31,17.31,"NOR",17.034693181819
"39",45917,"10_W_2",2058.9,4.055,24.557,24.557,"GLU",23.8348579545441
"40",45917,"10_W_2",2174.4,1.844,4.82,4.82,"PHE",3.93354545454414
"41",45918,"10_W_2",1277.4,11.008,23.254,23.254,"ALA",22.7044193181817
"42",45918,"10_W_2",1399.5,5.162,16.504,16.504,"VAL",17.3858826704544
"43",45918,"10_W_2",1527.4,3.932,17.627,17.627,"NOR",17.4216005681824
