"","year","mo","data-type","region","extent","area"
"133",2019,3,"Goddard","N",14.57,12.89
"134",2020,3,"Goddard","N",14.73,13.03
"135",2021,3,"Goddard","N",14.66,12.99
"136",2022,3,"Goddard","N",14.59,12.8
"137",2023,3,"NRTSI-G","N",14.44,12.87
"138",2024,3,"NRTSI-G","N",14.87,13.15
"139",1979,4,"Goddard","N",15.45,12.53
"140",1980,4,"Goddard","N",15.43,12.52
"141",1981,4,"Goddard","N",15.01,12.24
"142",1982,4,"Goddard","N",15.47,12.63
"143",1983,4,"Goddard","N",15.17,12.21
"144",1984,4,"Goddard","N",15.01,12.18
"145",1985,4,"Goddard","N",15.36,12.54
"146",1986,4,"Goddard","N",15.06,12.04
"147",1987,4,"Goddard","N",15.21,12.35
"148",1988,4,"Goddard","N",15.12,13.18
"149",1989,4,"Goddard","N",14.33,12.36
"150",1990,4,"Goddard","N",14.65,12.28
"151",1991,4,"Goddard","N",14.86,12.87
"152",1992,4,"Goddard","N",14.68,12.84
"153",1993,4,"Goddard","N",15.08,13.03
"154",1994,4,"Goddard","N",14.89,12.91
"155",1995,4,"Goddard","N",14.45,12.4
"156",1996,4,"Goddard","N",14.22,12.32
"157",1997,4,"Goddard","N",14.56,12.57
"158",1998,4,"Goddard","N",14.89,12.85
"159",1999,4,"Goddard","N",15.08,13.15
"160",2000,4,"Goddard","N",14.56,12.6
"161",2001,4,"Goddard","N",14.86,13.05
"162",2002,4,"Goddard","N",14.3,12.41
"163",2003,4,"Goddard","N",14.51,12.46
"164",2004,4,"Goddard","N",13.99,12.16
"165",2005,4,"Goddard","N",14.09,12.23
"166",2006,4,"Goddard","N",13.91,12.04
"167",2007,4,"Goddard","N",13.85,11.83
"168",2008,4,"Goddard","N",14.35,12.78
"169",2009,4,"Goddard","N",14.5,12.92
"170",2010,4,"Goddard","N",14.66,12.85
"171",2011,4,"Goddard","N",14.11,12.45
"172",2012,4,"Goddard","N",14.63,12.87
"173",2013,4,"Goddard","N",14.3,12.75
"174",2014,4,"Goddard","N",14.09,12.43
