Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
22,46330,10/01/23,STR-CMS-15,B8,SAMPLE,0.457,N2,2,0,214.4,80,25.7,3263,69175,69.175,17.1,2170,45962,0.506,0.6644337,0.0074242,9.215,9.215,0.0037121,9.215,,,,,,,,,,,,,,,,,,,,,,,,
22,46330,10/01/23,STR-CMS-15,B8,SAMPLE,0.457,CO2,3,0,370.3,94.9,,,,,,,,,,,,,,,1.2,5050,121733,121.733,0.6,5314,127647,1.404,3.4,7160,0.519,172834,1.0485819,0.0118343,-12.565,-12.565,1.4197737,0.003976,-10.835,-10.835,0.0110341,-13.067,0.0019835,-10.817
22,46330,10/01/23,STR-CMS-15,B8,SAMPLE,0.457,CO2,4,1,525.6,41.6,,,,,,,,,,,,,,,2.7,5171,95938,95.938,2.2,5489,101879,1.121,5.5,7420,0.413,137702,1.0619252,0.0119849,0,0,1.4353253,0.0040196,0,0,0.0111802,0,0.0020052,0
23,46331,10/01/23,PNE-CMS-08,B9,SAMPLE,0.46,N2,1,1,47.7,27.8,22.3,3303,60723,60.723,15.0,2175,40007,0.44,0.6588555,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
23,46331,10/01/23,PNE-CMS-08,B9,SAMPLE,0.46,N2,2,0,214.6,80,25.7,3019,64258,64.258,17.1,2005,42628,0.469,0.6633801,0.0074069,6.867,6.867,0.0037035,6.867,,,,,,,,,,,,,,,,,,,,,,,,
23,46331,10/01/23,PNE-CMS-08,B9,SAMPLE,0.46,CO2,3,0,371,94.3,,,,,,,,,,,,,,,1.2,4755,114844,114.844,0.6,5012,120628,1.327,3.4,6745,0.489,163130,1.0503577,0.0118538,-10.939,-10.939,1.4204421,0.0039779,-10.355,-10.355,0.0110534,-11.341,0.0019845,-10.341
23,46331,10/01/23,PNE-CMS-08,B9,SAMPLE,0.46,CO2,4,1,525.6,41.2,,,,,,,,,,,,,,,2.6,5192,96449,96.449,2.1,5511,102426,1.127,5.4,7449,0.415,138433,1.0619746,0.0119849,0,0,1.4353052,0.0040196,0,0,0.0111802,0,0.0020052,0
24,46332,10/01/23,PNE-CMS-03,B10,SAMPLE,0.457,N2,1,1,47.7,28,22.3,3302,60838,60.838,14.9,2174,40060,0.441,0.6584623,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
24,46332,10/01/23,PNE-CMS-03,B10,SAMPLE,0.457,N2,2,0,214.4,80,25.9,3398,71631,71.631,17.2,2256,47516,0.523,0.6633435,0.0074109,7.413,7.413,0.0037055,7.413,,,,,,,,,,,,,,,,,,,,,,,,
24,46332,10/01/23,PNE-CMS-03,B10,SAMPLE,0.457,CO2,3,0,370.3,94.9,,,,,,,,,,,,,,,1.2,5097,122391,122.391,0.6,5379,128670,1.415,3.4,7228,0.521,173784,1.0513003,0.0118649,-10.011,-10.011,1.4199049,0.0039763,-10.764,-10.764,0.0110647,-10.331,0.0019836,-10.752
24,46332,10/01/23,PNE-CMS-03,B10,SAMPLE,0.457,CO2,4,1,525.6,41.4,,,,,,,,,,,,,,,2.7,5190,96293,96.293,2.2,5509,102257,1.125,5.5,7448,0.415,138215,1.0619315,0.0119849,0,0,1.4353546,0.0040196,0,0,0.0111802,0,0.0020052,0
25,46333,10/01/23,SHW-CMS-06,B11,SAMPLE,0.441,N2,1,1,47.7,28,22.3,3294,60811,60.811,15.0,2168,40039,0.44,0.6584067,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
25,46333,10/01/23,SHW-CMS-06,B11,SAMPLE,0.441,N2,2,0,214.4,80.7,25.8,3539,74913,74.913,17.1,2351,49715,0.547,0.6636361,0.0074148,7.942,7.942,0.0037074,7.942,,,,,,,,,,,,,,,,,,,,,,,,
25,46333,10/01/23,SHW-CMS-06,B11,SAMPLE,0.441,CO2,3,0,370.3,95.1,,,,,,,,,,,,,,,1.2,5156,124258,124.258,0.6,5421,130168,1.432,3.4,7313,0.529,176447,1.0475639,0.0118229,-13.515,-13.515,1.4200018,0.0039767,-10.674,-10.674,0.0110227,-14.091,0.0019838,-10.654
25,46333,10/01/23,SHW-CMS-06,B11,SAMPLE,0.441,CO2,4,1,525.6,42,,,,,,,,,,,,,,,2.7,5164,95394,95.394,2.2,5482,101301,1.114,5.6,7411,0.411,136922,1.061916,0.0119849,0,0,1.4353219,0.0040196,0,0,0.0111802,0,0.0020052,0
26,46334,10/01/23,PNE-CMS-04,B12,SAMPLE,0.447,N2,1,1,47.9,28,22.3,3300,60566,60.566,15.0,2174,39904,0.439,0.658854,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
26,46334,10/01/23,PNE-CMS-04,B12,SAMPLE,0.447,N2,2,0,214.6,80,25.8,3125,66056,66.056,17.1,2076,43840,0.482,0.6636793,0.0074103,7.324,7.324,0.0037051,7.324,,,,,,,,,,,,,,,,,,,,,,,,
26,46334,10/01/23,PNE-CMS-04,B12,SAMPLE,0.447,CO2,3,0,370.6,94.7,,,,,,,,,,,,,,,1.2,4993,120039,120.039,0.6,5264,126121,1.387,3.5,7081,0.511,170466,1.0506694,0.0118577,-10.612,-10.612,1.4200898,0.003977,-10.581,-10.581,0.0110574,-10.983,0.001984,-10.568
26,46334,10/01/23,PNE-CMS-04,B12,SAMPLE,0.447,CO2,4,1,525.6,41,,,,,,,,,,,,,,,2.7,5186,95833,95.833,2.1,5504,101769,1.119,5.5,7440,0.413,137546,1.061939,0.0119849,0,0,1.4352758,0.0040196,0,0,0.0111802,0,0.0020052,0
27,46335,10/01/23,BVR-CMS-04,C1,SAMPLE,0.45,N2,1,1,47.9,28,22.3,3300,60855,60.855,15.0,2172,40066,0.441,0.6583878,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
27,46335,10/01/23,BVR-CMS-04,C1,SAMPLE,0.45,N2,2,0,214.6,79.6,25.8,3121,66006,66.006,17.1,2068,43694,0.481,0.6619723,0.0073965,5.444,5.444,0.0036982,5.444,,,,,,,,,,,,,,,,,,,,,,,,
27,46335,10/01/23,BVR-CMS-04,C1,SAMPLE,0.45,CO2,3,0,371,94.1,,,,,,,,,,,,,,,1.2,4751,114197,114.197,0.6,4993,119589,1.315,3.4,6740,0.487,162207,1.0472116,0.0118185,-13.881,-13.881,1.4204113,0.0039778,-10.39,-10.39,0.0110182,-14.494,0.0019844,-10.369
27,46335,10/01/23,BVR-CMS-04,C1,SAMPLE,0.45,CO2,4,1,525.8,41.6,,,,,,,,,,,,,,,2.6,5189,96900,96.9,2.1,5508,102903,1.132,5.4,7445,0.417,139083,1.0619526,0.0119849,0,0,1.4353242,0.0040196,0,0,0.0111802,0,0.0020052,0
28,46336,10/01/23,NTH-CMS-01,C2,SAMPLE,0.448,N2,1,1,47.7,28,22.3,3292,60845,60.845,14.9,2167,40061,0.441,0.6583991,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
28,46336,10/01/23,NTH-CMS-01,C2,SAMPLE,0.448,N2,2,0,214.2,78.2,25.7,2560,54033,54.033,17.1,1698,35804,0.394,0.6626373,0.0074038,6.437,6.437,0.0037019,6.437,,,,,,,,,,,,,,,,,,,,,,,,
28,46336,10/01/23,NTH-CMS-01,C2,SAMPLE,0.448,CO2,3,0,370.8,93,,,,,,,,,,,,,,,1.2,4324,103562,103.562,0.6,4548,108610,1.195,3.4,6135,0.441,147144,1.0487446,0.0118359,-12.43,-12.43,1.4208298,0.0039791,-10.072,-10.072,0.0110354,-12.951,0.001985,-10.054
28,46336,10/01/23,NTH-CMS-01,C2,SAMPLE,0.448,CO2,4,1,525.6,41.2,,,,,,,,,,,,,,,2.5,5165,95857,95.857,1.9,5483,101795,1.12,5.2,7411,0.413,137582,1.061945,0.0119849,0,0,1.435286,0.0040196,0,0,0.0111802,0,0.0020052,0
