Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
10,46761,11/09/23,bbh_3m_12,A10,SAMPLE,0.442,N2,2,0,214.6,99.9,32.7,4004,89139,89.139,21.8,2680,59602,0.656,0.6686332,0.0074592,13.977,13.977,0.0037296,13.977,,,,,,,,,,,,,,,,,,,,,,,,
10,46761,11/09/23,bbh_3m_12,A10,SAMPLE,0.442,CO2,3,0,369.5,123.1,,,,,,,,,,,,,,,1.4,5015,129406,129.406,0.9,5240,134784,1.483,3.6,7119,0.552,184056,1.0415547,0.0117444,-20.062,-20.062,1.4223138,0.0039865,-8.222,-8.222,0.0109432,-21.201,0.0019888,-8.184
10,46761,11/09/23,bbh_3m_12,A10,SAMPLE,0.442,CO2,4,1,525.4,42.4,,,,,,,,,,,,,,,4.5,5417,100409,100.409,4.1,5754,106723,1.174,7.9,7765,0.432,143997,1.0628778,0.0119849,0,0,1.4341057,0.0040196,0,0,0.0111802,0,0.0020052,0
11,46762,11/09/23,bbh_3m_13,A11,SAMPLE,0.475,N2,1,1,47.4,26.8,29.7,3430,63176,63.176,20.1,2262,41661,0.458,0.6594432,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
11,46762,11/09/23,bbh_3m_13,A11,SAMPLE,0.475,N2,2,0,214.9,98.9,32.9,3917,86840,86.84,21.9,2614,57919,0.637,0.6669646,0.0074403,11.406,11.406,0.0037202,11.406,,,,,,,,,,,,,,,,,,,,,,,,
11,46762,11/09/23,bbh_3m_13,A11,SAMPLE,0.475,CO2,3,0,369.5,122.7,,,,,,,,,,,,,,,1.5,5272,135668,135.668,0.9,5547,142240,1.565,3.6,7481,0.579,192913,1.04844,0.0118227,-13.533,-13.533,1.4219466,0.0039856,-8.454,-8.454,0.0110215,-14.194,0.0019883,-8.431
11,46762,11/09/23,bbh_3m_13,A11,SAMPLE,0.475,CO2,4,1,525.4,42.4,,,,,,,,,,,,,,,4.9,5403,100067,100.067,4.5,5739,106354,1.17,8.6,7745,0.431,143503,1.0628237,0.0119849,0,0,1.4340698,0.0040196,0,0,0.0111802,0,0.0020052,0
12,46763,11/09/23,bbh_3m_14,A12,SAMPLE,0.452,N2,1,1,47.7,27,30.0,3433,63208,63.208,20.4,2261,41656,0.458,0.6590392,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
12,46763,11/09/23,bbh_3m_14,A12,SAMPLE,0.452,N2,2,0,214.6,96.8,33.1,4070,89206,89.206,22.2,2714,59448,0.654,0.6664103,0.0074387,11.185,11.185,0.0037193,11.185,,,,,,,,,,,,,,,,,,,,,,,,
12,46763,11/09/23,bbh_3m_14,A12,SAMPLE,0.452,CO2,3,0,369.3,120.6,,,,,,,,,,,,,,,1.6,5285,133973,133.973,1.1,5562,140488,1.545,3.9,7497,0.571,190445,1.0486293,0.0118251,-13.326,-13.326,1.4215161,0.0039842,-8.801,-8.801,0.0110241,-13.959,0.0019876,-8.78
12,46763,11/09/23,bbh_3m_14,A12,SAMPLE,0.452,CO2,4,1,525.4,42.4,,,,,,,,,,,,,,,4.8,5409,100284,100.284,4.4,5748,106581,1.172,8.4,7757,0.431,143821,1.0627925,0.0119849,0,0,1.4341387,0.0040196,0,0,0.0111802,0,0.0020052,0
13,46764,11/09/23,bbh_3m_15,B1,SAMPLE,0.47,N2,1,1,47.7,26.8,29.9,3427,63079,63.079,20.3,2260,41596,0.458,0.659431,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
13,46764,11/09/23,bbh_3m_15,B1,SAMPLE,0.47,N2,2,0,214.4,97,33.1,3771,82836,82.836,22.2,2516,55236,0.608,0.6668099,0.0074387,11.19,11.19,0.0037194,11.19,,,,,,,,,,,,,,,,,,,,,,,,
13,46764,11/09/23,bbh_3m_15,B1,SAMPLE,0.47,CO2,3,0,368.5,124.1,,,,,,,,,,,,,,,1.6,5750,146751,146.751,1.1,6045,153707,1.691,3.9,8152,0.626,208517,1.0473968,0.0118116,-14.455,-14.455,1.4208884,0.0039824,-9.236,-9.236,0.0110108,-15.153,0.0019867,-9.212
13,46764,11/09/23,bbh_3m_15,B1,SAMPLE,0.47,CO2,4,1,525.4,42.4,,,,,,,,,,,,,,,5.2,5413,100397,100.397,4.9,5750,106698,1.174,9.1,7760,0.432,143983,1.0627591,0.0119849,0,0,1.4341344,0.0040196,0,0,0.0111802,0,0.0020052,0
14,46765,11/09/23,bbh_3m_16,B2,SAMPLE,0.464,N2,1,1,47.4,26.8,30.1,3430,63191,63.191,20.5,2260,41647,0.458,0.6590694,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
14,46765,11/09/23,bbh_3m_16,B2,SAMPLE,0.464,N2,2,0,214.9,99.9,33.2,3860,85755,85.755,22.3,2575,57157,0.629,0.6665095,0.0074394,11.289,11.289,0.0037197,11.289,,,,,,,,,,,,,,,,,,,,,,,,
