district, date, card, age, position
wood, 19950707, 48, 2, 4
wood, 19950707, 48, 2, 5
wood, 19950707, 48, 2, 7
wood, 19950707, 48, 2, 8
wood, 19950707, 48, 2, 9
wood, 19950707, 48, 2, 10
wood, 19950707, 48, 2, 12
wood, 19950707, 48, 2, 13
wood, 19950707, 48, 2, 14
wood, 19950707, 48, 2, 16
wood, 19950707, 48, 2, 17
wood, 19950707, 48, 2, 18
wood, 19950707, 48, 2, 20
wood, 19950707, 48, 2, 21
wood, 19950707, 48, 2, 22
wood, 19950707, 48, 2, 23
wood, 19950707, 48, 2, 25
wood, 19950707, 48, 2, 26
wood, 19950707, 48, 2, 27
wood, 19950707, 48, 2, 28
wood, 19950707, 48, 2, 32
wood, 19950707, 48, 2, 33
wood, 19950707, 48, 2, 34
wood, 19950707, 48, 2, 35
wood, 19950707, 48, 2, 36
wood, 19950707, 48, 2, 37
wood, 19950707, 48, 2, 39
wood, 19950707, 49, 2, 1
wood, 19950707, 49, 2, 2
wood, 19950707, 49, 2, 3
wood, 19950707, 48, 3, 1
wood, 19950707, 48, 3, 2
wood, 19950707, 48, 3, 3
wood, 19950707, 48, 3, 11
wood, 19950707, 48, 3, 15
wood, 19950707, 48, 3, 19
wood, 19950707, 48, 3, 24
wood, 19950707, 48, 3, 29
wood, 19950707, 48, 3, 30
wood, 19950707, 49, 3, 28
wood, 19950707, 49, 3, 29
wood, 19950707, 49, 3, 31
wood, 19950707, 49, 3, 33
wood, 19950707, 49, 3, 34
wood, 19950707, 49, 3, 35
