district, date, card, age, position
egegik, 19650710, 31, 2, 12
egegik, 19650710, 32, 2, 1
egegik, 19650710, 32, 2, 2
egegik, 19650710, 32, 2, 9
egegik, 19650710, 32, 2, 11
egegik, 19650710, 32, 2, 12
egegik, 19650710, 32, 2, 14
egegik, 19650710, 32, 2, 15
egegik, 19650710, 32, 2, 17
egegik, 19650710, 32, 2, 19
egegik, 19650710, 32, 2, 20
egegik, 19650710, 32, 2, 21
egegik, 19650710, 32, 2, 22
egegik, 19650710, 32, 2, 23
egegik, 19650710, 32, 2, 24
egegik, 19650710, 32, 2, 25
egegik, 19650710, 32, 2, 26
egegik, 19650710, 32, 2, 27
egegik, 19650710, 32, 2, 28
egegik, 19650710, 32, 2, 29
egegik, 19650710, 32, 2, 30
egegik, 19650710, 32, 3, 1
egegik, 19650710, 32, 3, 13
egegik, 19650710, 32, 3, 16
