district, date, card, age, position
kvichak, 19680705, 29, 2, 1
kvichak, 19680705, 29, 2, 2
kvichak, 19680705, 29, 2, 3
kvichak, 19680705, 29, 2, 6
kvichak, 19680705, 29, 2, 7
kvichak, 19680705, 29, 2, 8
kvichak, 19680705, 29, 2, 13
kvichak, 19680705, 29, 2, 14
kvichak, 19680705, 29, 2, 15
kvichak, 19680705, 29, 2, 16
kvichak, 19680705, 29, 2, 17
kvichak, 19680705, 29, 2, 18
kvichak, 19680705, 29, 2, 19
kvichak, 19680705, 29, 2, 21
kvichak, 19680705, 29, 2, 22
kvichak, 19680705, 29, 2, 23
kvichak, 19680705, 29, 2, 24
kvichak, 19680705, 29, 2, 25
kvichak, 19680705, 29, 2, 26
kvichak, 19680705, 29, 2, 28
kvichak, 19680705, 29, 2, 30
kvichak, 19680705, 29, 2, 31
kvichak, 19680705, 29, 2, 32
kvichak, 19680705, 29, 2, 33
kvichak, 19680705, 29, 2, 35
kvichak, 19680705, 29, 2, 37
kvichak, 19680705, 29, 2, 39
kvichak, 19680705, 30, 2, 1
kvichak, 19680705, 30, 2, 2
kvichak, 19680705, 30, 2, 3
kvichak, 19680705, 29, 3, 4
kvichak, 19680705, 29, 3, 36
kvichak, 19680705, 30, 3, 7
kvichak, 19680705, 30, 3, 17
kvichak, 19680705, 30, 3, 22
kvichak, 19680705, 30, 3, 23
