district, date, card, age, position
wood, 19680702, 12, 2, 1
wood, 19680702, 12, 2, 5
wood, 19680702, 12, 2, 6
wood, 19680702, 12, 2, 7
wood, 19680702, 12, 2, 9
wood, 19680702, 12, 2, 10
wood, 19680702, 12, 2, 11
wood, 19680702, 12, 2, 12
wood, 19680702, 12, 2, 13
wood, 19680702, 12, 2, 14
wood, 19680702, 12, 2, 15
wood, 19680702, 12, 2, 16
wood, 19680702, 12, 2, 17
wood, 19680702, 12, 2, 19
wood, 19680702, 12, 2, 20
wood, 19680702, 12, 2, 21
wood, 19680702, 12, 2, 22
wood, 19680702, 12, 2, 24
wood, 19680702, 12, 2, 25
wood, 19680702, 12, 2, 27
wood, 19680702, 12, 2, 28
wood, 19680702, 13, 2, 6
wood, 19680702, 13, 2, 7
wood, 19680702, 13, 2, 10
wood, 19680702, 13, 2, 12
wood, 19680702, 13, 2, 15
wood, 19680702, 13, 2, 18
wood, 19680702, 13, 2, 20
wood, 19680702, 13, 2, 22
wood, 19680702, 13, 2, 28
wood, 19680702, 12, 3, 2
wood, 19680702, 12, 3, 3
wood, 19680702, 12, 3, 4
wood, 19680702, 12, 3, 8
wood, 19680702, 12, 3, 23
wood, 19680702, 13, 3, 2
wood, 19680702, 13, 3, 3
wood, 19680702, 13, 3, 4
wood, 19680702, 13, 3, 5
wood, 19680702, 13, 3, 8
wood, 19680702, 13, 3, 13
wood, 19680702, 13, 3, 14
wood, 19680702, 13, 3, 16
wood, 19680702, 13, 3, 17
wood, 19680702, 13, 3, 19
wood, 19680702, 13, 3, 23
wood, 19680702, 13, 3, 24
wood, 19680702, 13, 3, 25
wood, 19680702, 13, 3, 26
wood, 19680702, 13, 3, 27
wood, 19680702, 13, 3, 35
wood, 19680702, 13, 3, 38
