district, date, card, age, position
wood, 20230627, 106, 12, 1
wood, 20230627, 106, 12, 2
wood, 20230627, 106, 12, 5
wood, 20230627, 106, 12, 6
wood, 20230627, 106, 12, 7
wood, 20230627, 106, 12, 12
wood, 20230627, 106, 12, 13
wood, 20230627, 106, 22, 15
wood, 20230627, 106, 12, 16
wood, 20230627, 106, 12, 17
wood, 20230627, 106, 12, 19
wood, 20230627, 106, 12, 20
wood, 20230627, 106, 22, 22
wood, 20230627, 106, 22, 24
wood, 20230627, 106, 12, 26
