district, date, card, age, position
egegik, 19800709, 10, 2, 2
egegik, 19800709, 10, 2, 3
egegik, 19800709, 10, 2, 4
egegik, 19800709, 10, 2, 5
egegik, 19800709, 10, 2, 6
egegik, 19800709, 10, 2, 7
egegik, 19800709, 10, 2, 8
egegik, 19800709, 10, 2, 9
egegik, 19800709, 10, 2, 10
egegik, 19800709, 10, 2, 12
egegik, 19800709, 10, 2, 14
egegik, 19800709, 10, 2, 15
egegik, 19800709, 10, 2, 16
egegik, 19800709, 10, 2, 17
egegik, 19800709, 10, 2, 18
egegik, 19800709, 10, 2, 19
egegik, 19800709, 10, 2, 20
egegik, 19800709, 10, 2, 21
egegik, 19800709, 10, 2, 22
egegik, 19800709, 10, 2, 24
egegik, 19800709, 10, 2, 25
egegik, 19800709, 10, 2, 26
egegik, 19800709, 10, 2, 28
egegik, 19800709, 10, 2, 29
egegik, 19800709, 10, 2, 31
egegik, 19800709, 10, 2, 32
egegik, 19800709, 10, 2, 33
egegik, 19800709, 10, 2, 34
egegik, 19800709, 10, 2, 35
egegik, 19800709, 10, 2, 36
egegik, 19800709, 10, 3, 23
egegik, 19800709, 11, 3, 7
egegik, 19800709, 11, 3, 13
egegik, 19800709, 11, 3, 30
egegik, 19800709, 11, 3, 2
