district, date, card, age, position
egegik, 20220710, 125, 12, 2
egegik, 20220710, 125, 12, 3
egegik, 20220710, 125, 22, 4
egegik, 20220710, 125, 22, 6
egegik, 20220710, 125, 12, 7
egegik, 20220710, 125, 22, 9
egegik, 20220710, 125, 12, 10
egegik, 20220710, 125, 22, 13
egegik, 20220710, 125, 12, 14
egegik, 20220710, 125, 22, 16
egegik, 20220710, 125, 22, 17
egegik, 20220710, 125, 22, 18
egegik, 20220710, 125, 22, 23
egegik, 20220710, 125, 12, 24
egegik, 20220710, 125, 22, 26
egegik, 20220710, 125, 12, 28
egegik, 20220710, 125, 12, 31
egegik, 20220710, 125, 12, 36
egegik, 20220710, 125, 22, 37
egegik, 20220710, 125, 22, 40
egegik, 20220710, 125, 23, 8
egegik, 20220710, 125, 13, 11
egegik, 20220710, 125, 13, 12
egegik, 20220710, 125, 13, 19
egegik, 20220710, 125, 13, 21
egegik, 20220710, 125, 13, 29
egegik, 20220710, 125, 13, 30
egegik, 20220710, 125, 13, 33
egegik, 20220710, 125, 13, 35
egegik, 20220710, 125, 13, 38
egegik, 20220710, 125, 13, 39
egegik, 20220710, 125, 13, 44
egegik, 20220710, 125, 13, 46
egegik, 20220710, 126, 13, 22
egegik, 20220710, 126, 13, 23
egegik, 20220710, 126, 13, 24
