district, date, card, age, position
egegik, 20070708, 025, 12, 2
egegik, 20070708, 025, 22, 4
egegik, 20070708, 025, 12, 6
egegik, 20070708, 025, 12, 8
egegik, 20070708, 025, 12, 9
egegik, 20070708, 025, 12, 10
egegik, 20070708, 025, 22, 11
egegik, 20070708, 025, 22, 12
egegik, 20070708, 025, 12, 14
egegik, 20070708, 025, 12, 15
egegik, 20070708, 025, 12, 16
egegik, 20070708, 025, 12, 17
egegik, 20070708, 025, 12, 20
egegik, 20070708, 025, 12, 21
egegik, 20070708, 025, 22, 23
egegik, 20070708, 025, 22, 24
egegik, 20070708, 025, 12, 26
egegik, 20070708, 025, 22, 28
egegik, 20070708, 025, 12, 29
egegik, 20070708, 025, 22, 31
egegik, 20070708, 025, 23, 1
egegik, 20070708, 025, 23, 3
egegik, 20070708, 025, 13, 5
egegik, 20070708, 025, 13, 13
egegik, 20070708, 025, 23, 18
egegik, 20070708, 025, 13, 19
egegik, 20070708, 025, 23, 25
egegik, 20070708, 025, 13, 30
egegik, 20070708, 025, 13, 33
egegik, 20070708, 025, 13, 38
egegik, 20070708, 026, 23, 3
egegik, 20070708, 026, 23, 4
egegik, 20070708, 026, 13, 12
egegik, 20070708, 026, 23, 20
egegik, 20070708, 026, 23, 21
egegik, 20070708, 026, 13, 25
egegik, 20070708, 026, 13, 32
egegik, 20070708, 026, 13, 34
egegik, 20070708, 026, 13, 38

egegik, 20070708, 025, 22, 32
egegik, 20070708, 025, 22, 34
egegik, 20070708, 025, 22, 35
egegik, 20070708, 025, 22, 36
egegik, 20070708, 025, 22, 37
egegik, 20070708, 025, 22, 39
egegik, 20070708, 025, 22, 40
egegik, 20070708, 026, 22, 1
egegik, 20070708, 026, 22, 2
egegik, 20070708, 026, 22, 5
