district, date, card, age, position
wood, 20040707, 034, 12, 1
wood, 20040707, 034, 12, 7
wood, 20040707, 034, 12, 8
wood, 20040707, 034, 12, 11
wood, 20040707, 034, 22, 13
wood, 20040707, 034, 12, 15
wood, 20040707, 034, 12, 18
wood, 20040707, 034, 12, 21
wood, 20040707, 034, 12, 22
wood, 20040707, 034, 12, 24
wood, 20040707, 034, 12, 28
wood, 20040707, 034, 12, 31
wood, 20040707, 034, 12, 33
wood, 20040707, 034, 12, 36
wood, 20040707, 034, 12, 37
wood, 20040707, 034, 12, 40
wood, 20040707, 035, 12, 2
wood, 20040707, 035, 12, 3
wood, 20040707, 035, 12, 6
wood, 20040707, 035, 12, 9
wood, 20040707, 035, 12, 10
wood, 20040707, 034, 12, 17
wood, 20040707, 035, 12, 18
wood, 20040707, 035, 12, 19
wood, 20040707, 035, 12, 21
wood, 20040707, 035, 12, 22
wood, 20040707, 035, 22, 23
wood, 20040707, 035, 12, 25
wood, 20040707, 035, 12, 28
wood, 20040707, 034, 13, 2
wood, 20040707, 034, 23, 3
wood, 20040707, 034, 13, 4
wood, 20040707, 034, 13, 5
wood, 20040707, 034, 13, 9
wood, 20040707, 034, 13, 12
wood, 20040707, 034, 13, 14
wood, 20040707, 034, 13, 19
wood, 20040707, 034, 13, 20
wood, 20040707, 034, 13, 25
wood, 20040707, 034, 13, 26
wood, 20040707, 034, 13, 32
wood, 20040707, 034, 13, 33
wood, 20040707, 034, 13, 34
wood, 20040707, 034, 13, 38
wood, 20040707, 035, 13, 1
wood, 20040707, 035, 13, 4
wood, 20040707, 035, 13, 5
wood, 20040707, 035, 13, 7
wood, 20040707, 035, 13, 8
wood, 20040707, 035, 13, 15
wood, 20040707, 035, 13, 24
wood, 20040707, 035, 13, 26
wood, 20040707, 035, 13, 27
wood, 20040707, 035, 13, 29
wood, 20040707, 035, 13, 30
