year, district, sample_ID, age_class, scale_num, status, weight (mg)
1980, egegik, 1980_egegik_2, 2, 30, punched, N/A
1980, egegik, 1980_egegik_3, 3, 5, N/A, N/A
1977, wood, 1977_wood_2, 2, 31, punched, N/A
1977, wood, 1977_wood_3, 3, 23, punched, N/A
1977, kvichak, 1977_kvichak_2, 2, 30, punched, N/A
1977, kvichak, 1977_kvichak_3, 3, 5, N/A, N/A
1977, egegik, 1977_egegik_2, 2, 30, punched, N/A
1977, egegik, 1977_egegik_3, 3, 17, punched, N/A
1974, wood, 1974_wood_2, 2, 30, punched, N/A
1974, wood, 1974_wood_3, 3, 11, N/A, N/A
1974, kvichak, 1974_kvichak_2, 2, 31, punched, N/A
1974, kvichak, 1974_kvichak_3, 3, 3, N/A, N/A
1974, egegik, 1974_egegik_2, 2, 30, punched, N/A
1974, egegik, 1974_egegik_3, 3, 9, N/A, N/A
1971, wood, 1971_wood_2, 2, 30, punched, N/A
1971, wood, 1971_wood_3, 3, 22, pulled, N/A
1971, kvichak, 1971_kvichak_2, 2, 30, pulled, N/A
1971, kvichak, 1971_kvichak_3, 3, 13, pulled, N/A
1971, egegik, 1971_egegik_2, 2, 29, pulled, N/A
1971, egegik, 1971_egegik_3, 3, 19, pulled, N/A
1968, wood, 1968_wood_2, 2, 32, punched, N/A
1968, wood, 1968_wood_3, 3, 22, punched, N/A
1968, kvichak, 1968_kvichak_2, 2, 30, punched, N/A
1968, kvichak, 1968_kvichak_3, 3, 6, N/A, N/A
1967, egegik, 1967_egegik_2, 2, 30, punched, N/A
1967, egegik, 1967_egegik_3, 3, 23, punched, N/A
1965, wood, 1965_wood_2, 2, 40, punched, N/A
1965, wood, 1965_wood_3, 3, 8, N/A, N/A
1965, kvichak, 1965_kvichak_2, 2, 35, punched, N/A
1965, kvichak, 1965_kvichak_3, 3, 2, N/A, N/A
1965, egegik, 1965_egegik_2, 2, 35, punched, N/A
1965, egegik, 1965_egegik_3, 3, 4, N/A, N/A
