district, date, card, age, position
egegik, 19770705, 39, 2, 1
egegik, 19770705, 39, 2, 2
egegik, 19770705, 39, 2, 3
egegik, 19770705, 39, 2, 4
egegik, 19770705, 39, 2, 5
egegik, 19770705, 39, 2, 9
egegik, 19770705, 39, 2, 11
egegik, 19770705, 39, 2, 12
egegik, 19770705, 39, 2, 13
egegik, 19770705, 39, 2, 14
egegik, 19770705, 39, 2, 15
egegik, 19770705, 39, 2, 17
egegik, 19770705, 39, 2, 18
egegik, 19770705, 39, 2, 20
egegik, 19770705, 39, 2, 22
egegik, 19770705, 39, 2, 24
egegik, 19770705, 39, 2, 25
egegik, 19770705, 39, 2, 26
egegik, 19770705, 39, 2, 27
egegik, 19770705, 39, 2, 29
egegik, 19770705, 39, 2, 30
egegik, 19770705, 39, 2, 31
egegik, 19770705, 39, 2, 33
egegik, 19770705, 39, 2, 34
egegik, 19770705, 39, 2, 35
egegik, 19770705, 39, 2, 38
egegik, 19770705, 39, 2, 40
egegik, 19770705, 40, 2, 3
egegik, 19770705, 40, 2, 6
egegik, 19770705, 40, 2, 8
egegik, 19770705, 39, 3, 6
egegik, 19770705, 39, 3, 7
egegik, 19770705, 39, 3, 8
egegik, 19770705, 39, 3, 21
egegik, 19770705, 39, 3, 23
egegik, 19770705, 39, 3, 32
egegik, 19770705, 39, 3, 37
egegik, 19770705, 40, 3, 1
egegik, 19770705, 40, 3, 2
egegik, 19770705, 40, 3, 4
egegik, 19770705, 40, 3, 5
egegik, 19770705, 40, 3, 7
egegik, 19770705, 40, 3, 12
egegik, 19770705, 40, 3, 20
egegik, 19770705, 40, 3, 23
egegik, 19770705, 40, 3, 24
egegik, 19770705, 40, 3, 26
egegik, 19770705, 40, 3, 35
