district, date, card, age, position
wood, 20190709, 111, 12, 1
wood, 20190709, 111, 12, 2
wood, 20190709, 111, 12, 3
wood, 20190709, 111, 12, 5
wood, 20190709, 111, 12, 7
wood, 20190709, 111, 12, 8
wood, 20190709, 111, 12, 9
wood, 20190709, 111, 12, 10
wood, 20190709, 111, 12, 11
wood, 20190709, 111, 12, 13
wood, 20190709, 111, 12, 15
wood, 20190709, 111, 12, 16
wood, 20190709, 111, 12, 19
wood, 20190709, 111, 12, 20
wood, 20190709, 112, 22, 1
wood, 20190709, 112, 12, 2
wood, 20190709, 112, 12, 4
wood, 20190709, 112, 12, 5
wood, 20190709, 112, 12, 7
wood, 20190709, 112, 22, 8
wood, 20190709, 112, 13, 3
wood, 20190709, 112, 13, 20
