district, date, card, age, position
wood, 19920709, 52, 2, 1
wood, 19920709, 52, 2, 3
wood, 19920709, 52, 2, 7
wood, 19920709, 52, 2, 9
wood, 19920709, 52, 2, 10
wood, 19920709, 52, 2, 11
wood, 19920709, 52, 2, 13
wood, 19920709, 52, 2, 14
wood, 19920709, 52, 2, 20
wood, 19920709, 52, 2, 21
wood, 19920709, 52, 2, 22
wood, 19920709, 52, 2, 23
wood, 19920709, 52, 2, 27
wood, 19920709, 52, 2, 28
wood, 19920709, 52, 2, 29
wood, 19920709, 52, 2, 30
wood, 19920709, 52, 2, 31
wood, 19920709, 52, 2, 33
wood, 19920709, 52, 2, 34
wood, 19920709, 52, 2, 35
wood, 19920709, 52, 2, 38
wood, 19920709, 52, 2, 39
wood, 19920709, 53, 2, 1
wood, 19920709, 53, 2, 6
wood, 19920709, 53, 2, 9
wood, 19920709, 53, 2, 11
wood, 19920709, 53, 2, 13
wood, 19920709, 53, 2, 14
wood, 19920709, 53, 2, 15
wood, 19920709, 53, 2, 19
wood, 19920709, 52, 3, 2
wood, 19920709, 52, 3, 12
wood, 19920709, 52, 3, 17
wood, 19920709, 52, 3, 18
wood, 19920709, 52, 3, 19
wood, 19920709, 52, 3, 26
wood, 19920709, 52, 3, 32
wood, 19920709, 53, 3, 3
wood, 19920709, 53, 3, 4
wood, 19920709, 53, 3, 7
wood, 19920709, 53, 3, 10
wood, 19920709, 53, 3, 12
wood, 19920709, 53, 3, 18
wood, 19920709, 53, 3, 20
wood, 19920709, 53, 3, 23
