district, date, card, age, position
kvichak, 20160707, 110, 12, 1
kvichak, 20160707, 110, 12, 2
kvichak, 20160707, 110, 12, 3
kvichak, 20160707, 110, 12, 4
kvichak, 20160707, 110, 12, 5
kvichak, 20160707, 110, 12, 6
kvichak, 20160707, 110, 22, 11
kvichak, 20160707, 110, 12, 12
kvichak, 20160707, 110, 12, 13
kvichak, 20160707, 110, 12, 14
kvichak, 20160707, 110, 22, 15
kvichak, 20160707, 110, 12, 16
kvichak, 20160707, 110, 12, 17
kvichak, 20160707, 110, 12, 18
kvichak, 20160707, 110, 12, 19
kvichak, 20160707, 110, 12, 20
kvichak, 20160707, 110, 12, 23
kvichak, 20160707, 110, 12, 24
kvichak, 20160707, 110, 12, 26
kvichak, 20160707, 110, 12, 27
kvichak, 20160707, 110, 23, 7
kvichak, 20160707, 110, 13, 9
kvichak, 20160707, 110, 13, 10
kvichak, 20160707, 110, 13, 21
kvichak, 20160707, 110, 13, 34
kvichak, 20160707, 110, 13, 36
kvichak, 20160707, 110, 23, 45
kvichak, 20160707, 111, 13, 16
kvichak, 20160707, 111, 23, 29
kvichak, 20160707, 111, 23, 43
