district, date, card, age, position
wood, 20010703, 23, 2, 1
wood, 20010703, 23, 2, 4
wood, 20010703, 23, 2, 5
wood, 20010703, 23, 2, 10
wood, 20010703, 23, 2, 14
wood, 20010703, 23, 2, 16
wood, 20010703, 23, 2, 18
wood, 20010703, 23, 2, 22
wood, 20010703, 23, 2, 26
wood, 20010703, 23, 2, 31
wood, 20010703, 23, 2, 32
wood, 20010703, 23, 2, 33
wood, 20010703, 23, 2, 34
wood, 20010703, 23, 2, 39
wood, 20010703, 23, 2, 40
wood, 20010703, 24, 2, 9
wood, 20010703, 24, 2, 10
wood, 20010703, 24, 2, 22
wood, 20010703, 24, 2, 25
wood, 20010703, 24, 2, 26
wood, 20010703, 24, 2, 27
wood, 20010703, 24, 2, 38
wood, 20010703, 23, 3, 2
wood, 20010703, 23, 3, 3
wood, 20010703, 23, 3, 7
wood, 20010703, 23, 3, 8
wood, 20010703, 23, 3, 9
wood, 20010703, 23, 3, 11
wood, 20010703, 23, 3, 12
wood, 20010703, 23, 3, 13
wood, 20010703, 23, 3, 17
wood, 20010703, 23, 3, 19
wood, 20010703, 23, 3, 23
wood, 20010703, 23, 3, 24
wood, 20010703, 23, 3, 28
wood, 20010703, 23, 3, 29
wood, 20010703, 23, 3, 35
wood, 20010703, 24, 3, 1
wood, 20010703, 24, 3, 2
wood, 20010703, 24, 3, 3
wood, 20010703, 24, 3, 4
wood, 20010703, 24, 3, 5
wood, 20010703, 24, 3, 6
wood, 20010703, 24, 3, 8
wood, 20010703, 24, 3, 12
wood, 20010703, 24, 3, 13
wood, 20010703, 24, 3, 15
wood, 20010703, 24, 3, 17
wood, 20010703, 24, 3, 21
wood, 20010703, 24, 3, 23
wood, 20010703, 24, 3, 29
wood, 20010703, 24, 3, 30

