district, date, card, age, position
egegik, 20130629, 015, 22, 5
egegik, 20130629, 015, 22, 6
egegik, 20130629, 015, 22, 7
egegik, 20130629, 015, 22, 8
egegik, 20130629, 015, 22, 9
egegik, 20130629, 015, 22, 10
egegik, 20130629, 015, 22, 13
egegik, 20130629, 015, 22, 15
egegik, 20130629, 015, 22, 16
egegik, 20130629, 015, 22, 26
egegik, 20130629, 015, 22, 28
egegik, 20130629, 015, 22, 30
egegik, 20130629, 015, 22, 32
egegik, 20130629, 016, 22, 2
egegik, 20130629, 016, 22, 5
egegik, 20130629, 016, 22, 7
egegik, 20130629, 016, 22, 8
egegik, 20130629, 016, 22, 10
egegik, 20130629, 016, 22, 12
egegik, 20130629, 016, 22, 16
egegik, 20130629, 016, 22, 17
egegik, 20130629, 016, 22, 18
egegik, 20130629, 016, 22, 25
egegik, 20130629, 016, 22, 33
egegik, 20130629, 016, 22, 38
egegik, 20130629, 016, 22, 39
egegik, 20130629, 016, 22, 40
egegik, 20130629, 015, 23, 1
egegik, 20130629, 015, 23, 2
egegik, 20130629, 015, 23, 3
egegik, 20130629, 015, 23, 12
egegik, 20130629, 015, 13, 14
egegik, 20130629, 015, 13, 17
egegik, 20130629, 015, 23, 18
egegik, 20130629, 015, 13, 19
egegik, 20130629, 015, 23, 20
egegik, 20130629, 015, 23, 23
egegik, 20130629, 015, 23, 24
egegik, 20130629, 015, 13, 25
egegik, 20130629, 015, 23, 27
egegik, 20130629, 015, 23, 29
egegik, 20130629, 015, 23, 33
egegik, 20130629, 015, 23, 35
egegik, 20130629, 015, 23, 36
egegik, 20130629, 015, 23, 37
egegik, 20130629, 015, 23, 38
egegik, 20130629, 015, 23, 39
egegik, 20130629, 015, 23, 40
egegik, 20130629, 016, 23, 3
egegik, 20130629, 016, 23, 4
egegik, 20130629, 016, 23, 6
egegik, 20130629, 016, 23, 9
egegik, 20130629, 016, 23, 11
egegik, 20130629, 016, 23, 13
egegik, 20130629, 016, 23, 14
egegik, 20130629, 016, 23, 19
egegik, 20130629, 016, 23, 20
